,Date,AQI,Type,rh,temp,psfc
0,2013-01-01,24.82248502994012,O3,59.0025748502994,249.0915568862275,87.3220722754491
1,2013-01-02,26.914431137724545,O3,56.47269461077845,246.34532934131735,88.48469862275448
2,2013-01-03,32.80814798973481,PM25,53.987664670658674,249.75011976047907,88.88956808383234
3,2013-01-04,56.50735671514115,PM25,46.024850299401194,252.5347904191617,88.13912269461079
4,2013-01-05,52.823556458511554,PM25,42.14071856287425,253.94532934131735,87.92439161676646
5,2013-01-06,58.29666381522669,PM25,44.11736526946108,255.34461077844304,87.80013143712574
6,2013-01-07,69.89035500427718,PM25,57.14844311377246,256.4573053892216,87.6755005988024
7,2013-01-08,36.43476047904191,PM10,64.1965868263473,251.0377844311378,88.03306532934133
8,2013-01-09,39.45452095808383,PM10,60.0908383233533,253.49586826347308,87.96837
9,2013-01-10,69.03281650983746,PM25,55.16041916167665,258.93011976047904,87.71696239520958
10,2013-01-11,59.96736526946108,PM10,64.56305389221558,259.07335329341316,87.59809958083834
11,2013-01-12,67.70895209580839,PM10,53.91071856287425,263.0622754491018,87.564298502994
12,2013-01-13,102.43477972626177,PM25,61.83467065868263,261.87329341317366,87.62921311377245
13,2013-01-14,103.79265397775877,PM25,52.034071856287426,263.5732934131737,87.83787964071857
14,2013-01-15,91.13336184773311,PM25,72.90550898203593,260.7398203592814,87.70222047904193
15,2013-01-16,33.32263686911891,PM25,66.91556886227545,255.81029940119757,88.36911245508982
16,2013-01-17,40.62572711719418,PM25,57.84023952095807,259.3817964071856,88.75079772455089
17,2013-01-18,72.21963216424295,PM25,46.03880239520958,264.35281437125747,88.13557059880239
18,2013-01-19,100.38493370402054,PM25,55.12347305389221,263.417125748503,88.0683677245509
19,2013-01-20,128.67064798973482,PM25,87.51239520958083,262.86760479041914,88.02684538922156
20,2013-01-21,54.787532078699755,PM25,67.49305389221557,259.4226946107785,88.18850011976048
21,2013-01-22,63.04330624465354,PM25,55.12676646706587,261.3391017964072,87.96001742514972
22,2013-01-23,66.00718562874252,PM25,67.69580838323354,262.57359281437124,87.24794209580838
23,2013-01-24,26.573233532934136,O3,60.889161676646715,256.7622754491018,87.55913107784431
24,2013-01-25,40.86726903336184,PM25,64.42221556886227,258.84964071856285,87.44808299401197
25,2013-01-26,36.029523096663816,PM25,71.56940119760479,260.3599401197605,87.84042838323352
26,2013-01-27,52.80689692044482,PM25,66.49976047904194,263.941497005988,87.86774508982036
27,2013-01-28,56.579619332763045,PM25,64.09077844311378,266.02251497005983,87.62270838323352
28,2013-01-29,70.04182848588538,PM25,64.49604790419161,266.66562874251497,87.73377215568863
29,2013-01-30,141.11823353293414,PM25,52.2902994011976,269.8046107784431,87.75271293413175
30,2013-01-31,163.3802587681779,PM25,77.05904191616767,269.3883832335329,87.50831670658684
31,2013-02-01,24.584491017964076,O3,62.032694610778435,258.345748502994,88.0646877245509
32,2013-02-02,41.18975620188194,PM25,60.841497005988025,259.9520958083832,88.24309754491017
33,2013-02-03,111.63931779298547,PM25,79.4322754491018,265.6660479041916,87.31608467065868
34,2013-02-04,28.49817365269461,O3,56.4734131736527,257.5735329341317,87.95122053892214
35,2013-02-05,53.6366873396065,PM25,68.19095808383234,262.3005988023952,87.61594011976048
36,2013-02-06,29.550029940119757,O3,55.24455089820359,254.04293413173653,87.88342526946107
37,2013-02-07,32.5980239520958,O3,55.50305389221556,249.3234131736527,88.4922895209581
38,2013-02-08,37.61732249786142,PM25,59.272994011976046,255.41329341317368,88.23572958083832
39,2013-02-09,45.82626176218991,PM25,69.54784431137723,258.5049101796407,87.76399329341318
40,2013-02-10,33.98806672369547,PM25,59.274790419161675,254.7931137724551,88.17752706586826
41,2013-02-11,49.2109388366125,PM25,65.1737724550898,257.5483233532935,88.13227311377244
42,2013-02-12,51.59047904191617,PM10,57.74724550898204,260.6204790419162,87.72122173652693
43,2013-02-13,56.67739520958084,PM10,54.07580838323353,263.56269461077846,87.5444962275449
44,2013-02-14,35.681017964071856,PM10,67.23275449101799,258.3946706586826,87.89833491017966
45,2013-02-15,38.474520958083836,SO2,65.2294610778443,259.0824550898203,87.81496634730539
46,2013-02-16,112.60528229255775,PM25,70.0174251497006,266.69401197604793,87.30458826347305
47,2013-02-17,54.638109495295126,PM25,57.66311377245509,262.35275449101795,87.47541455089821
48,2013-02-18,30.13775449101797,O3,58.31263473053892,256.64191616766465,87.93935101796407
49,2013-02-19,32.018802395209576,PM10,52.04970059880238,257.1915568862276,87.96123341317366
50,2013-02-20,38.16069289991446,PM25,56.14035928143712,259.6695808383233,87.98453622754492
51,2013-02-21,37.962703165098375,PM25,50.16461077844311,262.26083832335325,88.06112437125748
52,2013-02-22,32.870089820359276,O3,57.285449101796395,260.824251497006,88.31321694610779
53,2013-02-23,42.57131736526946,PM10,49.22784431137724,265.43610778443116,88.32450838323352
