,Date,PM25,PM10,SO2,NO2,CO,O3,AQI
0,2013-01-01,99.1078125,73.518125,45.99625,67.39375000000001,30.28125,15.205,99.1078125
1,2013-01-02,122.296875,78.91687499999999,25.98375,42.984375,29.25,15.07875,122.296875
2,2013-01-03,55.19486607142858,40.90625,18.83,22.0375,20.03125,24.571875,55.19486607142858
3,2013-01-04,124.9453125,65.95375,28.46375,28.50937500000001,22.8125,16.940625,124.9453125
4,2013-01-05,188.9367857142857,92.326875,32.82625,40.368750000000006,27.84375,15.9025,188.9367857142857
5,2013-01-06,222.90589285714285,98.988125,37.92875,39.11562500000001,33.34375,18.251875,222.90589285714285
6,2013-01-07,244.60125,108.025,41.5525,59.3640625,35.03125,27.3,244.60125
7,2013-01-08,276.4475,133.8025,42.1525,57.4421875,43.28125,22.689375,276.4475
8,2013-01-09,302.3425,133.07250000000002,56.70062499999999,65.0171875,51.21875,19.976875,302.3425
9,2013-01-10,303.72625,138.68374999999995,43.017500000000005,88.733125,49.09375,12.6725,303.72625
10,2013-01-11,257.47875000000005,103.24187500000002,29.665,81.1240625,40.9375,9.761875000000002,257.47875000000005
11,2013-01-12,231.53625,104.47375,28.2475,74.30000000000001,38.15625,12.138125,231.53625
12,2013-01-13,241.91,115.866875,37.09625,81.5796875,39.34375,21.246250000000003,241.91
13,2013-01-14,231.47375,122.03375,35.813750000000006,64.19687499999999,42.03125,17.362499999999997,231.47375
14,2013-01-15,235.61375,112.84062500000002,34.175000000000004,76.1375,42.78125,15.552499999999998,235.61375
15,2013-01-16,256.77500000000003,132.18,37.56875,58.41875,44.28125,17.125,256.77500000000003
16,2013-01-17,258.1325,127.660625,40.87937499999999,37.1875,45.4375,38.58583333333333,258.1325
17,2013-01-18,247.72,120.431875,39.24125,67.5171875,44.0,13.7775,247.72
18,2013-01-19,172.5220982142857,92.71562500000002,43.316875,73.7,32.8125,15.789375,172.5220982142857
19,2013-01-20,148.83727678571427,79.98937500000001,34.275,54.48125,31.5625,11.694375,148.83727678571427
20,2013-01-21,208.31535714285712,77.71124999999999,37.09125,58.69531250000001,39.65625,7.715625000000001,208.31535714285712
21,2013-01-22,234.385,99.303125,36.285,55.171875,44.875,16.09875,234.385
22,2013-01-23,187.05,101.024375,41.505,84.565625,48.71875,11.081875,187.05
23,2013-01-24,217.93,103.271875,39.5925,56.5453125,36.9375,19.070625,217.93
24,2013-01-25,150.5569196428571,88.57062499999999,29.225,65.76875,25.125,21.401875,150.5569196428571
25,2013-01-26,202.3417857142857,117.06562499999998,40.63625,65.29375,33.4375,25.31,202.3417857142857
26,2013-01-27,309.47124999999994,152.750625,43.91875,56.58125,42.4375,33.32541666666666,309.47124999999994
27,2013-01-28,261.24625000000003,123.8875,46.84875,83.165625,43.5,18.42125,261.24625000000003
28,2013-01-29,166.22767857142856,89.200625,28.9575,63.63906250000001,25.5625,25.408125,166.22767857142856
29,2013-01-30,175.94821428571427,89.5325,35.33625,61.7328125,35.21875,16.5975,175.94821428571427
30,2013-01-31,161.2600446428571,70.353125,21.75375,46.2390625,32.09375,10.63,161.2600446428571
31,2013-02-01,104.2125,49.705000000000005,25.516250000000003,56.2796875,46.53125,11.203125,104.2125
32,2013-02-02,197.30714285714288,93.478125,33.3,58.22656250000001,63.375,6.8637500000000005,197.30714285714288
33,2013-02-03,159.82142857142858,77.876875,27.2725,49.75,58.71875,6.983125,159.82142857142858
34,2013-02-04,107.59218750000002,56.92124999999999,23.56625,29.379687500000003,32.3125,11.326250000000002,107.59218750000002
35,2013-02-05,65.1734375,40.40125,21.0,33.7125,22.25,8.3125,65.1734375
36,2013-02-06,109.2546875,62.00125,23.2525,35.6640625,28.3125,24.61,109.2546875
37,2013-02-07,73.5140625,47.65625,21.74375,21.0796875,23.53125,22.45875,73.5140625
38,2013-02-08,58.834375,36.32625,17.3025,16.475,13.8125,26.38,58.834375
39,2013-02-09,96.8859375,57.645,20.48875,18.95625,17.8125,26.250625000000007,96.8859375
40,2013-02-10,146.22589285714287,82.606875,41.950625,20.1375,21.8125,26.765625,146.22589285714287
41,2013-02-11,165.33928571428572,82.86125,30.8425,28.565625,26.4375,25.500625,165.33928571428572
42,2013-02-12,153.75625,78.6675,22.21375,20.496875,20.625,39.67125,153.75625
43,2013-02-13,156.30357142857142,75.81187499999999,28.3775,29.596875,27.15625,23.500625,156.30357142857142
44,2013-02-14,138.428125,66.923125,21.55625,29.1875,25.125,14.620625,138.428125
45,2013-02-15,158.45714285714286,80.5125,27.56,32.015625,26.28125,38.255625,158.45714285714286
46,2013-02-16,111.709375,62.275,32.295,25.395312500000003,23.78125,27.685,111.709375
47,2013-02-17,109.0390625,61.995000000000005,28.33625,42.66875,31.40625,9.519375,109.0390625
48,2013-02-18,110.08125,57.69,23.495,25.146875,28.28125,32.2125,110.08125
49,2013-02-19,44.869642857142864,26.24875,12.99125,19.5390625,14.6875,27.653125,44.869642857142864
50,2013-02-20,75.0984375,53.864375,22.4,36.7296875,17.59375,17.989375,75.0984375
51,2013-02-21,102.25,66.74249999999999,21.0075,41.05312500000001,18.75,13.41,102.25
52,2013-02-22,116.1453125,71.738125,23.54125,39.0546875,21.28125,23.736875,116.1453125
53,2013-02-23,145.8234375,85.985,37.55875,53.15468750000001,30.625,28.26375,145.8234375
