,Date,Year,Month,Day,MAX_val,MAX_name
0,2013-01-01,2013,01,01,92.1578125,PM25
1,2013-01-02,2013,01,02,102.6890625,PM25
2,2013-01-03,2013,01,03,68.61328125,PM25
3,2013-01-04,2013,01,04,90.99921875000001,PM25
4,2013-01-05,2013,01,05,118.88203125,PM25
5,2013-01-06,2013,01,06,132.09921874999998,PM25
6,2013-01-07,2013,01,07,198.0239285714286,PM25
7,2013-01-08,2013,01,08,201.38232142857143,PM25
8,2013-01-09,2013,01,09,167.6267857142857,PM25
9,2013-01-10,2013,01,10,111.96875,PM25
10,2013-01-11,2013,01,11,96.60624999999999,PM25
11,2013-01-12,2013,01,12,209.96098214285715,PM25
12,2013-01-13,2013,01,13,131.290625,PM25
13,2013-01-14,2013,01,14,179.5107142857143,PM25
14,2013-01-15,2013,01,15,173.43035714285713,PM25
15,2013-01-16,2013,01,16,228.34125,PM25
16,2013-01-17,2013,01,17,107.553125,PM25
17,2013-01-18,2013,01,18,126.340625,PM25
18,2013-01-19,2013,01,19,129.20100446428572,PM25
19,2013-01-20,2013,01,20,88.74921875,PM25
20,2013-01-21,2013,01,21,139.90625,PM25
21,2013-01-22,2013,01,22,153.86529017857143,PM25
22,2013-01-23,2013,01,23,166.04051339285712,PM25
23,2013-01-24,2013,01,24,218.898125,PM25
24,2013-01-25,2013,01,25,210.131875,PM25
25,2013-01-26,2013,01,26,196.75473214285714,PM25
26,2013-01-27,2013,01,27,113.84609375,PM25
27,2013-01-28,2013,01,28,108.40401785714286,PM25
28,2013-01-29,2013,01,29,109.64453125,PM25
29,2013-01-30,2013,01,30,159.5598214285714,PM25
30,2013-01-31,2013,01,31,99.65390625,PM25
31,2013-02-01,2013,02,01,110.33437500000001,PM25
32,2013-02-02,2013,02,02,99.465625,PM25
33,2013-02-03,2013,02,03,41.586718749999996,PM25
34,2013-02-04,2013,02,04,85.79609375,PM25
35,2013-02-05,2013,02,05,46.202343750000004,PM25
36,2013-02-06,2013,02,06,71.36015625,PM25
37,2013-02-07,2013,02,07,79.4890625,PM25
38,2013-02-08,2013,02,08,41.37321428571428,PM25
39,2013-02-09,2013,02,09,74.39140624999999,PM25
40,2013-02-10,2013,02,10,189.52107142857142,PM25
41,2013-02-11,2013,02,11,79.4375,PM25
42,2013-02-12,2013,02,12,55.0421875,PM25
43,2013-02-13,2013,02,13,102.54921875,PM25
44,2013-02-14,2013,02,14,88.17578125,PM25
45,2013-02-15,2013,02,15,83.18203125,PM25
46,2013-02-16,2013,02,16,74.653125,PM25
47,2013-02-17,2013,02,17,64.20156250000001,PM25
48,2013-02-18,2013,02,18,67.11953125,PM25
49,2013-02-19,2013,02,19,40.439062500000006,NO2
50,2013-02-20,2013,02,20,63.072991071428575,PM25
51,2013-02-21,2013,02,21,62.90691964285715,PM25
52,2013-02-22,2013,02,22,113.73984375,PM25
53,2013-02-23,2013,02,23,148.0292410714286,PM25
54,2013-02-24,2013,02,24,97.25390625,PM25
55,2013-02-25,2013,02,25,57.896763392857146,PM25
56,2013-02-26,2013,02,26,72.19843750000001,PM25
57,2013-02-27,2013,02,27,65.3140625,PM25
58,2013-02-28,2013,02,28,71.2640625,PM25
59,2013-03-01,2013,03,01,72.165625,PM25
60,2013-03-02,2013,03,02,50.2175,PM10
61,2013-03-03,2013,03,03,73.7578125,PM25
62,2013-03-04,2013,03,04,107.27499999999999,PM25
63,2013-03-05,2013,03,05,182.42321428571427,PM25
64,2013-03-06,2013,03,06,105.99296875,PM25
65,2013-03-07,2013,03,07,138.08236607142857,PM25
66,2013-03-08,2013,03,08,145.22522321428573,PM25
67,2013-03-09,2013,03,09,150.31171875,PM25
68,2013-03-10,2013,03,10,98.57624999999999,PM10
69,2013-03-11,2013,03,11,42.20546875,NO2
70,2013-03-12,2013,03,12,75.14531249999999,PM25
71,2013-03-13,2013,03,13,71.459375,PM25
72,2013-03-14,2013,03,14,52.61383928571429,PM25
73,2013-03-15,2013,03,15,54.20145089285714,PM25
74,2013-03-16,2013,03,16,78.01484374999998,PM25
75,2013-03-17,2013,03,17,81.23828125,PM25
76,2013-03-18,2013,03,18,71.90078125,NO2
77,2013-03-19,2013,03,19,98.9046875,PM25
78,2013-03-20,2013,03,20,96.89921874999999,PM25
79,2013-03-21,2013,03,21,41.0615625,PM10
80,2013-03-22,2013,03,22,99.4234375,PM25
81,2013-03-23,2013,03,23,66.47187500000001,PM25
82,2013-03-24,2013,03,24,93.32109374999999,PM25
83,2013-03-25,2013,03,25,68.8203125,PM25
84,2013-03-26,2013,03,26,35.081875,O3
85,2013-03-27,2013,03,27,69.6625,PM25
86,2013-03-28,2013,03,28,101.2671875,PM25
87,2013-03-29,2013,03,29,64.86261160714285,PM25
88,2013-03-30,2013,03,30,46.671316964285715,PM25
89,2013-03-31,2013,03,31,54.0625,PM25
90,2013-04-01,2013,04,01,74.446875,PM25
91,2013-04-02,2013,04,02,106.26796875,PM25
92,2013-04-03,2013,04,03,71.07734375,PM25
93,2013-04-04,2013,04,04,53.082589285714285,PM25
94,2013-04-05,2013,04,05,49.4515625,NO2
95,2013-04-06,2013,04,06,48.78214285714286,PM25
96,2013-04-07,2013,04,07,76.28359375,PM25
97,2013-04-08,2013,04,08,89.88046875,PM25
98,2013-04-09,2013,04,09,86.0484375,PM25
99,2013-04-10,2013,04,10,76.2640625,PM10
100,2013-04-11,2013,04,11,82.79375,PM25
101,2013-04-12,2013,04,12,109.1921875,PM25
102,2013-04-13,2013,04,13,86.703125,PM25
103,2013-04-14,2013,04,14,75.35546875,PM25
104,2013-04-15,2013,04,15,98.40859375,PM25
105,2013-04-16,2013,04,16,69.4590625,PM10
106,2013-04-17,2013,04,17,140.99944196428572,PM25
107,2013-04-18,2013,04,18,103.72421875,PM25
108,2013-04-19,2013,04,19,50.8728125,PM10
109,2013-04-20,2013,04,20,43.66328125,PM25
110,2013-04-21,2013,04,21,75.40078125,PM25
111,2013-04-22,2013,04,22,61.410044642857144,PM25
112,2013-04-23,2013,04,23,73.1671875,PM25
113,2013-04-24,2013,04,24,120.0921875,PM25
114,2013-04-25,2013,04,25,109.4578125,PM25
115,2013-04-26,2013,04,26,84.20859375,PM25
116,2013-04-27,2013,04,27,69.61640625000001,PM25
117,2013-04-28,2013,04,28,51.8525,PM10
118,2013-04-29,2013,04,29,84.70546875,PM25
119,2013-04-30,2013,04,30,58.84375,PM25
120,2013-05-01,2013,05,01,65.4078125,NO2
121,2013-05-02,2013,05,02,52.90078125000001,PM25
122,2013-05-03,2013,05,03,59.87053571428572,PM25
123,2013-05-04,2013,05,04,70.5109375,PM25
124,2013-05-05,2013,05,05,49.561272321428575,PM25
125,2013-05-06,2013,05,06,51.88426339285714,PM25
126,2013-05-07,2013,05,07,45.57864583333333,O3
127,2013-05-08,2013,05,08,44.82165178571428,PM25
128,2013-05-09,2013,05,09,52.629017857142856,PM25
129,2013-05-10,2013,05,10,90.48750000000001,PM25
130,2013-05-11,2013,05,11,128.74375,PM25
131,2013-05-12,2013,05,12,110.35624999999999,PM25
132,2013-05-13,2013,05,13,82.84921875,PM25
133,2013-05-14,2013,05,14,65.0671875,PM25
134,2013-05-15,2013,05,15,47.8203125,PM25
135,2013-05-16,2013,05,16,26.321875,NO2
136,2013-05-17,2013,05,17,34.840625,O3
137,2013-05-18,2013,05,18,64.49609375,PM25
138,2013-05-19,2013,05,19,78.94921875,PM25
139,2013-05-20,2013,05,20,119.21796875,PM25
140,2013-05-21,2013,05,21,99.99296874999999,PM25
141,2013-05-22,2013,05,22,73.59218750000001,PM25
142,2013-05-23,2013,05,23,57.31875,PM25
143,2013-05-24,2013,05,24,55.96328125,PM25
144,2013-05-25,2013,05,25,56.57578125,PM25
145,2013-05-26,2013,05,26,53.183928571428574,PM25
146,2013-05-27,2013,05,27,33.815178571428575,PM25
147,2013-05-28,2013,05,28,59.11953125,PM25
148,2013-05-29,2013,05,29,136.8830357142857,PM25
149,2013-05-30,2013,05,30,74.80000000000001,PM25
150,2013-05-31,2013,05,31,66.80703125,PM25
151,2013-06-01,2013,06,01,106.00546874999999,PM25
152,2013-06-02,2013,06,02,58.24587053571429,PM25
153,2013-06-03,2013,06,03,63.75,PM25
154,2013-06-04,2013,06,04,42.427343750000006,PM25
155,2013-06-05,2013,06,05,37.4865625,O3
156,2013-06-06,2013,06,06,33.545625,O3
157,2013-06-07,2013,06,07,28.88203125,NO2
158,2013-06-08,2013,06,08,29.071875000000002,O3
159,2013-06-09,2013,06,09,43.37946428571429,PM25
160,2013-06-10,2013,06,10,66.38125,PM25
161,2013-06-11,2013,06,11,122.0921875,PM25
162,2013-06-12,2013,06,12,109.82421875,PM25
163,2013-06-13,2013,06,13,83.415625,PM25
164,2013-06-14,2013,06,14,43.18694196428572,PM25
165,2013-06-15,2013,06,15,47.71506696428571,PM25
166,2013-06-16,2013,06,16,76.0234375,PM25
167,2013-06-17,2013,06,17,65.40625,PM25
168,2013-06-18,2013,06,18,59.64296875,PM25
169,2013-06-19,2013,06,19,72.18984375000001,PM25
170,2013-06-20,2013,06,20,106.05000000000001,PM25
171,2013-06-21,2013,06,21,75.58437500000001,PM25
172,2013-06-22,2013,06,22,74.33671875,PM25
173,2013-06-23,2013,06,23,53.48236607142857,PM25
174,2013-06-24,2013,06,24,73.75078124999999,PM25
175,2013-06-25,2013,06,25,61.0890625,PM25
176,2013-06-26,2013,06,26,55.25703125,PM25
177,2013-06-27,2013,06,27,36.359375,O3
178,2013-06-28,2013,06,28,35.89875,O3
179,2013-06-29,2013,06,29,40.48984375,PM25
180,2013-06-30,2013,06,30,47.987053571428575,PM25
181,2013-07-01,2013,07,01,73.3046875,PM25
182,2013-07-02,2013,07,02,60.311718750000004,PM25
183,2013-07-03,2013,07,03,44.1721875,PM10
184,2013-07-04,2013,07,04,48.318749999999994,PM10
185,2013-07-05,2013,07,05,41.919687499999995,PM10
186,2013-07-06,2013,07,06,55.396093750000006,PM25
187,2013-07-07,2013,07,07,51.455000000000005,PM10
188,2013-07-08,2013,07,08,45.310208333333335,O3
189,2013-07-09,2013,07,09,53.79375,O3
190,2013-07-10,2013,07,10,57.26927083333333,O3
191,2013-07-11,2013,07,11,60.07395833333334,O3
192,2013-07-12,2013,07,12,39.764375,PM10
193,2013-07-13,2013,07,13,32.255,PM10
194,2013-07-14,2013,07,14,33.286875,PM10
195,2013-07-15,2013,07,15,31.616875,O3
196,2013-07-16,2013,07,16,40.028125,O3
197,2013-07-17,2013,07,17,36.751875,O3
198,2013-07-18,2013,07,18,31.046875,PM10
199,2013-07-19,2013,07,19,31.714687500000004,O3
200,2013-07-20,2013,07,20,42.0771875,PM10
201,2013-07-21,2013,07,21,44.2728125,PM10
202,2013-07-22,2013,07,22,31.985625,PM10
203,2013-07-23,2013,07,23,50.1515625,PM10
204,2013-07-24,2013,07,24,52.034062500000005,PM10
205,2013-07-25,2013,07,25,67.9703125,PM25
206,2013-07-26,2013,07,26,80.57578125,PM25
207,2013-07-27,2013,07,27,68.66640625,PM25
208,2013-07-28,2013,07,28,56.70885416666667,O3
209,2013-07-29,2013,07,29,53.11125,PM10
210,2013-07-30,2013,07,30,51.43656250000001,O3
211,2013-07-31,2013,07,31,53.416875,PM10
212,2013-08-01,2013,08,01,49.975625,PM10
213,2013-08-02,2013,08,02,33.204375,PM10
214,2013-08-03,2013,08,03,31.5234375,NO2
215,2013-08-04,2013,08,04,40.409375,PM10
216,2013-08-05,2013,08,05,52.41875,PM10
217,2013-08-06,2013,08,06,60.7953125,PM25
218,2013-08-07,2013,08,07,75.125,O3
219,2013-08-08,2013,08,08,66.4125,PM25
220,2013-08-09,2013,08,09,78.65445075757576,O3
221,2013-08-10,2013,08,10,73.21302083333333,O3
222,2013-08-11,2013,08,11,69.36484375,PM25
223,2013-08-12,2013,08,12,40.9646875,PM10
