,Date,Year,Month,Day,MAX_val,MAX_name
0,2013-01-01,2013,01,01,36.62176870748299,PM25
1,2013-01-02,2013,01,02,31.805119047619048,O3
2,2013-01-03,2013,01,03,56.56043083900227,PM25
3,2013-01-04,2013,01,04,37.460005668934244,PM25
4,2013-01-05,2013,01,05,35.090833333333336,O3
5,2013-01-06,2013,01,06,36.235634920634915,O3
6,2013-01-07,2013,01,07,36.34583333333334,O3
7,2013-01-08,2013,01,08,36.75325396825396,O3
8,2013-01-09,2013,01,09,49.705314625850335,PM25
9,2013-01-10,2013,01,10,51.62334183673469,PM25
10,2013-01-11,2013,01,11,59.70717120181406,PM25
11,2013-01-12,2013,01,12,76.79702380952381,PM25
12,2013-01-13,2013,01,13,48.12638888888889,PM25
13,2013-01-14,2013,01,14,40.76906179138322,PM25
14,2013-01-15,2013,01,15,33.473214285714285,O3
15,2013-01-16,2013,01,16,34.30892857142858,O3
16,2013-01-17,2013,01,17,42.952621882086156,PM25
17,2013-01-18,2013,01,18,51.026006235827666,PM25
18,2013-01-19,2013,01,19,35.33119047619048,O3
19,2013-01-20,2013,01,20,36.28873015873016,O3
20,2013-01-21,2013,01,21,37.04551587301588,O3
21,2013-01-22,2013,01,22,37.19202380952382,O3
22,2013-01-23,2013,01,23,37.00869047619048,O3
23,2013-01-24,2013,01,24,36.84730158730159,O3
24,2013-01-25,2013,01,25,35.772579365079366,O3
25,2013-01-26,2013,01,26,36.349087301587296,O3
26,2013-01-27,2013,01,27,55.332312925170065,PM25
27,2013-01-28,2013,01,28,46.71978458049886,PM25
28,2013-01-29,2013,01,29,40.482780612244895,PM25
29,2013-01-30,2013,01,30,37.50728458049887,PM25
30,2013-01-31,2013,01,31,37.072936507936504,O3
31,2013-02-01,2013,02,01,36.317817460317464,O3
32,2013-02-02,2013,02,02,36.41448412698413,O3
33,2013-02-03,2013,02,03,38.29595238095238,O3
34,2013-02-04,2013,02,04,35.80123015873016,O3
35,2013-02-05,2013,02,05,33.36214285714286,O3
36,2013-02-06,2013,02,06,31.948571428571434,O3
