,Date,Year,Month,Day,MAX_val,MAX_name
0,2013-01-01,2013,01,01,141.9857692307692,PM10
1,2013-01-02,2013,01,02,75.06346153846154,PM25
2,2013-01-03,2013,01,03,74.2028846153846,PM25
3,2013-01-04,2013,01,04,109.9557692307692,PM25
4,2013-01-05,2013,01,05,171.95604395604394,PM25
5,2013-01-06,2013,01,06,285.26846153846157,PM25
6,2013-01-07,2013,01,07,233.7015384615384,PM25
7,2013-01-08,2013,01,08,447.62410256410254,PM25
8,2013-01-09,2013,01,09,268.76769230769236,PM25
9,2013-01-10,2013,01,10,358.22461538461533,PM25
10,2013-01-11,2013,01,11,326.11923076923074,PM25
11,2013-01-12,2013,01,12,404.7241025641026,PM25
12,2013-01-13,2013,01,13,307.66153846153844,PM25
13,2013-01-14,2013,01,14,452.0269230769231,PM10
14,2013-01-15,2013,01,15,412.8402564102564,PM25
15,2013-01-16,2013,01,16,420.27500000000003,PM10
16,2013-01-17,2013,01,17,200.28571428571428,PM25
17,2013-01-18,2013,01,18,202.60164835164835,PM25
18,2013-01-19,2013,01,19,225.71076923076922,PM25
19,2013-01-20,2013,01,20,256.14230769230767,PM25
20,2013-01-21,2013,01,21,259.4238461538461,PM25
21,2013-01-22,2013,01,22,267.46307692307687,PM25
22,2013-01-23,2013,01,23,295.88230769230773,PM25
23,2013-01-24,2013,01,24,139.01978021978022,PM25
24,2013-01-25,2013,01,25,89.20961538461539,PM25
25,2013-01-26,2013,01,26,192.94989010989013,PM25
26,2013-01-27,2013,01,27,230.2246153846154,PM25
27,2013-01-28,2013,01,28,241.01000000000002,PM25
28,2013-01-29,2013,01,29,281.54538461538465,PM25
29,2013-01-30,2013,01,30,230.2153846153846,PM25
30,2013-01-31,2013,01,31,173.03406593406595,PM25
31,2013-02-01,2013,02,01,283.52692307692314,PM25
32,2013-02-02,2013,02,02,141.10989010989013,PM25
33,2013-02-03,2013,02,03,123.77788461538461,PM25
34,2013-02-04,2013,02,04,158.84945054945058,PM25
35,2013-02-05,2013,02,05,134.16730769230767,PM25
36,2013-02-06,2013,02,06,213.10010989010988,PM25
37,2013-02-07,2013,02,07,88.0,CO
38,2013-02-08,2013,02,08,66.46153846153847,CO
39,2013-02-09,2013,02,09,99.26346153846156,PM25
40,2013-02-10,2013,02,10,246.50076923076924,PM25
41,2013-02-11,2013,02,11,203.19538461538457,PM25
42,2013-02-12,2013,02,12,124.51250000000002,PM25
43,2013-02-13,2013,02,13,116.43557692307692,PM25
44,2013-02-14,2013,02,14,224.88230769230768,PM25
45,2013-02-15,2013,02,15,241.5892307692308,PM25
46,2013-02-16,2013,02,16,250.10769230769228,PM25
47,2013-02-17,2013,02,17,241.14769230769235,PM25
48,2013-02-18,2013,02,18,144.61085164835166,PM25
49,2013-02-19,2013,02,19,99.19999999999999,PM25
50,2013-02-20,2013,02,20,102.39423076923079,PM25
51,2013-02-21,2013,02,21,200.9524175824176,PM25
52,2013-02-22,2013,02,22,265.40384615384613,PM25
53,2013-02-23,2013,02,23,281.27076923076925,PM25
54,2013-02-24,2013,02,24,264.4030769230769,PM25
55,2013-02-25,2013,02,25,330.8676923076924,PM25
56,2013-02-26,2013,02,26,292.01,PM25
57,2013-02-27,2013,02,27,368.42999999999995,PM25
58,2013-02-28,2013,02,28,278.21999999999997,PM25
59,2013-03-01,2013,03,01,74.81076923076922,PM10
60,2013-03-02,2013,03,02,53.18653846153847,PM10
61,2013-03-03,2013,03,03,111.86076923076924,PM10
62,2013-03-04,2013,03,04,118.11538461538461,PM10
63,2013-03-05,2013,03,05,105.47884615384616,PM25
64,2013-03-06,2013,03,06,97.17307692307692,PM25
65,2013-03-07,2013,03,07,106.11730769230768,PM25
66,2013-03-08,2013,03,08,89.30865384615385,PM25
67,2013-03-09,2013,03,09,129.55461538461537,PM10
68,2013-03-10,2013,03,10,71.4503846153846,PM10
69,2013-03-11,2013,03,11,57.279807692307685,PM25
70,2013-03-12,2013,03,12,120.70192307692307,PM25
71,2013-03-13,2013,03,13,89.32692307692307,PM25
72,2013-03-14,2013,03,14,70.25673076923077,PM25
73,2013-03-15,2013,03,15,87.57884615384614,PM25
74,2013-03-16,2013,03,16,124.27692307692308,PM25
75,2013-03-17,2013,03,17,208.32999999999998,PM25
76,2013-03-18,2013,03,18,111.05846153846154,PM10
77,2013-03-19,2013,03,19,83.5951923076923,PM25
78,2013-03-20,2013,03,20,76.68653846153846,PM25
79,2013-03-21,2013,03,21,105.41346153846153,PM25
80,2013-03-22,2013,03,22,182.7945054945055,PM25
81,2013-03-23,2013,03,23,146.97815934065937,PM25
82,2013-03-24,2013,03,24,103.80384615384614,PM25
83,2013-03-25,2013,03,25,81.1951923076923,PM25
84,2013-03-26,2013,03,26,91.96442307692308,PM25
85,2013-03-27,2013,03,27,95.06442307692308,PM25
86,2013-03-28,2013,03,28,143.73173076923075,PM25
87,2013-03-29,2013,03,29,105.79615384615387,PM25
88,2013-03-30,2013,03,30,146.7451923076923,PM25
89,2013-03-31,2013,03,31,133.0596153846154,PM25
90,2013-04-01,2013,04,01,147.36112637362638,PM25
91,2013-04-02,2013,04,02,70.16346153846153,PM25
92,2013-04-03,2013,04,03,102.08076923076922,PM25
93,2013-04-04,2013,04,04,143.25274725274724,PM25
94,2013-04-05,2013,04,05,159.44285714285712,PM25
95,2013-04-06,2013,04,06,73.01153846153846,PM25
96,2013-04-07,2013,04,07,74.22307692307692,PM25
97,2013-04-08,2013,04,08,72.9375,PM25
98,2013-04-09,2013,04,09,66.24192307692309,PM10
99,2013-04-10,2013,04,10,72.4573076923077,PM10
100,2013-04-11,2013,04,11,74.18942307692308,PM25
101,2013-04-12,2013,04,12,92.79423076923078,PM25
102,2013-04-13,2013,04,13,71.66538461538462,PM25
103,2013-04-14,2013,04,14,71.28615384615385,PM10
104,2013-04-15,2013,04,15,82.225,PM25
105,2013-04-16,2013,04,16,89.54134615384615,PM25
106,2013-04-17,2013,04,17,118.3307692307692,PM25
107,2013-04-18,2013,04,18,107.375,PM25
108,2013-04-19,2013,04,19,51.07307692307692,PM25
