,Date,Year,Month,Day,MAX_val,MAX_name
0,2013-01-01,2013,01,01,86.54527777777777,PM25
1,2013-01-02,2013,01,02,100.90416666666668,PM25
2,2013-01-03,2013,01,03,60.38222222222222,PM25
3,2013-01-04,2013,01,04,89.99027777777776,PM25
4,2013-01-05,2013,01,05,103.78666666666666,PM25
5,2013-01-06,2013,01,06,91.68027777777777,PM25
6,2013-01-07,2013,01,07,115.1325,PM25
7,2013-01-08,2013,01,08,158.4625,PM25
8,2013-01-09,2013,01,09,205.974,PM25
9,2013-01-10,2013,01,10,130.11035714285714,PM25
10,2013-01-11,2013,01,11,130.5511111111111,PM25
11,2013-01-12,2013,01,12,151.55166666666668,PM25
12,2013-01-13,2013,01,13,116.50361111111111,PM25
13,2013-01-14,2013,01,14,90.75472222222223,PM25
14,2013-01-15,2013,01,15,150.50666666666666,PM25
15,2013-01-16,2013,01,16,209.19330158730162,PM25
16,2013-01-17,2013,01,17,177.41774603174602,PM25
17,2013-01-18,2013,01,18,85.37444444444444,PM25
18,2013-01-19,2013,01,19,103.49444444444443,PM25
19,2013-01-20,2013,01,20,81.03083333333333,PM25
20,2013-01-21,2013,01,21,134.59099206349208,PM25
21,2013-01-22,2013,01,22,115.24583333333331,PM25
22,2013-01-23,2013,01,23,128.4713888888889,PM25
23,2013-01-24,2013,01,24,150.30079365079365,PM25
24,2013-01-25,2013,01,25,150.52833333333336,PM25
25,2013-01-26,2013,01,26,142.7247619047619,PM25
26,2013-01-27,2013,01,27,153.15138888888887,PM25
27,2013-01-28,2013,01,28,143.16845238095237,PM25
28,2013-01-29,2013,01,29,114.02158730158729,PM25
29,2013-01-30,2013,01,30,98.60083333333333,PM25
30,2013-01-31,2013,01,31,76.34,PM25
31,2013-02-01,2013,02,01,102.4975,PM25
32,2013-02-02,2013,02,02,131.8431349206349,PM25
33,2013-02-03,2013,02,03,70.60805555555555,PM25
34,2013-02-04,2013,02,04,92.80305555555555,PM25
35,2013-02-05,2013,02,05,65.43083333333334,PM25
36,2013-02-06,2013,02,06,62.93722222222222,PM25
37,2013-02-07,2013,02,07,61.520714285714305,PM25
