,Date,Year,Month,Day,MAX_val,MAX_name
0,2014-01-01,2014,01,01,99.7316869300912,PM25
1,2014-01-02,2014,01,02,122.35676291793314,PM25
2,2014-01-03,2014,01,03,171.21560030395136,PM25
3,2014-01-04,2014,01,04,110.4115121580547,PM25
4,2014-01-05,2014,01,05,103.56143617021276,PM25
5,2014-01-06,2014,01,06,153.1001671732523,PM25
6,2014-01-07,2014,01,07,183.20022036474168,PM25
7,2014-01-08,2014,01,08,180.87106382978723,PM25
8,2014-01-09,2014,01,09,143.26166413373858,PM25
9,2014-01-10,2014,01,10,90.80957446808512,PM25
10,2014-01-11,2014,01,11,69.25338145896656,PM25
11,2014-01-12,2014,01,12,136.39399696048636,PM25
12,2014-01-13,2014,01,13,232.43462006079022,PM25
13,2014-01-14,2014,01,14,169.81550911854103,PM25
14,2014-01-15,2014,01,15,116.7688829787234,PM25
15,2014-01-16,2014,01,16,96.73643617021276,PM25
16,2014-01-17,2014,01,17,199.26446808510636,PM25
17,2014-01-18,2014,01,18,179.31399696048632,PM25
18,2014-01-19,2014,01,19,159.69259118541035,PM25
19,2014-01-20,2014,01,20,148.17526595744684,PM25
20,2014-01-21,2014,01,21,74.76148936170212,PM10
21,2014-01-22,2014,01,22,77.75436930091186,PM25
22,2014-01-23,2014,01,23,71.45638297872341,PM25
23,2014-01-24,2014,01,24,73.19426291793313,PM25
24,2014-01-25,2014,01,25,220.3827659574468,PM25
25,2014-01-26,2014,01,26,199.26917933130701,PM25
26,2014-01-27,2014,01,27,179.41858662613978,PM25
27,2014-01-28,2014,01,28,207.76615501519763,PM25
28,2014-01-29,2014,01,29,201.1970896656535,PM25
29,2014-01-30,2014,01,30,138.8008358662614,PM25
30,2014-01-31,2014,01,31,141.09958206686935,PM25
31,2014-02-01,2014,02,01,114.6912993920973,PM25
32,2014-02-02,2014,02,02,133.13001519756835,PM25
33,2014-02-03,2014,02,03,142.89893617021278,PM25
34,2014-02-04,2014,02,04,49.12914893617022,PM10
35,2014-02-05,2014,02,05,38.70911854103344,PM25
36,2014-02-06,2014,02,06,38.35835866261398,PM25
37,2014-02-07,2014,02,07,49.87370820668693,PM25
38,2014-02-08,2014,02,08,60.45227963525836,PM25
39,2014-02-09,2014,02,09,85.36755319148938,PM25
40,2014-02-10,2014,02,10,85.76329787234043,PM25
41,2014-02-11,2014,02,11,78.21329787234042,PM25
42,2014-02-12,2014,02,12,88.69202127659574,PM25
43,2014-02-13,2014,02,13,93.39760638297872,PM25
44,2014-02-14,2014,02,14,84.63351063829788,PM25
45,2014-02-15,2014,02,15,79.62526595744681,PM25
46,2014-02-16,2014,02,16,81.50824468085105,PM25
47,2014-02-17,2014,02,17,87.42606382978722,PM25
48,2014-02-18,2014,02,18,44.57241641337386,PM25
49,2014-02-19,2014,02,19,52.788715805471114,PM25
50,2014-02-20,2014,02,20,65.08430851063831,PM25
51,2014-02-21,2014,02,21,69.67154255319149,PM25
52,2014-02-22,2014,02,22,78.26994680851064,PM25
53,2014-02-23,2014,02,23,111.3758738601824,PM25
54,2014-02-24,2014,02,24,88.38643617021276,PM25
55,2014-02-25,2014,02,25,65.86299392097266,PM25
56,2014-02-26,2014,02,26,82.96622340425533,PM25
57,2014-02-27,2014,02,27,64.19380699088146,PM25
58,2014-02-28,2014,02,28,31.372127659574467,PM10
59,2014-03-01,2014,03,01,60.64916413373859,PM25
60,2014-03-02,2014,03,02,81.12739361702126,PM25
61,2014-03-03,2014,03,03,76.67898936170212,PM25
62,2014-03-04,2014,03,04,89.85319148936169,PM25
63,2014-03-05,2014,03,05,89.73776595744681,PM25
64,2014-03-06,2014,03,06,76.42420212765958,PM25
65,2014-03-07,2014,03,07,42.94053191489362,PM10
66,2014-03-08,2014,03,08,56.26698328267476,PM25
67,2014-03-09,2014,03,09,66.92313829787234,PM25
68,2014-03-10,2014,03,10,75.38377659574466,PM25
69,2014-03-11,2014,03,11,82.40239361702127,PM25
70,2014-03-12,2014,03,12,83.0276595744681,PM25
71,2014-03-13,2014,03,13,76.28643617021277,PM25
72,2014-03-14,2014,03,14,78.39601063829787,PM25
73,2014-03-15,2014,03,15,66.69715045592704,PM25
74,2014-03-16,2014,03,16,73.91702127659575,PM25
75,2014-03-17,2014,03,17,72.12553191489364,PM25
76,2014-03-18,2014,03,18,78.2468085106383,PM25
77,2014-03-19,2014,03,19,107.21989361702127,PM10
78,2014-03-20,2014,03,20,70.96010638297871,PM25
79,2014-03-21,2014,03,21,60.419414893617,PM25
80,2014-03-22,2014,03,22,64.10319148936169,PM25
81,2014-03-23,2014,03,23,83.56143617021277,PM25
82,2014-03-24,2014,03,24,82.4127659574468,PM25
83,2014-03-25,2014,03,25,65.41595744680852,PM25
84,2014-03-26,2014,03,26,65.76622340425531,PM25
85,2014-03-27,2014,03,27,68.77101063829787,PM25
86,2014-03-28,2014,03,28,45.56344984802431,PM25
87,2014-03-29,2014,03,29,65.45925531914895,PM10
88,2014-03-30,2014,03,30,90.78324468085104,PM25
89,2014-03-31,2014,03,31,84.11356382978724,PM25
90,2014-04-01,2014,04,01,72.75030395136778,PM25
91,2014-04-02,2014,04,02,71.87716565349544,PM25
92,2014-04-03,2014,04,03,82.50372340425531,PM25
93,2014-04-04,2014,04,04,87.2473404255319,PM25
94,2014-04-05,2014,04,05,93.41329787234044,PM25
95,2014-04-06,2014,04,06,70.23058510638297,PM25
96,2014-04-07,2014,04,07,71.56633738601823,PM25
97,2014-04-08,2014,04,08,62.54202127659574,PM25
98,2014-04-09,2014,04,09,71.55877659574467,PM25
99,2014-04-10,2014,04,10,70.24787234042553,PM25
100,2014-04-11,2014,04,11,59.11542553191491,PM25
101,2014-04-12,2014,04,12,57.037234042553195,PM25
102,2014-04-13,2014,04,13,69.78670212765958,PM25
103,2014-04-14,2014,04,14,52.78727203647417,PM25
104,2014-04-15,2014,04,15,57.997226443769,PM25
105,2014-04-16,2014,04,16,51.094908814589665,PM25
