,Date,Year,Month,Day,MAX_val,MAX_name
0,2014-01-01,2014,01,01,141.3151220614828,PM25
1,2014-01-02,2014,01,02,115.20316455696204,PM25
2,2014-01-03,2014,01,03,130.02995027124774,PM25
3,2014-01-04,2014,01,04,168.59805153707055,PM25
4,2014-01-05,2014,01,05,154.8633137432188,PM25
5,2014-01-06,2014,01,06,105.72974683544305,PM25
6,2014-01-07,2014,01,07,69.28860759493669,PM25
7,2014-01-08,2014,01,08,77.29509493670886,PM25
8,2014-01-09,2014,01,09,110.26534810126584,PM25
9,2014-01-10,2014,01,10,151.89999999999998,PM25
10,2014-01-11,2014,01,11,142.07730560578662,PM25
11,2014-01-12,2014,01,12,62.85522151898734,PM25
12,2014-01-13,2014,01,13,65.86661392405061,PM25
13,2014-01-14,2014,01,14,90.6243670886076,PM25
14,2014-01-15,2014,01,15,122.73370253164556,PM25
15,2014-01-16,2014,01,16,120.38517179023505,PM25
16,2014-01-17,2014,01,17,119.22251356238694,PM25
17,2014-01-18,2014,01,18,135.6512206148282,PM25
18,2014-01-19,2014,01,19,145.98053797468353,PM25
19,2014-01-20,2014,01,20,148.34604430379747,PM25
20,2014-01-21,2014,01,21,94.43291139240506,PM25
21,2014-01-22,2014,01,22,90.97879746835441,PM25
22,2014-01-23,2014,01,23,77.54590867992766,PM25
23,2014-01-24,2014,01,24,45.559787522603976,PM25
24,2014-01-25,2014,01,25,56.79355786618446,PM25
25,2014-01-26,2014,01,26,145.48503616636532,PM25
26,2014-01-27,2014,01,27,112.36356238698012,PM25
27,2014-01-28,2014,01,28,56.1379972875226,PM25
28,2014-01-29,2014,01,29,40.50443037974684,PM25
29,2014-01-30,2014,01,30,45.30942585895117,PM25
30,2014-01-31,2014,01,31,77.27029837251358,PM25
31,2014-02-01,2014,02,01,44.67149638336347,PM25
32,2014-02-02,2014,02,02,42.104520795660044,PM25
33,2014-02-03,2014,02,03,45.870886075949365,PM25
34,2014-02-04,2014,02,04,66.0472197106691,PM25
35,2014-02-05,2014,02,05,39.43822784810126,O3
36,2014-02-06,2014,02,06,34.87196202531645,O3
37,2014-02-07,2014,02,07,42.07886528028932,PM25
38,2014-02-08,2014,02,08,71.05189873417721,PM25
39,2014-02-09,2014,02,09,54.13435804701628,PM25
40,2014-02-10,2014,02,10,73.32879746835442,PM25
41,2014-02-11,2014,02,11,92.8628164556962,PM25
42,2014-02-12,2014,02,12,109.56867088607594,PM25
43,2014-02-13,2014,02,13,72.19177215189873,PM25
44,2014-02-14,2014,02,14,90.71155063291138,PM25
45,2014-02-15,2014,02,15,124.46977848101265,PM25
46,2014-02-16,2014,02,16,84.24050632911394,PM25
47,2014-02-17,2014,02,17,70.1621835443038,PM25
48,2014-02-18,2014,02,18,44.313087703435805,PM25
49,2014-02-19,2014,02,19,60.680018083182645,PM25
50,2014-02-20,2014,02,20,80.48338607594937,PM25
51,2014-02-21,2014,02,21,94.31645569620254,PM25
52,2014-02-22,2014,02,22,63.50465641952985,PM25
53,2014-02-23,2014,02,23,55.882933996383365,PM25
54,2014-02-24,2014,02,24,58.24597649186258,PM25
55,2014-02-25,2014,02,25,31.375063291139234,O3
56,2014-02-26,2014,02,26,47.49344484629296,PM25
57,2014-02-27,2014,02,27,81.2344936708861,PM25
58,2014-02-28,2014,02,28,41.81887432188066,PM25
59,2014-03-01,2014,03,01,36.42676311030743,PM25
60,2014-03-02,2014,03,02,71.92341772151899,PM25
61,2014-03-03,2014,03,03,81.06629746835443,PM25
62,2014-03-04,2014,03,04,68.59256329113926,PM25
63,2014-03-05,2014,03,05,86.29193037974684,PM25
64,2014-03-06,2014,03,06,69.00791139240506,PM25
65,2014-03-07,2014,03,07,54.14245027124774,PM25
66,2014-03-08,2014,03,08,60.70522151898734,PM25
67,2014-03-09,2014,03,09,58.31672694394214,PM25
68,2014-03-10,2014,03,10,61.050271247739595,PM25
69,2014-03-11,2014,03,11,60.12122513562385,PM25
70,2014-03-12,2014,03,12,57.948191681736006,PM25
71,2014-03-13,2014,03,13,69.54620253164556,PM25
72,2014-03-14,2014,03,14,96.98607594936708,PM25
73,2014-03-15,2014,03,15,92.6754746835443,PM25
74,2014-03-16,2014,03,16,73.03813291139241,PM25
75,2014-03-17,2014,03,17,59.96216094032548,PM25
76,2014-03-18,2014,03,18,53.46546112115733,PM25
77,2014-03-19,2014,03,19,42.220614828209776,PM25
78,2014-03-20,2014,03,20,53.75838607594938,PM25
79,2014-03-21,2014,03,21,70.44224683544304,PM25
80,2014-03-22,2014,03,22,95.20158227848103,PM25
81,2014-03-23,2014,03,23,90.43971518987341,PM25
82,2014-03-24,2014,03,24,99.24753616636526,PM25
83,2014-03-25,2014,03,25,51.32086347197108,PM25
84,2014-03-26,2014,03,26,41.42931735985534,PM25
85,2014-03-27,2014,03,27,43.99924050632912,PM10
86,2014-03-28,2014,03,28,37.145696202531646,PM10
87,2014-03-29,2014,03,29,40.79303797468354,PM10
88,2014-03-30,2014,03,30,45.562952079566,PM25
89,2014-03-31,2014,03,31,45.56879746835443,PM10
90,2014-04-01,2014,04,01,65.8732594936709,PM25
91,2014-04-02,2014,04,02,79.9115506329114,PM25
92,2014-04-03,2014,04,03,63.39066455696203,PM25
93,2014-04-04,2014,04,04,81.84509493670886,PM25
94,2014-04-05,2014,04,05,74.06693037974684,PM25
95,2014-04-06,2014,04,06,48.501288426763104,PM25
96,2014-04-07,2014,04,07,43.820637432188065,PM25
97,2014-04-08,2014,04,08,37.39783001808319,PM25
98,2014-04-09,2014,04,09,33.61193490054249,PM25
99,2014-04-10,2014,04,10,27.885895117540684,PM25
100,2014-04-11,2014,04,11,28.168354430379743,O3
101,2014-04-12,2014,04,12,30.640379746835446,O3
102,2014-04-13,2014,04,13,34.441952983725145,PM25
103,2014-04-14,2014,04,14,45.07145117540687,PM25
104,2014-04-15,2014,04,15,36.80343580470163,PM25
105,2014-04-16,2014,04,16,33.67269439421339,PM25
106,2014-04-17,2014,04,17,34.71556962025316,O3
107,2014-04-18,2014,04,18,34.01139240506329,O3
108,2014-04-19,2014,04,19,33.40886075949367,PM25
109,2014-04-20,2014,04,20,44.98711573236889,PM25
110,2014-04-21,2014,04,21,24.968291139240502,O3
111,2014-04-22,2014,04,22,36.99050632911393,PM25
112,2014-04-23,2014,04,23,59.05305153707051,PM25
113,2014-04-24,2014,04,24,29.233634719710672,PM25
114,2014-04-25,2014,04,25,33.231645569620255,O3
115,2014-04-26,2014,04,26,45.821835443037976,PM10
116,2014-04-27,2014,04,27,59.31473779385172,PM25
117,2014-04-28,2014,04,28,69.82215189873416,PM25
118,2014-04-29,2014,04,29,76.46914556962027,PM25
119,2014-04-30,2014,04,30,63.05886075949367,PM25
120,2014-05-01,2014,05,01,76.56772151898733,PM25
121,2014-05-02,2014,05,02,76.27009493670887,PM25
122,2014-05-03,2014,05,03,66.37674050632909,PM25
123,2014-05-04,2014,05,04,53.62303345388788,PM25
124,2014-05-05,2014,05,05,41.297875226039785,PM25
125,2014-05-06,2014,05,06,70.41202531645567,PM25
126,2014-05-07,2014,05,07,81.17689873417721,PM25
