,Date,Year,Month,Day,MAX_val,MAX_name
0,2014-01-01,2014,01,01,64.43599999999999,PM10
1,2014-01-02,2014,01,02,109.65562500000001,PM25
2,2014-01-03,2014,01,03,65.69,PM10
3,2014-01-04,2014,01,04,76.416875,PM25
4,2014-01-05,2014,01,05,95.4165625,PM25
5,2014-01-06,2014,01,06,97.47218749999999,PM25
6,2014-01-07,2014,01,07,108.6328125,PM25
7,2014-01-08,2014,01,08,77.75611607142858,PM25
8,2014-01-09,2014,01,09,55.309375,PM10
9,2014-01-10,2014,01,10,97.68712500000001,PM10
10,2014-01-11,2014,01,11,120.27624999999998,PM25
11,2014-01-12,2014,01,12,56.242375,PM10
12,2014-01-13,2014,01,13,67.53175000000002,PM10
13,2014-01-14,2014,01,14,120.24343749999998,PM25
14,2014-01-15,2014,01,15,176.44642857142858,PM25
15,2014-01-16,2014,01,16,126.65513392857142,PM25
16,2014-01-17,2014,01,17,77.88,CO
17,2014-01-18,2014,01,18,70.2125,CO
18,2014-01-19,2014,01,19,70.90875000000001,PM10
19,2014-01-20,2014,01,20,32.246500000000005,PM10
20,2014-01-21,2014,01,21,55.9505,SO2
21,2014-01-22,2014,01,22,71.69125,PM25
22,2014-01-23,2014,01,23,97.74125000000001,PM25
23,2014-01-24,2014,01,24,149.99635714285714,PM25
24,2014-01-25,2014,01,25,100.2553125,PM25
25,2014-01-26,2014,01,26,71.08250000000001,PM25
26,2014-01-27,2014,01,27,91.2321875,PM25
27,2014-01-28,2014,01,28,79.7953125,PM25
28,2014-01-29,2014,01,29,85.9075,PM25
29,2014-01-30,2014,01,30,112.59624999999998,PM25
30,2014-01-31,2014,01,31,199.93571428571428,PM25
31,2014-02-01,2014,02,01,107.15236607142856,PM25
32,2014-02-02,2014,02,02,142.46531249999998,PM25
33,2014-02-03,2014,02,03,71.73781249999999,PM25
34,2014-02-04,2014,02,04,50.961124999999996,PM10
35,2014-02-05,2014,02,05,46.47995535714286,PM25
36,2014-02-06,2014,02,06,74.10513392857142,PM25
37,2014-02-07,2014,02,07,76.7215625,PM25
38,2014-02-08,2014,02,08,94.19375,PM25
39,2014-02-09,2014,02,09,63.254999999999995,PM25
40,2014-02-10,2014,02,10,52.051750000000006,PM10
41,2014-02-11,2014,02,11,78.6371875,PM25
42,2014-02-12,2014,02,12,91.2953125,PM25
43,2014-02-13,2014,02,13,111.253125,PM25
44,2014-02-14,2014,02,14,142.82491071428575,PM25
45,2014-02-15,2014,02,15,177.30001785714288,PM25
46,2014-02-16,2014,02,16,152.03004464285715,PM25
47,2014-02-17,2014,02,17,116.751875,PM25
48,2014-02-18,2014,02,18,83.025625,PM25
49,2014-02-19,2014,02,19,87.43499999999999,PM25
50,2014-02-20,2014,02,20,122.27209821428573,PM25
51,2014-02-21,2014,02,21,113.4070982142857,PM25
52,2014-02-22,2014,02,22,122.415,PM25
53,2014-02-23,2014,02,23,159.74638392857142,PM25
54,2014-02-24,2014,02,24,164.04714285714286,PM25
55,2014-02-25,2014,02,25,117.58058035714285,PM25
56,2014-02-26,2014,02,26,103.5085,PM10
57,2014-02-27,2014,02,27,78.849875,PM10
58,2014-02-28,2014,02,28,65.41675000000001,PM10
59,2014-03-01,2014,03,01,83.24312499999999,PM10
60,2014-03-02,2014,03,02,103.18587500000001,PM10
61,2014-03-03,2014,03,03,120.4334375,PM25
62,2014-03-04,2014,03,04,102.19593749999999,PM25
63,2014-03-05,2014,03,05,82.89812500000001,PM25
64,2014-03-06,2014,03,06,105.66937499999999,PM25
65,2014-03-07,2014,03,07,96.0171875,PM25
66,2014-03-08,2014,03,08,91.696875,PM25
67,2014-03-09,2014,03,09,74.26625,PM25
68,2014-03-10,2014,03,10,90.773125,PM25
69,2014-03-11,2014,03,11,84.1140625,PM25
70,2014-03-12,2014,03,12,89.2890625,PM25
71,2014-03-13,2014,03,13,54.67125,PM10
72,2014-03-14,2014,03,14,57.374,PM10
73,2014-03-15,2014,03,15,66.30662500000001,PM10
74,2014-03-16,2014,03,16,85.332375,PM10
75,2014-03-17,2014,03,17,118.64200000000001,PM10
76,2014-03-18,2014,03,18,135.29762499999998,PM10
77,2014-03-19,2014,03,19,94.75287499999999,PM10
78,2014-03-20,2014,03,20,55.19200000000001,PM10
79,2014-03-21,2014,03,21,65.96287500000001,PM10
80,2014-03-22,2014,03,22,61.65712500000001,PM10
81,2014-03-23,2014,03,23,71.90775,PM10
82,2014-03-24,2014,03,24,73.364375,PM25
83,2014-03-25,2014,03,25,99.69375,PM25
84,2014-03-26,2014,03,26,129.93964285714284,PM25
85,2014-03-27,2014,03,27,102.81906250000002,PM25
86,2014-03-28,2014,03,28,62.33262500000001,PM10
87,2014-03-29,2014,03,29,78.225875,PM10
88,2014-03-30,2014,03,30,101.17281249999999,PM25
89,2014-03-31,2014,03,31,59.313625,PM10
90,2014-04-01,2014,04,01,70.3821875,PM25
91,2014-04-02,2014,04,02,92.50750000000001,PM25
92,2014-04-03,2014,04,03,78.28218749999999,PM25
93,2014-04-04,2014,04,04,85.1884375,PM25
94,2014-04-05,2014,04,05,74.575875,PM10
95,2014-04-06,2014,04,06,70.998625,PM10
96,2014-04-07,2014,04,07,74.26575,PM10
97,2014-04-08,2014,04,08,94.26031250000001,PM25
98,2014-04-09,2014,04,09,99.03875000000001,PM25
99,2014-04-10,2014,04,10,105.42281249999999,PM25
100,2014-04-11,2014,04,11,97.88343749999999,PM25
101,2014-04-12,2014,04,12,132.32218749999998,PM25
102,2014-04-13,2014,04,13,144.90977678571429,PM25
103,2014-04-14,2014,04,14,100.87718749999999,PM25
104,2014-04-15,2014,04,15,61.872187499999995,PM25
105,2014-04-16,2014,04,16,95.2646875,PM25
106,2014-04-17,2014,04,17,92.81937500000001,PM25
107,2014-04-18,2014,04,18,121.13312500000002,PM25
108,2014-04-19,2014,04,19,63.2046875,PM25
109,2014-04-20,2014,04,20,78.6734375,PM25
110,2014-04-21,2014,04,21,83.8965625,PM25
111,2014-04-22,2014,04,22,65.2128125,PM25
112,2014-04-23,2014,04,23,89.66625,PM25
113,2014-04-24,2014,04,24,102.59781249999999,PM25
114,2014-04-25,2014,04,25,84.8621875,PM25
115,2014-04-26,2014,04,26,72.439,PM10
116,2014-04-27,2014,04,27,75.910625,PM10
117,2014-04-28,2014,04,28,75.904875,PM10
118,2014-04-29,2014,04,29,72.73225,PM10
119,2014-04-30,2014,04,30,75.013875,PM10
120,2014-05-01,2014,05,01,80.94812499999999,PM10
121,2014-05-02,2014,05,02,51.159749999999995,PM10
122,2014-05-03,2014,05,03,59.18425,PM10
123,2014-05-04,2014,05,04,58.35825,PM10
124,2014-05-05,2014,05,05,59.118875,PM10
125,2014-05-06,2014,05,06,66.996875,PM10
126,2014-05-07,2014,05,07,58.861374999999995,PM10
127,2014-05-08,2014,05,08,77.985375,PM10
128,2014-05-09,2014,05,09,92.4525,PM25
129,2014-05-10,2014,05,10,65.35,PM25
130,2014-05-11,2014,05,11,50.021375,PM10
131,2014-05-12,2014,05,12,57.7445,PM10
132,2014-05-13,2014,05,13,64.8185,PM10
133,2014-05-14,2014,05,14,63.64312500000001,PM10
134,2014-05-15,2014,05,15,66.079625,PM10
135,2014-05-16,2014,05,16,78.346,PM10
136,2014-05-17,2014,05,17,98.87,PM25
137,2014-05-18,2014,05,18,84.80624999999999,PM25
138,2014-05-19,2014,05,19,83.95531249999999,PM25
139,2014-05-20,2014,05,20,83.9675,PM25
140,2014-05-21,2014,05,21,80.06975,PM10
141,2014-05-22,2014,05,22,102.296875,PM25
142,2014-05-23,2014,05,23,64.93424999999999,PM10
143,2014-05-24,2014,05,24,62.19562499999999,PM25
144,2014-05-25,2014,05,25,96.57975,PM10
145,2014-05-26,2014,05,26,89.009375,PM10
146,2014-05-27,2014,05,27,91.26375,PM10
147,2014-05-28,2014,05,28,80.043375,PM10
148,2014-05-29,2014,05,29,75.82575,PM10
149,2014-05-30,2014,05,30,90.729125,PM10
150,2014-05-31,2014,05,31,94.53625,PM25
151,2014-06-01,2014,06,01,74.965625,PM25
152,2014-06-02,2014,06,02,80.551875,PM25
153,2014-06-03,2014,06,03,62.1703125,PM25
154,2014-06-04,2014,06,04,76.26237499999999,PM10
155,2014-06-05,2014,06,05,82.3996875,PM25
156,2014-06-06,2014,06,06,85.47875,PM25
157,2014-06-07,2014,06,07,50.753875,PM10
158,2014-06-08,2014,06,08,65.701,PM10
159,2014-06-09,2014,06,09,60.92212500000001,PM10
160,2014-06-10,2014,06,10,73.0775,PM10
161,2014-06-11,2014,06,11,155.00725892857145,PM25
162,2014-06-12,2014,06,12,87.40843749999999,PM25
163,2014-06-13,2014,06,13,87.71843750000001,PM25
164,2014-06-14,2014,06,14,95.54156250000001,PM25
165,2014-06-15,2014,06,15,124.72437500000001,PM25
166,2014-06-16,2014,06,16,174.99133928571428,PM25
167,2014-06-17,2014,06,17,96.13843750000001,PM25
168,2014-06-18,2014,06,18,115.05709821428573,PM25
169,2014-06-19,2014,06,19,67.8553125,PM25
170,2014-06-20,2014,06,20,50.15175000000001,PM10
171,2014-06-21,2014,06,21,90.9028125,PM25
172,2014-06-22,2014,06,22,78.0846875,PM25
173,2014-06-23,2014,06,23,79.386875,PM25
174,2014-06-24,2014,06,24,79.75999999999999,PM25
175,2014-06-25,2014,06,25,53.88709821428572,PM25
176,2014-06-26,2014,06,26,70.6903125,PM25
177,2014-06-27,2014,06,27,75.33875,PM25
178,2014-06-28,2014,06,28,71.61375000000001,PM25
179,2014-06-29,2014,06,29,56.699250000000006,PM10
180,2014-06-30,2014,06,30,62.25763392857143,PM25
181,2014-07-01,2014,07,01,63.4345,PM10
182,2014-07-02,2014,07,02,58.179625,PM10
183,2014-07-03,2014,07,03,74.1171875,PM25
184,2014-07-04,2014,07,04,65.548375,PM10
185,2014-07-05,2014,07,05,86.703125,PM25
186,2014-07-06,2014,07,06,121.12937500000001,PM25
187,2014-07-07,2014,07,07,104.62718750000002,PM25
188,2014-07-08,2014,07,08,92.8478125,PM25
189,2014-07-09,2014,07,09,107.85968749999999,PM25
190,2014-07-10,2014,07,10,64.334375,PM25
191,2014-07-11,2014,07,11,75.03625000000001,PM25
192,2014-07-12,2014,07,12,62.632875,PM10
193,2014-07-13,2014,07,13,55.244375000000005,PM10
194,2014-07-14,2014,07,14,57.01287500000001,PM10
195,2014-07-15,2014,07,15,61.71875,PM10
196,2014-07-16,2014,07,16,86.32875,PM25
197,2014-07-17,2014,07,17,73.4128125,PM25
198,2014-07-18,2014,07,18,70.6115625,PM25
199,2014-07-19,2014,07,19,59.67875,PM25
200,2014-07-20,2014,07,20,50.024,PM10
201,2014-07-21,2014,07,21,46.74175,PM10
202,2014-07-22,2014,07,22,57.821625,PM10
203,2014-07-23,2014,07,23,66.81129464285713,PM25
204,2014-07-24,2014,07,24,52.2375,PM10
205,2014-07-25,2014,07,25,48.383,PM10
206,2014-07-26,2014,07,26,65.333125,PM25
207,2014-07-27,2014,07,27,74.1153125,PM25
208,2014-07-28,2014,07,28,86.62531249999999,PM25
209,2014-07-29,2014,07,29,79.25968750000001,PM25
210,2014-07-30,2014,07,30,83.673125,PM25
211,2014-07-31,2014,07,31,106.18000000000002,PM25
212,2014-08-01,2014,08,01,107.771875,PM25
213,2014-08-02,2014,08,02,106.18531250000001,PM25
214,2014-08-03,2014,08,03,81.6090625,PM25
215,2014-08-04,2014,08,04,74.454375,PM25
216,2014-08-05,2014,08,05,55.347375,PM10
217,2014-08-06,2014,08,06,32.5125,CO
218,2014-08-07,2014,08,07,36.17035714285714,PM25
219,2014-08-08,2014,08,08,52.071562500000006,PM25
220,2014-08-09,2014,08,09,48.068883928571424,PM25
221,2014-08-10,2014,08,10,83.27000000000001,PM25
222,2014-08-11,2014,08,11,103.24437499999999,PM25
223,2014-08-12,2014,08,12,81.6659375,PM25
224,2014-08-13,2014,08,13,72.1803125,PM25
225,2014-08-14,2014,08,14,63.495044642857145,PM25
226,2014-08-15,2014,08,15,63.415625,PM25
227,2014-08-16,2014,08,16,73.77156249999999,PM25
228,2014-08-17,2014,08,17,59.6984375,PM25
229,2014-08-18,2014,08,18,66.8646875,PM25
230,2014-08-19,2014,08,19,82.220625,PM25
231,2014-08-20,2014,08,20,90.966875,PM25
232,2014-08-21,2014,08,21,95.17562500000001,PM25
233,2014-08-22,2014,08,22,93.3971875,PM25
234,2014-08-23,2014,08,23,83.9465625,PM25
235,2014-08-24,2014,08,24,48.804500000000004,PM10
236,2014-08-25,2014,08,25,56.29625,PM25
237,2014-08-26,2014,08,26,73.6453125,PM25
238,2014-08-27,2014,08,27,65.66656250000001,PM25
239,2014-08-28,2014,08,28,52.814687500000005,PM25
240,2014-08-29,2014,08,29,54.68025,PM10
241,2014-08-30,2014,08,30,52.186375,PM10
242,2014-08-31,2014,08,31,45.362767857142856,PM25
243,2014-09-01,2014,09,01,68.673125,PM25
244,2014-09-02,2014,09,02,54.415491071428576,PM25
245,2014-09-03,2014,09,03,45.040875,PM10
246,2014-09-04,2014,09,04,55.399285714285725,PM25
247,2014-09-05,2014,09,05,58.70550000000001,PM10
248,2014-09-06,2014,09,06,61.24249999999999,PM10
249,2014-09-07,2014,09,07,81.975625,PM25
250,2014-09-08,2014,09,08,101.37937500000001,PM25
251,2014-09-09,2014,09,09,72.61531249999999,PM25
252,2014-09-10,2014,09,10,86.525625,PM25
253,2014-09-11,2014,09,11,81.81781249999999,PM25
254,2014-09-12,2014,09,12,28.852125,O3
255,2014-09-13,2014,09,13,48.7395,PM10
256,2014-09-14,2014,09,14,49.826375,PM10
257,2014-09-15,2014,09,15,27.06875,CO
258,2014-09-16,2014,09,16,32.518125,NO2
259,2014-09-17,2014,09,17,36.40625,CO
260,2014-09-18,2014,09,18,47.66375,PM10
261,2014-09-19,2014,09,19,52.97540178571429,PM25
262,2014-09-20,2014,09,20,64.676875,PM25
263,2014-09-21,2014,09,21,75.9671875,PM25
264,2014-09-22,2014,09,22,61.795,PM25
265,2014-09-23,2014,09,23,52.66775,PM10
266,2014-09-24,2014,09,24,63.215625,PM25
267,2014-09-25,2014,09,25,94.4290625,PM25
268,2014-09-26,2014,09,26,94.44874999999999,PM25
269,2014-09-27,2014,09,27,114.6609375,PM25
270,2014-09-28,2014,09,28,61.637544642857144,PM25
271,2014-09-29,2014,09,29,53.828875,PM10
272,2014-09-30,2014,09,30,54.811,PM10
273,2014-10-01,2014,10,01,50.85675,PM10
274,2014-10-02,2014,10,02,50.05975,PM10
275,2014-10-03,2014,10,03,82.2546875,PM25
276,2014-10-04,2014,10,04,74.574375,PM25
277,2014-10-05,2014,10,05,50.8675,PM10
278,2014-10-06,2014,10,06,57.562250000000006,PM10
279,2014-10-07,2014,10,07,69.7428125,PM25
280,2014-10-08,2014,10,08,134.90875,PM25
281,2014-10-09,2014,10,09,149.96486607142856,PM25
282,2014-10-10,2014,10,10,136.2057142857143,PM25
283,2014-10-11,2014,10,11,121.01999999999998,PM25
284,2014-10-12,2014,10,12,41.18325,PM10
285,2014-10-13,2014,10,13,38.02575,PM10
286,2014-10-14,2014,10,14,59.47200892857143,PM25
287,2014-10-15,2014,10,15,59.381375000000006,PM10
288,2014-10-16,2014,10,16,61.747625000000006,PM10
289,2014-10-17,2014,10,17,70.085625,PM25
290,2014-10-18,2014,10,18,100.825,PM25
291,2014-10-19,2014,10,19,116.66906250000002,PM25
292,2014-10-20,2014,10,20,143.21223214285715,PM25
293,2014-10-21,2014,10,21,153.0365625,PM25
294,2014-10-22,2014,10,22,107.99468750000001,PM25
295,2014-10-23,2014,10,23,77.79625000000001,PM25
296,2014-10-24,2014,10,24,76.91499999999999,CO
297,2014-10-25,2014,10,25,77.77625,CO
298,2014-10-26,2014,10,26,90.37875,CO
299,2014-10-27,2014,10,27,77.1925,CO
300,2014-10-28,2014,10,28,84.04749999999999,CO
301,2014-10-29,2014,10,29,81.8175,CO
302,2014-10-30,2014,10,30,94.45593749999999,PM25
303,2014-10-31,2014,10,31,140.9091517857143,PM25
