,Date,Year,Month,Day,MAX_val,MAX_name
0,2014-01-01,2014,01,01,52.63205426356589,PM10
1,2014-01-02,2014,01,02,34.82170542635659,PM10
2,2014-01-03,2014,01,03,89.48875968992247,PM25
3,2014-01-04,2014,01,04,80.38391472868219,PM10
4,2014-01-05,2014,01,05,47.01228682170542,PM10
5,2014-01-06,2014,01,06,35.38468992248062,O3
6,2014-01-07,2014,01,07,35.67887596899225,O3
7,2014-01-08,2014,01,08,91.2462015503876,PM10
8,2014-01-09,2014,01,09,65.87612403100775,PM10
9,2014-01-10,2014,01,10,42.90011627906976,PM10
10,2014-01-11,2014,01,11,42.57058139534884,PM10
11,2014-01-12,2014,01,12,67.63434385382061,PM25
12,2014-01-13,2014,01,13,54.17968992248061,PM10
13,2014-01-14,2014,01,14,67.09255813953487,PM10
14,2014-01-15,2014,01,15,56.32027131782945,PM10
15,2014-01-16,2014,01,16,51.53182170542635,PM10
16,2014-01-17,2014,01,17,111.35679125138428,PM25
17,2014-01-18,2014,01,18,121.20269933554817,PM25
18,2014-01-19,2014,01,19,88.84515503875967,PM25
19,2014-01-20,2014,01,20,57.27782945736434,PM10
20,2014-01-21,2014,01,21,65.19693798449613,PM10
21,2014-01-22,2014,01,22,67.99234496124032,PM25
22,2014-01-23,2014,01,23,65.83528516057585,PM25
23,2014-01-24,2014,01,24,36.07833333333333,PM10
24,2014-01-25,2014,01,25,136.58036544850498,PM25
25,2014-01-26,2014,01,26,109.89456810631229,PM25
26,2014-01-27,2014,01,27,42.4983527131783,PM25
27,2014-01-28,2014,01,28,69.64504429678848,PM25
28,2014-01-29,2014,01,29,75.39227574750831,PM25
29,2014-01-30,2014,01,30,59.20206256921373,PM25
30,2014-01-31,2014,01,31,40.96262458471761,PM25
31,2014-02-01,2014,02,01,33.59096899224806,O3
32,2014-02-02,2014,02,02,33.65457364341085,O3
33,2014-02-03,2014,02,03,78.82151162790697,PM25
34,2014-02-04,2014,02,04,51.18486987818383,PM25
35,2014-02-05,2014,02,05,37.51600775193799,O3
36,2014-02-06,2014,02,06,35.93488372093023,O3
37,2014-02-07,2014,02,07,39.26197397563677,PM25
38,2014-02-08,2014,02,08,36.25748062015504,O3
39,2014-02-09,2014,02,09,75.18626799557032,PM25
40,2014-02-10,2014,02,10,60.24152823920266,PM25
41,2014-02-11,2014,02,11,63.24739756367663,PM25
42,2014-02-12,2014,02,12,55.529928017718724,PM25
43,2014-02-13,2014,02,13,79.4361157253599,PM25
44,2014-02-14,2014,02,14,70.53729235880398,PM25
45,2014-02-15,2014,02,15,40.3063261351052,PM25
46,2014-02-16,2014,02,16,37.18922480620155,O3
47,2014-02-17,2014,02,17,31.280503875968993,O3
48,2014-02-18,2014,02,18,56.553156146179404,PM25
49,2014-02-19,2014,02,19,56.86584994462901,PM25
50,2014-02-20,2014,02,20,63.000996677740865,PM25
51,2014-02-21,2014,02,21,34.90526024363234,PM25
52,2014-02-22,2014,02,22,59.06209856035437,PM25
53,2014-02-23,2014,02,23,47.6297342192691,PM25
54,2014-02-24,2014,02,24,35.79418604651163,O3
55,2014-02-25,2014,02,25,39.57768549280177,PM25
56,2014-02-26,2014,02,26,48.20608527131783,PM10
57,2014-02-27,2014,02,27,36.7781007751938,PM10
58,2014-02-28,2014,02,28,36.38089147286822,O3
59,2014-03-01,2014,03,01,34.20538759689922,O3
60,2014-03-02,2014,03,02,34.384961240310076,PM10
61,2014-03-03,2014,03,03,36.03174418604652,O3
62,2014-03-04,2014,03,04,42.79891472868216,PM10
63,2014-03-05,2014,03,05,55.40024916943521,PM25
64,2014-03-06,2014,03,06,46.038192137320046,PM25
65,2014-03-07,2014,03,07,57.63914728682171,PM25
66,2014-03-08,2014,03,08,49.12313122923589,PM25
67,2014-03-09,2014,03,09,64.88204595791805,PM25
68,2014-03-10,2014,03,10,56.81006367663344,PM25
69,2014-03-11,2014,03,11,53.225503875969,PM10
70,2014-03-12,2014,03,12,51.84357696566998,PM25
71,2014-03-13,2014,03,13,98.99651162790697,PM25
72,2014-03-14,2014,03,14,71.36298449612404,PM25
73,2014-03-15,2014,03,15,70.30496954595792,PM25
74,2014-03-16,2014,03,16,67.1545404208195,PM25
75,2014-03-17,2014,03,17,48.88178294573644,PM10
76,2014-03-18,2014,03,18,56.10112403100775,PM10
77,2014-03-19,2014,03,19,60.41434108527131,PM25
78,2014-03-20,2014,03,20,73.2358803986711,PM25
79,2014-03-21,2014,03,21,57.82101328903654,PM25
80,2014-03-22,2014,03,22,64.15717054263565,PM25
81,2014-03-23,2014,03,23,60.43226744186047,PM25
82,2014-03-24,2014,03,24,42.33089147286821,PM10
83,2014-03-25,2014,03,25,44.42019379844961,PM10
84,2014-03-26,2014,03,26,53.42073643410853,PM10
85,2014-03-27,2014,03,27,41.98701550387597,PM10
86,2014-03-28,2014,03,28,40.88293189368771,PM25
87,2014-03-29,2014,03,29,70.82768549280176,PM25
88,2014-03-30,2014,03,30,56.2024031007752,PM10
89,2014-03-31,2014,03,31,74.50377906976743,PM25
90,2014-04-01,2014,04,01,91.06741417497231,PM25
91,2014-04-02,2014,04,02,41.37957364341085,PM10
92,2014-04-03,2014,04,03,78.91939368770764,PM25
93,2014-04-04,2014,04,04,71.75920542635657,PM25
94,2014-04-05,2014,04,05,65.01531007751937,PM25
95,2014-04-06,2014,04,06,57.21392580287929,PM25
96,2014-04-07,2014,04,07,56.850069213732006,PM25
97,2014-04-08,2014,04,08,56.8578349944629,PM25
98,2014-04-09,2014,04,09,42.434177740863795,PM25
99,2014-04-10,2014,04,10,40.70968992248062,O3
100,2014-04-11,2014,04,11,43.5584496124031,O3
101,2014-04-12,2014,04,12,45.1900645994832,O3
102,2014-04-13,2014,04,13,50.16528239202658,PM25
103,2014-04-14,2014,04,14,49.47437707641196,PM25
104,2014-04-15,2014,04,15,52.14379844961241,O3
105,2014-04-16,2014,04,16,48.570012919896634,O3
106,2014-04-17,2014,04,17,50.60445736434109,O3
107,2014-04-18,2014,04,18,49.80245478036176,O3
108,2014-04-19,2014,04,19,47.86735880398671,PM25
109,2014-04-20,2014,04,20,63.26384274640089,PM25
110,2014-04-21,2014,04,21,52.25645994832042,O3
111,2014-04-22,2014,04,22,77.86643133997785,PM25
112,2014-04-23,2014,04,23,53.48910852713179,O3
113,2014-04-24,2014,04,24,61.06001291989664,O3
114,2014-04-25,2014,04,25,60.848927648578815,O3
115,2014-04-26,2014,04,26,92.85067829457365,PM25
116,2014-04-27,2014,04,27,78.59127906976744,PM25
117,2014-04-28,2014,04,28,70.91618217054264,PM25
118,2014-04-29,2014,04,29,56.49512735326689,PM25
119,2014-04-30,2014,04,30,53.47109634551495,PM25
120,2014-05-01,2014,05,01,63.643217054263566,PM25
121,2014-05-02,2014,05,02,66.76424418604653,PM25
122,2014-05-03,2014,05,03,60.89115448504983,PM25
123,2014-05-04,2014,05,04,46.33082779623477,PM25
124,2014-05-05,2014,05,05,53.41196013289037,PM25
125,2014-05-06,2014,05,06,58.492289590254714,PM25
126,2014-05-07,2014,05,07,48.60431893687708,PM25
127,2014-05-08,2014,05,08,38.194031007751946,O3
128,2014-05-09,2014,05,09,41.9662015503876,O3
129,2014-05-10,2014,05,10,41.972674418604655,O3
130,2014-05-11,2014,05,11,47.43993632336656,PM25
131,2014-05-12,2014,05,12,37.978986710963454,PM25
132,2014-05-13,2014,05,13,39.216201550387595,O3
133,2014-05-14,2014,05,14,43.16220930232558,O3
134,2014-05-15,2014,05,15,82.69244186046512,PM25
135,2014-05-16,2014,05,16,45.10782945736434,O3
136,2014-05-17,2014,05,17,47.58918604651163,O3
137,2014-05-18,2014,05,18,46.86147286821706,O3
138,2014-05-19,2014,05,19,63.292815614617936,PM25
139,2014-05-20,2014,05,20,61.69811738648948,PM25
140,2014-05-21,2014,05,21,45.755387596899226,O3
141,2014-05-22,2014,05,22,44.891085271317834,O3
142,2014-05-23,2014,05,23,38.605348837209306,O3
143,2014-05-24,2014,05,24,37.7403488372093,O3
144,2014-05-25,2014,05,25,40.545514950166115,PM25
145,2014-05-26,2014,05,26,45.77870985603544,PM25
146,2014-05-27,2014,05,27,54.40999446290144,PM25
147,2014-05-28,2014,05,28,62.25798726467332,PM25
148,2014-05-29,2014,05,29,52.026910299003326,PM25
149,2014-05-30,2014,05,30,49.5624169435216,PM25
150,2014-05-31,2014,05,31,36.98655038759689,O3
151,2014-06-01,2014,06,01,40.0518992248062,O3
152,2014-06-02,2014,06,02,41.780116279069766,O3
153,2014-06-03,2014,06,03,38.53558139534883,O3
154,2014-06-04,2014,06,04,38.83891472868217,O3
155,2014-06-05,2014,06,05,51.04709302325581,PM25
156,2014-06-06,2014,06,06,46.86975359911406,PM25
157,2014-06-07,2014,06,07,58.365033222591364,PM25
158,2014-06-08,2014,06,08,72.0138565891473,PM25
159,2014-06-09,2014,06,09,44.778031561461795,PM25
160,2014-06-10,2014,06,10,46.532378183831675,PM25
161,2014-06-11,2014,06,11,52.663468992248056,PM25
162,2014-06-12,2014,06,12,57.294947397563675,PM25
163,2014-06-13,2014,06,13,52.68470376522702,PM25
164,2014-06-14,2014,06,14,51.68723698781838,PM25
165,2014-06-15,2014,06,15,52.454485049833885,PM25
166,2014-06-16,2014,06,16,42.604789590254704,PM25
167,2014-06-17,2014,06,17,43.30279069767442,O3
168,2014-06-18,2014,06,18,39.82870985603543,PM25
169,2014-06-19,2014,06,19,27.979457364341084,O3
170,2014-06-20,2014,06,20,34.23147286821706,O3
171,2014-06-21,2014,06,21,38.755620155038756,PM10
172,2014-06-22,2014,06,22,50.9577380952381,PM25
173,2014-06-23,2014,06,23,78.55203488372092,PM25
174,2014-06-24,2014,06,24,62.228169988925806,PM25
175,2014-06-25,2014,06,25,36.345293466223694,PM25
176,2014-06-26,2014,06,26,29.298798449612402,O3
177,2014-06-27,2014,06,27,41.48329180509413,PM25
178,2014-06-28,2014,06,28,54.69788205980067,PM25
179,2014-06-29,2014,06,29,44.99479512735327,PM25
180,2014-06-30,2014,06,30,43.27378183831673,PM25
181,2014-07-01,2014,07,01,47.338100775193794,PM10
182,2014-07-02,2014,07,02,44.314521040974526,PM25
