,Date,Year,Month,Day,MAX_val,MAX_name
0,2014-01-01,2014,01,01,146.032082616179,PM25
1,2014-01-02,2014,01,02,202.24750430292602,PM25
2,2014-01-03,2014,01,03,192.84805507745267,PM25
3,2014-01-04,2014,01,04,151.20370051635115,PM25
4,2014-01-05,2014,01,05,151.65144148020653,PM25
5,2014-01-06,2014,01,06,275.92611015490536,PM25
6,2014-01-07,2014,01,07,151.5217469879518,PM25
7,2014-01-08,2014,01,08,82.38674698795182,PM25
8,2014-01-09,2014,01,09,112.22725903614457,PM25
9,2014-01-10,2014,01,10,141.62773235800344,PM25
10,2014-01-11,2014,01,11,76.93463855421687,PM25
11,2014-01-12,2014,01,12,59.04111445783134,PM25
12,2014-01-13,2014,01,13,79.36084337349398,PM25
13,2014-01-14,2014,01,14,121.26549053356281,PM25
14,2014-01-15,2014,01,15,123.56425989672982,PM25
15,2014-01-16,2014,01,16,104.396665232358,PM25
16,2014-01-17,2014,01,17,134.6704561101549,PM25
17,2014-01-18,2014,01,18,139.81256454388983,PM25
18,2014-01-19,2014,01,19,146.26537865748708,PM25
19,2014-01-20,2014,01,20,146.5701290877797,PM25
20,2014-01-21,2014,01,21,91.08915662650602,PM25
21,2014-01-22,2014,01,22,90.90512048192771,PM25
22,2014-01-23,2014,01,23,109.03262048192772,PM25
23,2014-01-24,2014,01,24,118.25526247848538,PM25
24,2014-01-25,2014,01,25,142.25198364888126,PM25
25,2014-01-26,2014,01,26,198.82091222030982,PM25
26,2014-01-27,2014,01,27,225.03690189328742,PM25
27,2014-01-28,2014,01,28,197.89621342512908,PM25
28,2014-01-29,2014,01,29,170.80772375215147,PM25
29,2014-01-30,2014,01,30,121.74647590361444,PM25
30,2014-01-31,2014,01,31,129.02072719449225,PM25
31,2014-02-01,2014,02,01,65.08046471600687,PM25
32,2014-02-02,2014,02,02,69.16813683304647,PM25
33,2014-02-03,2014,02,03,79.45240963855423,PM25
34,2014-02-04,2014,02,04,155.52129948364887,PM25
35,2014-02-05,2014,02,05,101.49593373493977,PM25
36,2014-02-06,2014,02,06,51.499397590361454,PM25
37,2014-02-07,2014,02,07,36.69317986230637,PM25
38,2014-02-08,2014,02,08,57.6958691910499,PM25
39,2014-02-09,2014,02,09,33.45576592082616,PM25
