,Date,Year,Month,Day,MAX_val,MAX_name
0,2014-01-01,2014,01,01,96.0415355125101,PM25
1,2014-01-02,2014,01,02,92.83072033898304,PM25
2,2014-01-03,2014,01,03,114.68818603712673,PM25
3,2014-01-04,2014,01,04,123.85470137207425,PM25
4,2014-01-05,2014,01,05,111.81862389023408,PM25
5,2014-01-06,2014,01,06,115.91466908797418,PM25
6,2014-01-07,2014,01,07,98.79863801452782,PM25
7,2014-01-08,2014,01,08,89.95007062146892,PM25
8,2014-01-09,2014,01,09,75.36419491525423,PM25
9,2014-01-10,2014,01,10,71.84546004842615,PM25
10,2014-01-11,2014,01,11,80.81235875706216,PM25
11,2014-01-12,2014,01,12,75.1419289749798,PM25
12,2014-01-13,2014,01,13,73.45444915254237,PM25
13,2014-01-14,2014,01,14,74.4350585149314,PM25
14,2014-01-15,2014,01,15,68.00890839386602,PM25
15,2014-01-16,2014,01,16,70.39244350282486,PM25
16,2014-01-17,2014,01,17,83.34834543987087,PM25
17,2014-01-18,2014,01,18,143.691495157385,PM25
18,2014-01-19,2014,01,19,121.89068805488297,PM25
19,2014-01-20,2014,01,20,108.8481638418079,PM25
20,2014-01-21,2014,01,21,67.71902744148507,PM25
21,2014-01-22,2014,01,22,57.315637610976594,PM25
22,2014-01-23,2014,01,23,61.42831920903955,PM25
23,2014-01-24,2014,01,24,56.20461057304277,PM25
24,2014-01-25,2014,01,25,73.17448547215496,PM25
25,2014-01-26,2014,01,26,133.17058514931398,PM25
26,2014-01-27,2014,01,27,118.46881355932203,PM25
27,2014-01-28,2014,01,28,113.07121670702179,PM25
28,2014-01-29,2014,01,29,101.0848870056497,PM25
29,2014-01-30,2014,01,30,107.5699858757062,PM25
30,2014-01-31,2014,01,31,92.02556497175142,PM25
31,2014-02-01,2014,02,01,35.62894471347861,PM25
32,2014-02-02,2014,02,02,46.39323042776432,PM25
33,2014-02-03,2014,02,03,74.13780266343826,PM25
34,2014-02-04,2014,02,04,98.72436440677967,PM25
35,2014-02-05,2014,02,05,46.965829297820825,PM25
36,2014-02-06,2014,02,06,40.09186844229217,PM25
37,2014-02-07,2014,02,07,67.67293179983858,PM25
38,2014-02-08,2014,02,08,44.308393866020985,PM25
39,2014-02-09,2014,02,09,43.96989507667474,PM25
40,2014-02-10,2014,02,10,62.77929782082325,PM25
41,2014-02-11,2014,02,11,57.47133777239709,PM25
42,2014-02-12,2014,02,12,62.90449959644875,PM25
43,2014-02-13,2014,02,13,61.36141041162227,PM25
44,2014-02-14,2014,02,14,60.84521791767555,PM25
45,2014-02-15,2014,02,15,48.153803470540765,PM25
46,2014-02-16,2014,02,16,51.45930185633576,PM25
47,2014-02-17,2014,02,17,55.21754439063761,PM25
48,2014-02-18,2014,02,18,55.52196327683616,PM25
49,2014-02-19,2014,02,19,48.166807909604515,PM25
50,2014-02-20,2014,02,20,57.65784907183212,PM25
51,2014-02-21,2014,02,21,60.914921307506056,PM25
52,2014-02-22,2014,02,22,50.66798829701373,PM25
53,2014-02-23,2014,02,23,44.94721549636804,PM25
54,2014-02-24,2014,02,24,53.56058313155771,PM25
55,2014-02-25,2014,02,25,55.026321630347056,PM25
56,2014-02-26,2014,02,26,73.22427360774819,PM25
57,2014-02-27,2014,02,27,73.2117635189669,PM25
58,2014-02-28,2014,02,28,61.47147901533495,PM25
59,2014-03-01,2014,03,01,94.50079701372074,PM25
60,2014-03-02,2014,03,02,56.69080912025828,PM25
61,2014-03-03,2014,03,03,64.46550645682002,PM25
62,2014-03-04,2014,03,04,66.47152945924131,PM25
63,2014-03-05,2014,03,05,60.013044794188865,PM25
64,2014-03-06,2014,03,06,64.67529257465698,PM25
65,2014-03-07,2014,03,07,39.22094430992736,PM25
66,2014-03-08,2014,03,08,37.61768563357546,PM25
67,2014-03-09,2014,03,09,47.35157384987894,PM25
68,2014-03-10,2014,03,10,57.694632768361586,PM25
69,2014-03-11,2014,03,11,41.38713680387409,PM25
70,2014-03-12,2014,03,12,49.30255246166263,PM25
71,2014-03-13,2014,03,13,75.22424334140436,PM25
72,2014-03-14,2014,03,14,69.92168079096045,PM25
73,2014-03-15,2014,03,15,69.18029661016948,PM25
74,2014-03-16,2014,03,16,73.91645480225988,PM25
75,2014-03-17,2014,03,17,67.34611581920905,PM25
76,2014-03-18,2014,03,18,71.09971751412431,PM25
77,2014-03-19,2014,03,19,59.86341807909605,PM25
78,2014-03-20,2014,03,20,86.56024011299434,PM25
79,2014-03-21,2014,03,21,53.59443099273608,PM25
80,2014-03-22,2014,03,22,43.8567998385795,PM25
81,2014-03-23,2014,03,23,56.45285512510089,PM25
82,2014-03-24,2014,03,24,62.32807707828894,PM25
83,2014-03-25,2014,03,25,51.79610573042776,PM25
84,2014-03-26,2014,03,26,63.13861985472155,PM25
85,2014-03-27,2014,03,27,65.59919289749797,PM25
86,2014-03-28,2014,03,28,36.75682001614205,PM25
87,2014-03-29,2014,03,29,42.69154560129137,PM25
88,2014-03-30,2014,03,30,58.09792171105731,PM25
89,2014-03-31,2014,03,31,40.369309927360774,PM25
90,2014-04-01,2014,04,01,59.19739709443099,PM25
91,2014-04-02,2014,04,02,59.822397094431,PM25
92,2014-04-03,2014,04,03,58.02551452784503,PM25
93,2014-04-04,2014,04,04,59.8309422921711,PM25
94,2014-04-05,2014,04,05,71.11772598870057,PM25
95,2014-04-06,2014,04,06,67.32266949152542,PM25
96,2014-04-07,2014,04,07,46.11211662631154,PM25
97,2014-04-08,2014,04,08,55.77119652945924,PM25
98,2014-04-09,2014,04,09,61.998305084745766,PM25
99,2014-04-10,2014,04,10,62.61370056497175,PM25
100,2014-04-11,2014,04,11,43.0169390637611,PM25
101,2014-04-12,2014,04,12,39.9350181598063,PM25
102,2014-04-13,2014,04,13,74.65,PM25
103,2014-04-14,2014,04,14,57.85867635189669,PM25
104,2014-04-15,2014,04,15,60.67875302663438,PM25
105,2014-04-16,2014,04,16,44.0736581920904,PM25
106,2014-04-17,2014,04,17,41.25646892655367,O3
107,2014-04-18,2014,04,18,48.25648708635997,PM25
108,2014-04-19,2014,04,19,47.904045601291365,PM25
109,2014-04-20,2014,04,20,70.17648305084745,PM25
110,2014-04-21,2014,04,21,61.70915052461663,PM25
111,2014-04-22,2014,04,22,63.80274414850686,PM25
112,2014-04-23,2014,04,23,60.903440274414855,PM25
113,2014-04-24,2014,04,24,49.24106133979015,PM25
114,2014-04-25,2014,04,25,43.639689265536724,PM25
115,2014-04-26,2014,04,26,66.41248991121873,PM25
116,2014-04-27,2014,04,27,80.50291565778855,PM25
117,2014-04-28,2014,04,28,59.30737489911219,PM25
118,2014-04-29,2014,04,29,48.391999596448755,PM25
119,2014-04-30,2014,04,30,44.7499596448749,PM25
120,2014-05-01,2014,05,01,48.807939870863606,PM25
121,2014-05-02,2014,05,02,51.598829701372075,PM25
122,2014-05-03,2014,05,03,57.97571630347054,PM25
123,2014-05-04,2014,05,04,55.79126311541567,PM25
124,2014-05-05,2014,05,05,50.825534705407584,PM25
125,2014-05-06,2014,05,06,56.736592009685225,PM25
126,2014-05-07,2014,05,07,56.96165254237289,PM25
127,2014-05-08,2014,05,08,53.310562953995166,PM25
128,2014-05-09,2014,05,09,38.37004640839387,PM25
129,2014-05-10,2014,05,10,23.623672316384177,O3
130,2014-05-11,2014,05,11,42.652744148506855,PM25
131,2014-05-12,2014,05,12,68.67887409200968,PM25
132,2014-05-13,2014,05,13,59.54632768361582,PM25
133,2014-05-14,2014,05,14,30.552598870056496,O3
134,2014-05-15,2014,05,15,65.69477401129943,PM25
135,2014-05-16,2014,05,16,64.36132970137206,PM25
136,2014-05-17,2014,05,17,27.220863599677163,PM25
137,2014-05-18,2014,05,18,74.46128934624697,PM25
138,2014-05-19,2014,05,19,63.18141646489104,PM25
139,2014-05-20,2014,05,20,79.13135593220339,PM25
140,2014-05-21,2014,05,21,59.28723769168684,PM25
141,2014-05-22,2014,05,22,22.196073446327684,O3
142,2014-05-23,2014,05,23,29.480710250201778,PM25
143,2014-05-24,2014,05,24,22.46994350282486,O3
144,2014-05-25,2014,05,25,26.911581920903952,O3
145,2014-05-26,2014,05,26,58.26250000000001,PM25
146,2014-05-27,2014,05,27,87.89883979015333,PM25
