,Date,Year,Month,Day,MAX_val,MAX_name
0,2015-01-01,2015,01,01,58.249466019417476,PM10
1,2015-01-02,2015,01,02,48.59305825242719,PM10
2,2015-01-03,2015,01,03,52.07878640776699,PM10
3,2015-01-04,2015,01,04,56.72713592233011,PM10
4,2015-01-05,2015,01,05,68.3997572815534,PM25
5,2015-01-06,2015,01,06,106.85436893203882,PM25
6,2015-01-07,2015,01,07,50.952496532593614,PM25
7,2015-01-08,2015,01,08,46.283599167822466,PM25
8,2015-01-09,2015,01,09,60.15157766990291,PM25
9,2015-01-10,2015,01,10,78.56662621359223,PM25
10,2015-01-11,2015,01,11,78.48191747572817,PM25
11,2015-01-12,2015,01,12,44.91411234396672,PM25
12,2015-01-13,2015,01,13,24.990922330097085,O3
13,2015-01-14,2015,01,14,26.632316227461857,PM25
14,2015-01-15,2015,01,15,32.21417475728155,PM10
15,2015-01-16,2015,01,16,53.15662274618586,PM25
16,2015-01-17,2015,01,17,63.77657766990291,PM25
17,2015-01-18,2015,01,18,92.73155339805824,PM25
18,2015-01-19,2015,01,19,74.25400485436893,PM25
19,2015-01-20,2015,01,20,61.868446601941756,PM25
20,2015-01-21,2015,01,21,74.11529126213593,PM25
21,2015-01-22,2015,01,22,67.05376213592233,PM25
22,2015-01-23,2015,01,23,64.2758495145631,PM25
23,2015-01-24,2015,01,24,68.73385922330098,PM25
24,2015-01-25,2015,01,25,65.12184466019417,PM25
25,2015-01-26,2015,01,26,68.6730582524272,PM25
26,2015-01-27,2015,01,27,79.04478155339804,PM25
27,2015-01-28,2015,01,28,42.338921636615815,PM25
28,2015-01-29,2015,01,29,36.275762829403604,PM25
29,2015-01-30,2015,01,30,31.696601941747574,PM10
30,2015-01-31,2015,01,31,33.564660194174756,PM10
31,2015-02-01,2015,02,01,49.55166435506241,PM25
32,2015-02-02,2015,02,02,62.453380721220526,PM25
33,2015-02-03,2015,02,03,65.8016816920943,PM25
34,2015-02-04,2015,02,04,40.081102635228845,PM25
35,2015-02-05,2015,02,05,53.4639216366158,PM25
36,2015-02-06,2015,02,06,67.71577669902913,PM25
37,2015-02-07,2015,02,07,82.6377427184466,PM25
38,2015-02-08,2015,02,08,79.35898058252427,PM25
39,2015-02-09,2015,02,09,77.8282766990291,PM25
40,2015-02-10,2015,02,10,73.0358009708738,PM25
41,2015-02-11,2015,02,11,88.70279126213595,PM25
42,2015-02-12,2015,02,12,73.00558252427184,PM25
43,2015-02-13,2015,02,13,54.55592926490986,PM25
44,2015-02-14,2015,02,14,60.32200069348127,PM25
45,2015-02-15,2015,02,15,58.07642163661581,PM25
46,2015-02-16,2015,02,16,61.81711165048542,PM25
