,Date,Year,Month,Day,MAX_val,MAX_name
0,2015-01-01,2015,01,01,114.4223392857143,PM25
1,2015-01-02,2015,01,02,118.69512499999999,PM25
2,2015-01-03,2015,01,03,118.63775000000004,PM25
3,2015-01-04,2015,01,04,95.05537499999998,PM25
4,2015-01-05,2015,01,05,66.92480357142857,PM25
5,2015-01-06,2015,01,06,55.641107142857145,PM25
6,2015-01-07,2015,01,07,72.93025,PM25
7,2015-01-08,2015,01,08,74.38662500000001,PM25
8,2015-01-09,2015,01,09,82.95299999999999,PM25
9,2015-01-10,2015,01,10,38.436928571428574,PM25
10,2015-01-11,2015,01,11,29.21114285714286,PM25
11,2015-01-12,2015,01,12,37.330714285714286,PM25
12,2015-01-13,2015,01,13,70.21128571428571,PM25
13,2015-01-14,2015,01,14,91.59312499999999,PM25
14,2015-01-15,2015,01,15,106.443125,PM25
15,2015-01-16,2015,01,16,125.19941071428573,PM25
16,2015-01-17,2015,01,17,129.88653571428569,PM25
17,2015-01-18,2015,01,18,139.5235892857143,PM25
18,2015-01-19,2015,01,19,131.86733928571428,PM25
19,2015-01-20,2015,01,20,172.18386071428566,PM25
20,2015-01-21,2015,01,21,171.85914285714284,PM25
21,2015-01-22,2015,01,22,146.24819642857145,PM25
22,2015-01-23,2015,01,23,117.47287500000002,PM25
23,2015-01-24,2015,01,24,59.18385,PM10
24,2015-01-25,2015,01,25,67.875625,PM25
25,2015-01-26,2015,01,26,86.60025000000002,PM25
26,2015-01-27,2015,01,27,82.32737499999999,PM25
27,2015-01-28,2015,01,28,72.391875,PM25
28,2015-01-29,2015,01,29,51.480950000000014,PM10
29,2015-01-30,2015,01,30,39.670199999999994,PM10
30,2015-01-31,2015,01,31,51.440178571428575,PM25
31,2015-02-01,2015,02,01,54.789660714285716,PM25
32,2015-02-02,2015,02,02,82.619375,PM25
33,2015-02-03,2015,02,03,83.709875,PM25
34,2015-02-04,2015,02,04,36.99185714285714,PM25
35,2015-02-05,2015,02,05,102.413625,PM25
36,2015-02-06,2015,02,06,131.62324999999998,PM25
37,2015-02-07,2015,02,07,175.02945714285713,PM25
38,2015-02-08,2015,02,08,141.3512142857143,PM25
39,2015-02-09,2015,02,09,119.52187500000002,PM25
40,2015-02-10,2015,02,10,172.21554999999998,PM25
41,2015-02-11,2015,02,11,162.2509392857143,PM25
42,2015-02-12,2015,02,12,136.12725714285713,PM25
43,2015-02-13,2015,02,13,201.2360285714286,PM25
44,2015-02-14,2015,02,14,145.6577142857143,PM25
45,2015-02-15,2015,02,15,79.32412499999998,PM25
46,2015-02-16,2015,02,16,71.980125,PM25
47,2015-02-17,2015,02,17,67.96194642857142,PM25
48,2015-02-18,2015,02,18,75.31,PM25
49,2015-02-19,2015,02,19,105.53137500000001,PM25
50,2015-02-20,2015,02,20,51.09651785714286,PM25
51,2015-02-21,2015,02,21,43.47183928571429,PM25
52,2015-02-22,2015,02,22,44.15980357142858,PM25
53,2015-02-23,2015,02,23,43.11119642857143,PM25
54,2015-02-24,2015,02,24,38.90528571428572,PM25
55,2015-02-25,2015,02,25,36.37505357142857,PM25
56,2015-02-26,2015,02,26,45.632821428571425,PM25
57,2015-02-27,2015,02,27,42.02642857142857,PM25
58,2015-02-28,2015,02,28,42.84455,PM10
59,2015-03-01,2015,03,01,37.3237,PM10
60,2015-03-02,2015,03,02,76.212125,PM25
61,2015-03-03,2015,03,03,49.10607142857144,PM25
62,2015-03-04,2015,03,04,53.53625000000001,PM25
63,2015-03-05,2015,03,05,33.34939285714286,PM25
64,2015-03-06,2015,03,06,24.403571428571432,PM25
65,2015-03-07,2015,03,07,33.836285714285715,PM25
66,2015-03-08,2015,03,08,42.17176785714286,PM25
67,2015-03-09,2015,03,09,45.178910714285706,PM25
68,2015-03-10,2015,03,10,41.10982142857143,PM25
69,2015-03-11,2015,03,11,25.2025,CO
70,2015-03-12,2015,03,12,45.543089285714295,PM25
71,2015-03-13,2015,03,13,34.40214285714286,PM25
72,2015-03-14,2015,03,14,43.909642857142856,PM25
73,2015-03-15,2015,03,15,55.201000000000015,PM25
74,2015-03-16,2015,03,16,57.49403571428571,PM25
75,2015-03-17,2015,03,17,58.92182142857142,PM25
76,2015-03-18,2015,03,18,68.982375,PM25
77,2015-03-19,2015,03,19,77.71262499999999,PM25
78,2015-03-20,2015,03,20,73.06400000000001,PM25
79,2015-03-21,2015,03,21,71.8355,PM25
80,2015-03-22,2015,03,22,86.30687500000002,PM25
81,2015-03-23,2015,03,23,72.40925,PM25
82,2015-03-24,2015,03,24,37.258696428571426,PM25
83,2015-03-25,2015,03,25,49.03491071428572,PM25
84,2015-03-26,2015,03,26,81.86862500000001,PM25
85,2015-03-27,2015,03,27,97.736375,PM25
86,2015-03-28,2015,03,28,85.370625,PM25
87,2015-03-29,2015,03,29,51.1683,PM10
88,2015-03-30,2015,03,30,41.0103,PM10
89,2015-03-31,2015,03,31,40.6392,PM10
90,2015-04-01,2015,04,01,45.81494999999999,PM10
91,2015-04-02,2015,04,02,51.996849999999995,PM10
92,2015-04-03,2015,04,03,59.250550000000004,PM10
93,2015-04-04,2015,04,04,59.75382142857142,PM25
94,2015-04-05,2015,04,05,58.89692857142857,PM25
95,2015-04-06,2015,04,06,52.657910714285705,PM25
96,2015-04-07,2015,04,07,47.22664999999999,PM10
97,2015-04-08,2015,04,08,36.5599,PM10
98,2015-04-09,2015,04,09,36.07128571428572,PM25
99,2015-04-10,2015,04,10,37.158,PM25
100,2015-04-11,2015,04,11,59.45760714285714,PM25
101,2015-04-12,2015,04,12,60.778625000000005,PM25
102,2015-04-13,2015,04,13,79.79775000000001,PM25
103,2015-04-14,2015,04,14,86.143875,PM25
104,2015-04-15,2015,04,15,75.750875,PM25
105,2015-04-16,2015,04,16,67.0091,PM10
106,2015-04-17,2015,04,17,55.88215000000001,PM10
107,2015-04-18,2015,04,18,63.1319,PM10
108,2015-04-19,2015,04,19,69.23100000000001,PM25
109,2015-04-20,2015,04,20,50.428850000000004,PM10
110,2015-04-21,2015,04,21,49.367749999999994,PM10
111,2015-04-22,2015,04,22,62.646750000000004,PM25
112,2015-04-23,2015,04,23,69.02625,PM25
113,2015-04-24,2015,04,24,81.551125,PM25
114,2015-04-25,2015,04,25,59.2033,PM10
115,2015-04-26,2015,04,26,77.98275000000001,PM25
116,2015-04-27,2015,04,27,69.785375,PM25
117,2015-04-28,2015,04,28,53.533899999999996,PM10
118,2015-04-29,2015,04,29,54.136900000000004,PM10
119,2015-04-30,2015,04,30,43.766650000000006,PM10
120,2015-05-01,2015,05,01,36.7536,PM10
121,2015-05-02,2015,05,02,46.51249999999998,PM10
122,2015-05-03,2015,05,03,50.85170000000001,PM10
123,2015-05-04,2015,05,04,50.020450000000004,PM10
124,2015-05-05,2015,05,05,48.2865,PM10
125,2015-05-06,2015,05,06,66.99257142857142,PM25
126,2015-05-07,2015,05,07,61.046642857142864,PM25
127,2015-05-08,2015,05,08,39.584250000000004,PM10
128,2015-05-09,2015,05,09,52.842625,PM25
129,2015-05-10,2015,05,10,46.8637,PM10
130,2015-05-11,2015,05,11,36.40115,O3
131,2015-05-12,2015,05,12,46.1315,PM10
132,2015-05-13,2015,05,13,50.40699999999999,PM10
133,2015-05-14,2015,05,14,29.403499999999998,PM10
134,2015-05-15,2015,05,15,31.8029,PM10
135,2015-05-16,2015,05,16,40.49645,O3
