,Date,Year,Month,Day,MAX_val,MAX_name
0,2015-01-01,2015,01,01,88.2638,PM10
1,2015-01-02,2015,01,02,127.86182142857142,PM25
2,2015-01-03,2015,01,03,145.89660714285716,PM25
3,2015-01-04,2015,01,04,207.9892642857143,PM25
4,2015-01-05,2015,01,05,276.99600000000004,PM25
5,2015-01-06,2015,01,06,94.81550000000001,PM25
6,2015-01-07,2015,01,07,97.93575000000001,PM25
7,2015-01-08,2015,01,08,174.58552142857144,PM25
8,2015-01-09,2015,01,09,234.7916571428571,PM25
9,2015-01-10,2015,01,10,249.25980000000004,PM25
10,2015-01-11,2015,01,11,178.79965714285714,PM25
11,2015-01-12,2015,01,12,68.9095,PM10
12,2015-01-13,2015,01,13,58.39550000000001,PM10
13,2015-01-14,2015,01,14,94.99175,PM25
14,2015-01-15,2015,01,15,144.94617857142856,PM25
15,2015-01-16,2015,01,16,180.47347142857146,PM25
16,2015-01-17,2015,01,17,110.97974999999998,PM25
17,2015-01-18,2015,01,18,107.48389999999999,PM10
18,2015-01-19,2015,01,19,107.56930000000003,PM10
19,2015-01-20,2015,01,20,99.25939999999999,PM10
20,2015-01-21,2015,01,21,132.90500000000003,PM25
21,2015-01-22,2015,01,22,116.86799999999998,PM25
22,2015-01-23,2015,01,23,145.91571428571427,PM25
23,2015-01-24,2015,01,24,213.53425714285717,PM25
24,2015-01-25,2015,01,25,179.46772857142855,PM25
25,2015-01-26,2015,01,26,213.92457142857143,PM25
26,2015-01-27,2015,01,27,65.6318,PM10
27,2015-01-28,2015,01,28,56.29549999999999,PM10
28,2015-01-29,2015,01,29,100.113,PM25
29,2015-01-30,2015,01,30,147.9339285714286,PM25
30,2015-01-31,2015,01,31,68.53529999999999,PM10
31,2015-02-01,2015,02,01,89.02374999999998,PM25
32,2015-02-02,2015,02,02,126.72067857142858,PM25
33,2015-02-03,2015,02,03,176.41245714285716,PM25
34,2015-02-04,2015,02,04,193.5896,PM25
35,2015-02-05,2015,02,05,75.77159999999999,PM10
36,2015-02-06,2015,02,06,93.88850000000001,PM25
37,2015-02-07,2015,02,07,131.6195,PM25
38,2015-02-08,2015,02,08,66.37270000000001,PM10
39,2015-02-09,2015,02,09,82.4025,PM25
40,2015-02-10,2015,02,10,96.52025000000002,PM25
41,2015-02-11,2015,02,11,175.6039857142857,PM25
42,2015-02-12,2015,02,12,218.18807857142852,PM25
43,2015-02-13,2015,02,13,142.75375000000003,PM25
44,2015-02-14,2015,02,14,147.89764285714284,PM25
45,2015-02-15,2015,02,15,188.31157857142858,PM25
46,2015-02-16,2015,02,16,197.47837142857142,PM25
47,2015-02-17,2015,02,17,159.96657142857143,PM25
48,2015-02-18,2015,02,18,73.58330000000001,PM10
49,2015-02-19,2015,02,19,83.075,PM25
50,2015-02-20,2015,02,20,49.54789285714285,PM25
51,2015-02-21,2015,02,21,116.45032142857144,PM25
52,2015-02-22,2015,02,22,117.11525,PM25
53,2015-02-23,2015,02,23,88.6972,PM10
54,2015-02-24,2015,02,24,109.148,PM25
55,2015-02-25,2015,02,25,99.82,PM25
56,2015-02-26,2015,02,26,96.821,PM25
57,2015-02-27,2015,02,27,61.5581,PM10
58,2015-02-28,2015,02,28,50.569900000000004,PM10
59,2015-03-01,2015,03,01,92.06424999999999,PM25
60,2015-03-02,2015,03,02,81.08225,PM25
61,2015-03-03,2015,03,03,93.5731,PM10
62,2015-03-04,2015,03,04,64.175,PM10
63,2015-03-05,2015,03,05,71.2697,PM10
64,2015-03-06,2015,03,06,81.16175,PM25
65,2015-03-07,2015,03,07,89.36224999999999,PM25
66,2015-03-08,2015,03,08,91.54175,PM25
67,2015-03-09,2015,03,09,103.78024999999998,PM25
68,2015-03-10,2015,03,10,59.155800000000006,PM10
69,2015-03-11,2015,03,11,81.05239999999999,PM10
70,2015-03-12,2015,03,12,118.83699999999999,PM25
71,2015-03-13,2015,03,13,138.8575,PM25
72,2015-03-14,2015,03,14,92.96800000000002,PM25
73,2015-03-15,2015,03,15,134.57725,PM25
74,2015-03-16,2015,03,16,133.40050000000002,PM25
75,2015-03-17,2015,03,17,111.8675,PM25
76,2015-03-18,2015,03,18,76.83500000000001,PM25
77,2015-03-19,2015,03,19,134.37678571428572,PM25
78,2015-03-20,2015,03,20,137.96560714285712,PM25
79,2015-03-21,2015,03,21,103.7146,PM10
80,2015-03-22,2015,03,22,121.3916,PM10
81,2015-03-23,2015,03,23,87.3123,PM10
82,2015-03-24,2015,03,24,70.1003,PM10
83,2015-03-25,2015,03,25,67.33769999999998,PM10
84,2015-03-26,2015,03,26,57.09139999999999,PM10
85,2015-03-27,2015,03,27,65.5506,PM10
86,2015-03-28,2015,03,28,102.0385,PM25
87,2015-03-29,2015,03,29,251.02002857142855,PM10
88,2015-03-30,2015,03,30,144.17610000000002,PM10
89,2015-03-31,2015,03,31,128.77128571428574,PM25
90,2015-04-01,2015,04,01,62.46814285714286,PM25
91,2015-04-02,2015,04,02,58.599,PM25
92,2015-04-03,2015,04,03,94.1415,PM25
93,2015-04-04,2015,04,04,74.395,PM25
94,2015-04-05,2015,04,05,188.82340714285715,PM25
95,2015-04-06,2015,04,06,124.84575,PM25
96,2015-04-07,2015,04,07,51.623000000000005,PM10
97,2015-04-08,2015,04,08,67.96770000000001,PM10
98,2015-04-09,2015,04,09,82.6035,PM25
99,2015-04-10,2015,04,10,92.71125,PM25
100,2015-04-11,2015,04,11,83.04125,PM25
101,2015-04-12,2015,04,12,80.6628,PM10
102,2015-04-13,2015,04,13,66.40700000000001,PM25
103,2015-04-14,2015,04,14,78.1275,PM25
104,2015-04-15,2015,04,15,77.0672,PM10
105,2015-04-16,2015,04,16,121.4144,PM10
106,2015-04-17,2015,04,17,128.4979,PM10
107,2015-04-18,2015,04,18,94.39220000000002,PM10
108,2015-04-19,2015,04,19,67.82392857142858,PM25
109,2015-04-20,2015,04,20,66.9594,PM10
110,2015-04-21,2015,04,21,80.4324,PM10
111,2015-04-22,2015,04,22,84.61489999999999,PM10
112,2015-04-23,2015,04,23,80.66999999999999,PM10
113,2015-04-24,2015,04,24,98.36809999999997,PM10
114,2015-04-25,2015,04,25,98.1741,PM10
115,2015-04-26,2015,04,26,89.04510000000002,PM10
116,2015-04-27,2015,04,27,74.47489999999999,PM10
117,2015-04-28,2015,04,28,75.651,PM25
118,2015-04-29,2015,04,29,79.24003571428571,PM25
119,2015-04-30,2015,04,30,73.09,PM10
120,2015-05-01,2015,05,01,94.3125,PM25
121,2015-05-02,2015,05,02,62.40625000000001,PM25
122,2015-05-03,2015,05,03,91.61325000000001,PM25
123,2015-05-04,2015,05,04,86.00219999999999,PM10
124,2015-05-05,2015,05,05,74.4166,PM10
125,2015-05-06,2015,05,06,83.8495,PM25
126,2015-05-07,2015,05,07,97.13225,PM25
127,2015-05-08,2015,05,08,101.44675000000002,PM25
128,2015-05-09,2015,05,09,63.986642857142854,PM25
129,2015-05-10,2015,05,10,56.8718,PM10
130,2015-05-11,2015,05,11,57.22650000000001,PM10
131,2015-05-12,2015,05,12,72.49269999999999,PM10
132,2015-05-13,2015,05,13,78.97800000000001,PM10
133,2015-05-14,2015,05,14,95.67125,PM25
134,2015-05-15,2015,05,15,103.98970000000003,PM10
135,2015-05-16,2015,05,16,77.50739999999999,PM10
136,2015-05-17,2015,05,17,77.81925,PM25
137,2015-05-18,2015,05,18,91.96625,PM25
138,2015-05-19,2015,05,19,99.94024999999999,PM25
139,2015-05-20,2015,05,20,75.33139999999999,PM10
140,2015-05-21,2015,05,21,65.3074,PM10
141,2015-05-22,2015,05,22,67.80321428571428,PM25
142,2015-05-23,2015,05,23,90.78274999999998,PM25
143,2015-05-24,2015,05,24,105.02725000000001,PM25
144,2015-05-25,2015,05,25,103.73325000000001,PM25
145,2015-05-26,2015,05,26,82.64375,PM25
146,2015-05-27,2015,05,27,66.71021428571429,PM25
147,2015-05-28,2015,05,28,63.98439285714286,PM25
148,2015-05-29,2015,05,29,66.03871428571429,PM25
149,2015-05-30,2015,05,30,124.53628571428571,PM25
150,2015-05-31,2015,05,31,67.0835,PM10
151,2015-06-01,2015,06,01,77.5,PM25
152,2015-06-02,2015,06,02,116.94499999999998,PM25
153,2015-06-03,2015,06,03,63.4638,PM10
154,2015-06-04,2015,06,04,60.053900000000006,PM10
155,2015-06-05,2015,06,05,79.00110000000001,PM10
156,2015-06-06,2015,06,06,88.28480000000002,PM10
157,2015-06-07,2015,06,07,88.21520000000001,PM10
158,2015-06-08,2015,06,08,91.98109999999998,PM10
159,2015-06-09,2015,06,09,119.3074,PM10
160,2015-06-10,2015,06,10,79.00120000000001,PM10
161,2015-06-11,2015,06,11,80.2587,PM10
162,2015-06-12,2015,06,12,114.28200000000002,PM10
163,2015-06-13,2015,06,13,112.71300000000001,PM10
164,2015-06-14,2015,06,14,82.43857575757576,O3
165,2015-06-15,2015,06,15,87.34990000000002,PM10
166,2015-06-16,2015,06,16,68.65424999999999,PM25
167,2015-06-17,2015,06,17,73.857,PM25
168,2015-06-18,2015,06,18,70.9416,PM10
169,2015-06-19,2015,06,19,74.40457142857143,PM25
170,2015-06-20,2015,06,20,75.50925000000001,PM25
171,2015-06-21,2015,06,21,69.19367857142858,PM25
172,2015-06-22,2015,06,22,63.8366,PM10
173,2015-06-23,2015,06,23,68.84482142857142,PM25
174,2015-06-24,2015,06,24,36.4258,O3
175,2015-06-25,2015,06,25,29.0917,O3
176,2015-06-26,2015,06,26,47.19310714285715,PM25
177,2015-06-27,2015,06,27,43.0279,PM10
178,2015-06-28,2015,06,28,42.066399999999994,PM10
179,2015-06-29,2015,06,29,33.388,PM10
180,2015-06-30,2015,06,30,40.98932142857143,PM25
181,2015-07-01,2015,07,01,78.61725,PM25
182,2015-07-02,2015,07,02,67.03225,PM25
183,2015-07-03,2015,07,03,60.88139999999999,PM10
184,2015-07-04,2015,07,04,67.65325000000001,PM25
185,2015-07-05,2015,07,05,78.771,PM25
186,2015-07-06,2015,07,06,61.99974999999999,PM25
187,2015-07-07,2015,07,07,59.954299999999996,PM10
188,2015-07-08,2015,07,08,71.05567857142857,PM25
189,2015-07-09,2015,07,09,64.7457,PM10
190,2015-07-10,2015,07,10,52.227000000000004,PM10
191,2015-07-11,2015,07,11,44.6925,PM10
192,2015-07-12,2015,07,12,53.38650000000001,PM10
193,2015-07-13,2015,07,13,85.94675,PM25
194,2015-07-14,2015,07,14,75.26625,PM25
195,2015-07-15,2015,07,15,89.47650000000002,PM25
196,2015-07-16,2015,07,16,73.11764285714285,PM25
197,2015-07-17,2015,07,17,58.15125000000001,PM25
198,2015-07-18,2015,07,18,41.2258,PM10
199,2015-07-19,2015,07,19,42.685,PM10
200,2015-07-20,2015,07,20,42.328599999999994,PM10
201,2015-07-21,2015,07,21,50.213899999999995,PM10
202,2015-07-22,2015,07,22,58.3442,PM10
203,2015-07-23,2015,07,23,56.6053,PM10
204,2015-07-24,2015,07,24,59.516000000000005,PM10
205,2015-07-25,2015,07,25,60.904900000000005,PM10
206,2015-07-26,2015,07,26,59.460100000000004,PM10
207,2015-07-27,2015,07,27,55.294,PM10
208,2015-07-28,2015,07,28,39.8088,PM10
209,2015-07-29,2015,07,29,44.4938,PM10
210,2015-07-30,2015,07,30,47.1069,PM10
211,2015-07-31,2015,07,31,43.5811,PM10
212,2015-08-01,2015,08,01,46.4646,PM10
213,2015-08-02,2015,08,02,52.421400000000006,PM10
214,2015-08-03,2015,08,03,53.1967,PM10
215,2015-08-04,2015,08,04,56.8438,PM10
216,2015-08-05,2015,08,05,58.2136,PM10
217,2015-08-06,2015,08,06,39.172000000000004,PM10
218,2015-08-07,2015,08,07,52.16149999999999,PM10
219,2015-08-08,2015,08,08,30.561000000000003,PM10
220,2015-08-09,2015,08,09,34.9492,PM10
221,2015-08-10,2015,08,10,29.690599999999996,PM10
222,2015-08-11,2015,08,11,40.2757,PM10
223,2015-08-12,2015,08,12,68.8994,PM10
224,2015-08-13,2015,08,13,69.40775,PM25
225,2015-08-14,2015,08,14,70.09725,PM25
226,2015-08-15,2015,08,15,82.00575,PM25
227,2015-08-16,2015,08,16,76.47824999999999,PM25
228,2015-08-17,2015,08,17,73.36775,PM25
229,2015-08-18,2015,08,18,57.663500000000006,PM10
230,2015-08-19,2015,08,19,56.20432142857143,PM25
231,2015-08-20,2015,08,20,47.23179999999999,PM10
232,2015-08-21,2015,08,21,72.1105,PM25
233,2015-08-22,2015,08,22,71.04525000000001,PM25
234,2015-08-23,2015,08,23,63.230071428571435,PM25
235,2015-08-24,2015,08,24,61.742700000000006,PM10
236,2015-08-25,2015,08,25,61.984300000000005,PM10
237,2015-08-26,2015,08,26,66.53410000000001,PM10
238,2015-08-27,2015,08,27,66.9625,PM10
239,2015-08-28,2015,08,28,70.3519,PM10
240,2015-08-29,2015,08,29,56.6903,PM10
241,2015-08-30,2015,08,30,60.06280000000002,PM10
242,2015-08-31,2015,08,31,58.3522,PM10
243,2015-09-01,2015,09,01,48.318099999999994,PM10
244,2015-09-02,2015,09,02,57.75110000000001,PM10
245,2015-09-03,2015,09,03,61.834300000000006,PM10
246,2015-09-04,2015,09,04,57.66989999999999,PM10
247,2015-09-05,2015,09,05,50.0604,PM10
248,2015-09-06,2015,09,06,59.6346,PM10
249,2015-09-07,2015,09,07,59.0968,PM10
250,2015-09-08,2015,09,08,46.264,PM10
251,2015-09-09,2015,09,09,46.790200000000006,PM10
252,2015-09-10,2015,09,10,67.2105,PM10
253,2015-09-11,2015,09,11,78.88675,PM25
254,2015-09-12,2015,09,12,55.7927,PM10
255,2015-09-13,2015,09,13,62.38839999999999,PM10
