,Date,Year,Month,Day,MAX_val,MAX_name
0,2015-01-01,2015,01,01,62.22548076923077,SO2
1,2015-01-02,2015,01,02,93.03196924603175,PM25
2,2015-01-03,2015,01,03,107.6031001984127,PM25
3,2015-01-04,2015,01,04,120.12460317460318,PM25
4,2015-01-05,2015,01,05,109.91312003968252,PM25
5,2015-01-06,2015,01,06,49.342152777777784,SO2
6,2015-01-07,2015,01,07,87.51493055555555,PM25
7,2015-01-08,2015,01,08,77.40846688034188,SO2
8,2015-01-09,2015,01,09,80.0281001984127,PM25
9,2015-01-10,2015,01,10,81.13058226495727,SO2
10,2015-01-11,2015,01,11,94.06138392857143,PM25
11,2015-01-12,2015,01,12,121.17770337301587,PM25
12,2015-01-13,2015,01,13,133.30915178571428,PM25
13,2015-01-14,2015,01,14,135.88873015873017,PM25
14,2015-01-15,2015,01,15,169.1540376984127,PM25
15,2015-01-16,2015,01,16,79.02273313492064,PM25
16,2015-01-17,2015,01,17,66.42867063492064,PM25
17,2015-01-18,2015,01,18,58.9576388888889,PM10
18,2015-01-19,2015,01,19,67.85252976190476,PM25
19,2015-01-20,2015,01,20,73.51594742063492,PM25
20,2015-01-21,2015,01,21,34.898125,PM10
21,2015-01-22,2015,01,22,65.92038690476191,PM25
22,2015-01-23,2015,01,23,104.22770337301587,PM25
23,2015-01-24,2015,01,24,120.18048115079364,PM25
24,2015-01-25,2015,01,25,158.1341121031746,PM25
25,2015-01-26,2015,01,26,164.97017361111114,PM25
26,2015-01-27,2015,01,27,61.19424603174602,PM25
27,2015-01-28,2015,01,28,56.87938988095238,PM25
28,2015-01-29,2015,01,29,76.47708333333334,PM25
29,2015-01-30,2015,01,30,34.072916666666664,SO2
30,2015-01-31,2015,01,31,61.47509920634921,PM25
31,2015-02-01,2015,02,01,103.32118055555556,PM25
32,2015-02-02,2015,02,02,143.04997519841268,PM25
33,2015-02-03,2015,02,03,124.60525297619049,PM25
34,2015-02-04,2015,02,04,41.7275,PM10
35,2015-02-05,2015,02,05,45.136330128205124,SO2
36,2015-02-06,2015,02,06,62.34216269841269,PM25
37,2015-02-07,2015,02,07,62.35944444444445,PM10
38,2015-02-08,2015,02,08,54.263263888888886,PM10
39,2015-02-09,2015,02,09,68.53732638888889,PM25
40,2015-02-10,2015,02,10,78.67899305555557,PM25
41,2015-02-11,2015,02,11,60.37534722222222,PM10
42,2015-02-12,2015,02,12,64.33548611111111,PM10
43,2015-02-13,2015,02,13,60.34652777777779,PM10
44,2015-02-14,2015,02,14,71.8751388888889,PM10
45,2015-02-15,2015,02,15,97.46145833333334,PM25
46,2015-02-16,2015,02,16,63.548750000000005,PM10
47,2015-02-17,2015,02,17,56.15298611111112,PM10
48,2015-02-18,2015,02,18,63.21145833333334,PM25
49,2015-02-19,2015,02,19,97.60642361111111,PM25
50,2015-02-20,2015,02,20,108.6421875,PM25
51,2015-02-21,2015,02,21,88.32465277777777,PM25
52,2015-02-22,2015,02,22,47.70569444444444,PM10
53,2015-02-23,2015,02,23,57.720208333333325,PM10
54,2015-02-24,2015,02,24,70.33118055555555,PM10
55,2015-02-25,2015,02,25,56.81006944444445,PM10
56,2015-02-26,2015,02,26,37.935833333333335,PM10
57,2015-02-27,2015,02,27,53.31645833333333,PM10
58,2015-02-28,2015,02,28,50.53559027777778,PM25
59,2015-03-01,2015,03,01,47.346111111111114,PM10
60,2015-03-02,2015,03,02,62.673472222222216,PM10
61,2015-03-03,2015,03,03,35.05416666666667,PM10
62,2015-03-04,2015,03,04,37.53256944444445,PM10
63,2015-03-05,2015,03,05,65.10560515873016,PM25
64,2015-03-06,2015,03,06,84.35381944444445,PM25
65,2015-03-07,2015,03,07,81.146875,PM25
66,2015-03-08,2015,03,08,97.93038194444443,PM25
67,2015-03-09,2015,03,09,53.26840277777778,PM10
68,2015-03-10,2015,03,10,47.26631944444445,PM10
69,2015-03-11,2015,03,11,51.374652777777776,PM10
70,2015-03-12,2015,03,12,59.1875,PM10
71,2015-03-13,2015,03,13,61.05277777777778,PM10
72,2015-03-14,2015,03,14,68.39819444444444,PM10
73,2015-03-15,2015,03,15,78.165,PM10
74,2015-03-16,2015,03,16,92.39774305555557,PM25
75,2015-03-17,2015,03,17,107.33799603174603,PM25
76,2015-03-18,2015,03,18,96.97239583333332,PM25
77,2015-03-19,2015,03,19,81.42447916666667,PM25
78,2015-03-20,2015,03,20,62.89756944444444,PM10
79,2015-03-21,2015,03,21,63.45347222222222,PM10
80,2015-03-22,2015,03,22,83.70395833333333,PM10
81,2015-03-23,2015,03,23,73.0098611111111,PM10
82,2015-03-24,2015,03,24,76.71291666666667,PM10
83,2015-03-25,2015,03,25,73.78458333333333,PM10
84,2015-03-26,2015,03,26,58.75472222222223,PM10
85,2015-03-27,2015,03,27,61.32756944444444,PM10
86,2015-03-28,2015,03,28,70.08430555555555,PM10
87,2015-03-29,2015,03,29,81.81756944444444,PM10
88,2015-03-30,2015,03,30,87.32437499999999,PM10
89,2015-03-31,2015,03,31,103.88107638888889,PM25
90,2015-04-01,2015,04,01,34.82319444444445,PM10
91,2015-04-02,2015,04,02,48.76165674603175,PM25
92,2015-04-03,2015,04,03,69.65538194444444,PM25
93,2015-04-04,2015,04,04,84.37725694444445,PM25
94,2015-04-05,2015,04,05,43.74381944444445,PM10
95,2015-04-06,2015,04,06,37.92673611111111,PM10
96,2015-04-07,2015,04,07,57.42243055555556,PM10
97,2015-04-08,2015,04,08,74.56718749999999,PM25
98,2015-04-09,2015,04,09,53.96599702380953,PM25
99,2015-04-10,2015,04,10,52.380069444444445,PM10
100,2015-04-11,2015,04,11,57.335763888888906,PM10
101,2015-04-12,2015,04,12,49.24534722222223,PM10
102,2015-04-13,2015,04,13,37.293958333333336,PM10
103,2015-04-14,2015,04,14,63.085208333333334,PM10
104,2015-04-15,2015,04,15,86.79263888888889,PM10
