,Date,Year,Month,Day,MAX_val,MAX_name
0,2015-01-01,2015,01,01,69.99508620689656,PM25
1,2015-01-02,2015,01,02,63.631206896551724,PM25
2,2015-01-03,2015,01,03,64.96662561576355,PM25
3,2015-01-04,2015,01,04,58.8120566502463,PM25
4,2015-01-05,2015,01,05,35.43314039408867,PM25
5,2015-01-06,2015,01,06,38.511108374384236,PM25
6,2015-01-07,2015,01,07,58.729433497536945,PM25
7,2015-01-08,2015,01,08,49.960135467980294,PM25
8,2015-01-09,2015,01,09,41.0212684729064,PM25
9,2015-01-10,2015,01,10,56.03576354679804,PM25
10,2015-01-11,2015,01,11,65.29471674876848,PM25
11,2015-01-12,2015,01,12,78.25775862068966,PM25
12,2015-01-13,2015,01,13,83.8506896551724,PM25
13,2015-01-14,2015,01,14,59.78385467980294,PM25
14,2015-01-15,2015,01,15,61.84926108374384,PM25
15,2015-01-16,2015,01,16,59.610024630541865,PM25
16,2015-01-17,2015,01,17,66.08327586206897,PM25
17,2015-01-18,2015,01,18,73.00683497536946,PM25
18,2015-01-19,2015,01,19,67.89703201970443,PM25
19,2015-01-20,2015,01,20,69.15847290640394,PM25
20,2015-01-21,2015,01,21,69.0479433497537,PM25
21,2015-01-22,2015,01,22,52.74672413793103,PM25
22,2015-01-23,2015,01,23,44.85209359605912,PM25
23,2015-01-24,2015,01,24,32.41572413793103,O3
24,2015-01-25,2015,01,25,32.784551724137934,O3
25,2015-01-26,2015,01,26,39.13532019704434,PM25
26,2015-01-27,2015,01,27,39.17676108374385,PM25
27,2015-01-28,2015,01,28,40.890738916256154,PM25
28,2015-01-29,2015,01,29,42.02852216748769,PM25
29,2015-01-30,2015,01,30,54.074704433497544,PM25
30,2015-01-31,2015,01,31,53.718152709359615,PM25
31,2015-02-01,2015,02,01,43.69158866995074,PM25
32,2015-02-02,2015,02,02,45.75380541871921,PM25
33,2015-02-03,2015,02,03,57.808793103448274,PM25
34,2015-02-04,2015,02,04,49.22320197044335,PM25
35,2015-02-05,2015,02,05,47.68439655172414,PM25
36,2015-02-06,2015,02,06,46.59951724137931,PM10
37,2015-02-07,2015,02,07,53.64789408866995,PM25
38,2015-02-08,2015,02,08,52.58554187192119,PM25
39,2015-02-09,2015,02,09,66.33931034482758,PM25
40,2015-02-10,2015,02,10,62.38182266009852,PM25
41,2015-02-11,2015,02,11,63.29199507389162,PM25
42,2015-02-12,2015,02,12,57.742364532019714,PM25
43,2015-02-13,2015,02,13,62.354433497536945,PM25
44,2015-02-14,2015,02,14,36.79513793103448,O3
45,2015-02-15,2015,02,15,44.105677339901476,PM25
46,2015-02-16,2015,02,16,52.66151477832513,PM25
47,2015-02-17,2015,02,17,53.75118226600986,PM25
48,2015-02-18,2015,02,18,63.18009852216749,PM25
49,2015-02-19,2015,02,19,63.080640394088675,PM25
50,2015-02-20,2015,02,20,46.65099753694581,PM25
51,2015-02-21,2015,02,21,38.371344827586206,O3
52,2015-02-22,2015,02,22,41.57854679802956,PM25
53,2015-02-23,2015,02,23,41.25435960591133,PM25
54,2015-02-24,2015,02,24,37.73686206896552,O3
55,2015-02-25,2015,02,25,41.25289655172414,O3
56,2015-02-26,2015,02,26,50.579544334975374,PM25
57,2015-02-27,2015,02,27,52.58120689655172,PM25
58,2015-02-28,2015,02,28,53.738596059113306,PM25
59,2015-03-01,2015,03,01,70.32730295566502,PM25
60,2015-03-02,2015,03,02,60.76070197044335,PM25
61,2015-03-03,2015,03,03,51.82607142857143,PM25
62,2015-03-04,2015,03,04,65.46539408866995,PM25
63,2015-03-05,2015,03,05,48.47763546798029,PM25
64,2015-03-06,2015,03,06,44.413896551724136,PM10
65,2015-03-07,2015,03,07,64.95337438423645,PM25
66,2015-03-08,2015,03,08,67.5736330049261,PM25
67,2015-03-09,2015,03,09,74.99763546798029,PM25
68,2015-03-10,2015,03,10,83.60043103448275,PM25
69,2015-03-11,2015,03,11,78.65612068965518,PM25
70,2015-03-12,2015,03,12,60.63036945812808,PM25
71,2015-03-13,2015,03,13,75.07467980295566,PM25
72,2015-03-14,2015,03,14,93.74870689655172,PM25
73,2015-03-15,2015,03,15,88.23568965517241,PM25
74,2015-03-16,2015,03,16,68.97572660098521,PM25
75,2015-03-17,2015,03,17,56.57352216748768,PM25
76,2015-03-18,2015,03,18,63.065455665024636,PM25
77,2015-03-19,2015,03,19,78.139421182266,PM25
78,2015-03-20,2015,03,20,89.16853448275862,PM25
79,2015-03-21,2015,03,21,119.73291871921181,PM25
80,2015-03-22,2015,03,22,89.38801724137932,PM25
81,2015-03-23,2015,03,23,87.96939655172413,PM25
82,2015-03-24,2015,03,24,60.348780788177336,PM25
83,2015-03-25,2015,03,25,37.11227832512316,PM25
84,2015-03-26,2015,03,26,35.484206896551726,PM10
85,2015-03-27,2015,03,27,37.25820689655173,PM10
86,2015-03-28,2015,03,28,41.03124137931035,PM10
87,2015-03-29,2015,03,29,44.32394088669951,PM25
88,2015-03-30,2015,03,30,54.21607142857143,PM25
89,2015-03-31,2015,03,31,58.30624384236454,PM25
90,2015-04-01,2015,04,01,66.37945812807881,PM25
91,2015-04-02,2015,04,02,52.93642857142857,PM25
92,2015-04-03,2015,04,03,42.783482758620686,O3
93,2015-04-04,2015,04,04,40.277206896551725,O3
94,2015-04-05,2015,04,05,56.61934482758621,PM10
95,2015-04-06,2015,04,06,95.66142857142857,PM25
96,2015-04-07,2015,04,07,81.32885467980294,PM25
97,2015-04-08,2015,04,08,63.42663793103449,PM25
98,2015-04-09,2015,04,09,60.020270935960596,PM25
99,2015-04-10,2015,04,10,53.531908866995074,PM25
100,2015-04-11,2015,04,11,43.62689655172414,PM10
101,2015-04-12,2015,04,12,46.75419950738916,PM25
102,2015-04-13,2015,04,13,48.88288177339901,PM25
103,2015-04-14,2015,04,14,48.4121921182266,PM25
104,2015-04-15,2015,04,15,57.32959359605911,PM25
105,2015-04-16,2015,04,16,77.87769704433497,PM25
106,2015-04-17,2015,04,17,75.36370689655172,PM25
107,2015-04-18,2015,04,18,55.25799261083744,PM25
108,2015-04-19,2015,04,19,44.9770197044335,PM25
109,2015-04-20,2015,04,20,41.08468965517242,O3
110,2015-04-21,2015,04,21,54.61759852216749,PM25
111,2015-04-22,2015,04,22,47.89554187192118,PM25
112,2015-04-23,2015,04,23,41.1418842364532,PM25
113,2015-04-24,2015,04,24,40.9328275862069,PM10
114,2015-04-25,2015,04,25,40.15418719211823,PM25
115,2015-04-26,2015,04,26,36.225793103448275,PM10
116,2015-04-27,2015,04,27,34.80706896551724,PM10
117,2015-04-28,2015,04,28,37.00835632183909,O3
118,2015-04-29,2015,04,29,40.16858620689655,O3
119,2015-04-30,2015,04,30,41.473,O3
120,2015-05-01,2015,05,01,40.686206896551724,O3
121,2015-05-02,2015,05,02,39.77668965517241,O3
122,2015-05-03,2015,05,03,41.1161724137931,O3
123,2015-05-04,2015,05,04,43.48870114942529,O3
124,2015-05-05,2015,05,05,45.39696551724138,PM10
125,2015-05-06,2015,05,06,53.74090804597701,O3
126,2015-05-07,2015,05,07,56.36905747126436,O3
127,2015-05-08,2015,05,08,58.14740229885057,O3
128,2015-05-09,2015,05,09,47.13341379310345,O3
129,2015-05-10,2015,05,10,43.1635172413793,O3
130,2015-05-11,2015,05,11,47.035114942528736,O3
131,2015-05-12,2015,05,12,45.13615763546798,PM25
132,2015-05-13,2015,05,13,39.18244827586207,O3
133,2015-05-14,2015,05,14,40.241517241379306,O3
134,2015-05-15,2015,05,15,40.83120689655172,O3
135,2015-05-16,2015,05,16,40.343620689655175,O3
136,2015-05-17,2015,05,17,36.089517241379305,O3
137,2015-05-18,2015,05,18,36.364862068965515,O3
138,2015-05-19,2015,05,19,29.71806896551724,O3
139,2015-05-20,2015,05,20,22.977,O3
140,2015-05-21,2015,05,21,24.382724137931035,O3
141,2015-05-22,2015,05,22,26.319,O3
142,2015-05-23,2015,05,23,30.128379310344826,O3
143,2015-05-24,2015,05,24,34.47637931034482,O3
144,2015-05-25,2015,05,25,38.18189655172414,O3
145,2015-05-26,2015,05,26,38.69106896551724,O3
146,2015-05-27,2015,05,27,37.66889655172414,O3
147,2015-05-28,2015,05,28,37.54075862068965,O3
148,2015-05-29,2015,05,29,38.90017241379311,O3
149,2015-05-30,2015,05,30,39.91413793103448,O3
150,2015-05-31,2015,05,31,37.192758620689645,O3
151,2015-06-01,2015,06,01,36.29813793103449,O3
152,2015-06-02,2015,06,02,35.83848275862069,O3
153,2015-06-03,2015,06,03,37.35451724137931,O3
154,2015-06-04,2015,06,04,37.65389655172413,O3
155,2015-06-05,2015,06,05,36.196724137931035,O3
156,2015-06-06,2015,06,06,31.637241379310343,O3
157,2015-06-07,2015,06,07,27.535068965517244,O3
158,2015-06-08,2015,06,08,26.43644827586207,O3
159,2015-06-09,2015,06,09,28.200310344827585,O3
160,2015-06-10,2015,06,10,29.84348275862069,O3
161,2015-06-11,2015,06,11,35.888448275862075,O3
162,2015-06-12,2015,06,12,29.49320689655172,O3
163,2015-06-13,2015,06,13,22.52210344827586,O3
164,2015-06-14,2015,06,14,23.707586206896554,O3
165,2015-06-15,2015,06,15,24.043862068965517,O3
166,2015-06-16,2015,06,16,23.485655172413793,O3
167,2015-06-17,2015,06,17,28.454034482758622,O3
168,2015-06-18,2015,06,18,28.552344827586207,O3
169,2015-06-19,2015,06,19,25.339517241379312,O3
170,2015-06-20,2015,06,20,25.740344827586203,O3
171,2015-06-21,2015,06,21,24.976206896551727,O3
172,2015-06-22,2015,06,22,25.753724137931034,O3
173,2015-06-23,2015,06,23,24.20841379310345,O3
174,2015-06-24,2015,06,24,24.962931034482757,O3
175,2015-06-25,2015,06,25,24.217241379310344,O3
176,2015-06-26,2015,06,26,20.826275862068968,O3
177,2015-06-27,2015,06,27,20.90255172413793,O3
178,2015-06-28,2015,06,28,21.892482758620687,O3
179,2015-06-29,2015,06,29,22.14951724137931,O3
180,2015-06-30,2015,06,30,22.740724137931032,O3
181,2015-07-01,2015,07,01,23.53503448275862,O3
182,2015-07-02,2015,07,02,24.42596551724138,O3
183,2015-07-03,2015,07,03,26.92113793103448,O3
184,2015-07-04,2015,07,04,28.111275862068968,O3
185,2015-07-05,2015,07,05,42.869125615763544,PM25
186,2015-07-06,2015,07,06,57.23838669950739,PM25
187,2015-07-07,2015,07,07,49.57113793103448,PM10
188,2015-07-08,2015,07,08,54.57726600985222,PM25
189,2015-07-09,2015,07,09,55.41570197044335,PM25
190,2015-07-10,2015,07,10,57.50794252873562,O3
191,2015-07-11,2015,07,11,60.93322660098523,PM25
192,2015-07-12,2015,07,12,57.83759852216749,PM25
193,2015-07-13,2015,07,13,53.18230295566502,PM25
194,2015-07-14,2015,07,14,42.96310344827586,PM25
195,2015-07-15,2015,07,15,29.961137931034482,O3
196,2015-07-16,2015,07,16,37.15072413793103,O3
197,2015-07-17,2015,07,17,47.14842364532019,PM25
198,2015-07-18,2015,07,18,51.2540763546798,PM25
199,2015-07-19,2015,07,19,59.90038177339902,PM25
