,Date,Year,Month,Day,MAX_val,MAX_name
0,2015-01-01,2015,01,01,29.717777777777776,PM10
1,2015-01-02,2015,01,02,47.551,PM10
2,2015-01-03,2015,01,03,100.8477777777778,PM25
3,2015-01-04,2015,01,04,121.99861111111109,PM25
4,2015-01-05,2015,01,05,79.64266666666667,PM10
5,2015-01-06,2015,01,06,47.534000000000006,PM10
6,2015-01-07,2015,01,07,59.57155555555556,PM10
7,2015-01-08,2015,01,08,97.66333333333333,PM25
8,2015-01-09,2015,01,09,91.57972222222223,PM25
9,2015-01-10,2015,01,10,65.69144444444446,PM10
10,2015-01-11,2015,01,11,41.76266666666667,PM10
11,2015-01-12,2015,01,12,70.15166666666666,PM25
12,2015-01-13,2015,01,13,98.8252777777778,PM25
13,2015-01-14,2015,01,14,124.51924603174605,PM25
14,2015-01-15,2015,01,15,96.24805555555554,PM25
15,2015-01-16,2015,01,16,100.6752777777778,PM25
16,2015-01-17,2015,01,17,63.867888888888885,PM10
17,2015-01-18,2015,01,18,90.03944444444444,PM25
18,2015-01-19,2015,01,19,38.42666666666667,PM10
19,2015-01-20,2015,01,20,67.40476190476191,PM25
20,2015-01-21,2015,01,21,48.1347619047619,PM25
21,2015-01-22,2015,01,22,95.06833333333336,PM25
22,2015-01-23,2015,01,23,123.72210317460319,PM25
23,2015-01-24,2015,01,24,64.51022222222224,PM10
24,2015-01-25,2015,01,25,115.285,PM25
25,2015-01-26,2015,01,26,74.96722222222222,PM25
26,2015-01-27,2015,01,27,50.68011111111111,PM10
27,2015-01-28,2015,01,28,58.23566666666667,PM10
28,2015-01-29,2015,01,29,77.08972222222222,PM25
29,2015-01-30,2015,01,30,37.038000000000004,PM10
30,2015-01-31,2015,01,31,61.737111111111105,PM10
31,2015-02-01,2015,02,01,95.57777777777778,PM25
32,2015-02-02,2015,02,02,149.13204761904763,PM25
33,2015-02-03,2015,02,03,204.90911111111112,PM25
34,2015-02-04,2015,02,04,54.107777777777784,PM10
35,2015-02-05,2015,02,05,36.056666666666665,PM10
36,2015-02-06,2015,02,06,77.888,PM10
37,2015-02-07,2015,02,07,62.47955555555556,PM10
38,2015-02-08,2015,02,08,45.21744444444445,PM10
39,2015-02-09,2015,02,09,72.41155555555557,PM10
40,2015-02-10,2015,02,10,97.19666666666667,PM25
41,2015-02-11,2015,02,11,62.80511111111111,PM10
42,2015-02-12,2015,02,12,37.96377777777778,PM10
