,Date,Year,Month,Day,MAX_val,MAX_name
0,2015-01-01,2015,01,01,79.71593023255814,PM10
1,2015-01-02,2015,01,02,110.43052325581392,PM25
2,2015-01-03,2015,01,03,136.64509966777408,PM25
3,2015-01-04,2015,01,04,180.06378737541527,PM25
4,2015-01-05,2015,01,05,241.22511627906974,PM25
5,2015-01-06,2015,01,06,197.5870182724252,PM25
6,2015-01-07,2015,01,07,123.2548588039867,PM25
7,2015-01-08,2015,01,08,141.50593853820598,PM25
8,2015-01-09,2015,01,09,164.5817857142857,PM25
9,2015-01-10,2015,01,10,165.02763289036545,PM25
10,2015-01-11,2015,01,11,192.93295681063125,PM25
11,2015-01-12,2015,01,12,226.81325581395348,PM25
12,2015-01-13,2015,01,13,102.09709302325582,PM25
13,2015-01-14,2015,01,14,139.79609634551497,PM25
14,2015-01-15,2015,01,15,157.0176495016611,PM25
15,2015-01-16,2015,01,16,148.1122508305648,PM25
16,2015-01-17,2015,01,17,133.9,PM25
17,2015-01-18,2015,01,18,110.26831395348836,PM25
18,2015-01-19,2015,01,19,151.18235880398674,PM25
19,2015-01-20,2015,01,20,155.73666943521596,PM25
20,2015-01-21,2015,01,21,97.79360465116277,PM25
21,2015-01-22,2015,01,22,100.6296511627907,PM25
22,2015-01-23,2015,01,23,132.62906976744188,PM25
23,2015-01-24,2015,01,24,199.52279069767437,PM25
24,2015-01-25,2015,01,25,225.5846511627907,PM25
25,2015-01-26,2015,01,26,266.61023255813956,PM25
26,2015-01-27,2015,01,27,166.14904485049834,PM25
27,2015-01-28,2015,01,28,67.92441860465117,PM25
28,2015-01-29,2015,01,29,98.54302325581394,PM25
29,2015-01-30,2015,01,30,151.32566445182727,PM25
30,2015-01-31,2015,01,31,161.58882890365447,PM25
31,2015-02-01,2015,02,01,121.86511627906977,PM25
32,2015-02-02,2015,02,02,158.6820598006645,PM25
33,2015-02-03,2015,02,03,183.53235880398668,PM25
34,2015-02-04,2015,02,04,179.82225913621264,PM25
35,2015-02-05,2015,02,05,119.54659468438535,PM25
36,2015-02-06,2015,02,06,120.32994186046511,PM25
37,2015-02-07,2015,02,07,137.59954318936877,PM25
38,2015-02-08,2015,02,08,77.31250000000001,PM25
39,2015-02-09,2015,02,09,73.70843023255814,PM25
40,2015-02-10,2015,02,10,125.08982558139536,PM25
41,2015-02-11,2015,02,11,139.38189368770765,PM25
42,2015-02-12,2015,02,12,134.26308139534885,PM25
43,2015-02-13,2015,02,13,178.3717607973422,PM25
44,2015-02-14,2015,02,14,172.20697674418608,PM25
45,2015-02-15,2015,02,15,151.23704318936876,PM25
46,2015-02-16,2015,02,16,139.3923172757475,PM25
47,2015-02-17,2015,02,17,130.58293189368771,PM25
48,2015-02-18,2015,02,18,146.5218438538206,PM25
49,2015-02-19,2015,02,19,95.95843023255813,PM25
50,2015-02-20,2015,02,20,73.49273255813954,PM25
51,2015-02-21,2015,02,21,95.56540697674419,PM25
52,2015-02-22,2015,02,22,133.21366279069767,PM25
53,2015-02-23,2015,02,23,139.1464285714286,PM25
54,2015-02-24,2015,02,24,95.65436046511627,PM25
55,2015-02-25,2015,02,25,103.86889534883721,PM25
56,2015-02-26,2015,02,26,109.89040697674419,PM25
57,2015-02-27,2015,02,27,76.35813953488372,PM25
58,2015-02-28,2015,02,28,68.26482558139534,PM25
59,2015-03-01,2015,03,01,70.55523255813955,PM25
60,2015-03-02,2015,03,02,80.31627906976745,PM25
61,2015-03-03,2015,03,03,95.27639534883721,PM10
62,2015-03-04,2015,03,04,61.17639534883721,PM10
63,2015-03-05,2015,03,05,61.273023255813946,PM10
64,2015-03-06,2015,03,06,76.67616279069767,PM25
65,2015-03-07,2015,03,07,95.91482558139533,PM25
66,2015-03-08,2015,03,08,112.73837209302327,PM25
67,2015-03-09,2015,03,09,143.22313122923586,PM25
68,2015-03-10,2015,03,10,84.14941860465116,PM25
69,2015-03-11,2015,03,11,91.00087209302326,PM25
70,2015-03-12,2015,03,12,123.42063953488372,PM25
71,2015-03-13,2015,03,13,98.27616279069767,PM25
72,2015-03-14,2015,03,14,194.17116279069768,PM25
73,2015-03-15,2015,03,15,206.8162458471761,PM25
74,2015-03-16,2015,03,16,144.65818106312292,PM25
75,2015-03-17,2015,03,17,88.48255813953489,PM25
76,2015-03-18,2015,03,18,71.96424418604653,PM25
77,2015-03-19,2015,03,19,77.4375,PM25
78,2015-03-20,2015,03,20,68.18081395348837,PM25
79,2015-03-21,2015,03,21,67.04813953488373,PM10
80,2015-03-22,2015,03,22,84.95058139534883,PM25
81,2015-03-23,2015,03,23,91.62220930232557,PM10
82,2015-03-24,2015,03,24,79.82674418604653,PM10
83,2015-03-25,2015,03,25,70.29186046511629,PM10
84,2015-03-26,2015,03,26,66.60029069767442,PM25
85,2015-03-27,2015,03,27,81.42732558139535,PM25
86,2015-03-28,2015,03,28,86.04069767441861,PM25
87,2015-03-29,2015,03,29,94.34563953488372,PM25
88,2015-03-30,2015,03,30,78.22877906976744,PM25
89,2015-03-31,2015,03,31,69.88953488372091,PM25
90,2015-04-01,2015,04,01,59.128488372093024,PM25
91,2015-04-02,2015,04,02,41.91627906976744,PM10
92,2015-04-03,2015,04,03,70.98546511627907,PM25
93,2015-04-04,2015,04,04,105.16279069767442,PM25
94,2015-04-05,2015,04,05,117.4636627906977,PM25
95,2015-04-06,2015,04,06,110.82354651162791,PM25
96,2015-04-07,2015,04,07,77.55843023255814,PM25
97,2015-04-08,2015,04,08,62.11686046511627,PM25
98,2015-04-09,2015,04,09,69.82063953488371,PM25
99,2015-04-10,2015,04,10,72.48808139534884,PM25
100,2015-04-11,2015,04,11,75.39011627906977,PM25
101,2015-04-12,2015,04,12,57.44081395348838,PM10
102,2015-04-13,2015,04,13,60.2639534883721,PM10
103,2015-04-14,2015,04,14,63.35558139534885,PM10
104,2015-04-15,2015,04,15,75.1014534883721,PM25
105,2015-04-16,2015,04,16,87.12674418604651,PM10
106,2015-04-17,2015,04,17,105.6139534883721,PM10
107,2015-04-18,2015,04,18,98.49767441860466,PM25
108,2015-04-19,2015,04,19,79.68924418604651,PM25
109,2015-04-20,2015,04,20,52.42651162790698,PM10
110,2015-04-21,2015,04,21,60.525465116279065,PM10
111,2015-04-22,2015,04,22,63.289534883720926,PM10
112,2015-04-23,2015,04,23,65.96093023255814,PM10
113,2015-04-24,2015,04,24,74.19709302325582,PM25
114,2015-04-25,2015,04,25,76.29883720930233,PM25
115,2015-04-26,2015,04,26,84.03779069767442,PM25
116,2015-04-27,2015,04,27,84.87906976744185,PM25
117,2015-04-28,2015,04,28,91.76598837209302,PM25
118,2015-04-29,2015,04,29,102.61686046511629,PM25
119,2015-04-30,2015,04,30,80.47529069767441,PM25
120,2015-05-01,2015,05,01,80.54854651162792,PM25
121,2015-05-02,2015,05,02,44.400813953488374,PM10
122,2015-05-03,2015,05,03,57.694186046511625,PM25
123,2015-05-04,2015,05,04,92.0595930232558,PM25
124,2015-05-05,2015,05,05,76.95988372093024,PM25
125,2015-05-06,2015,05,06,88.47122093023256,PM25
126,2015-05-07,2015,05,07,102.51744186046511,PM25
127,2015-05-08,2015,05,08,68.80087209302326,PM25
128,2015-05-09,2015,05,09,59.92686046511628,PM10
129,2015-05-10,2015,05,10,90.62122093023255,PM25
130,2015-05-11,2015,05,11,47.34023255813953,PM10
131,2015-05-12,2015,05,12,66.11127906976745,PM10
132,2015-05-13,2015,05,13,75.00139534883722,PM10
133,2015-05-14,2015,05,14,85.50988372093023,PM25
134,2015-05-15,2015,05,15,77.47267441860464,PM10
135,2015-05-16,2015,05,16,74.59418604651161,PM25
136,2015-05-17,2015,05,17,83.9468023255814,PM25
137,2015-05-18,2015,05,18,79.69854651162791,PM25
138,2015-05-19,2015,05,19,103.13633720930233,PM25
139,2015-05-20,2015,05,20,89.24796511627908,PM25
140,2015-05-21,2015,05,21,63.606589147286826,O3
141,2015-05-22,2015,05,22,81.23691860465115,PM25
142,2015-05-23,2015,05,23,82.42005813953487,PM25
143,2015-05-24,2015,05,24,102.20930232558142,PM25
144,2015-05-25,2015,05,25,154.87994186046512,PM25
145,2015-05-26,2015,05,26,154.46154485049834,PM25
146,2015-05-27,2015,05,27,119.8985465116279,PM25
147,2015-05-28,2015,05,28,110.87877906976745,PM25
148,2015-05-29,2015,05,29,82.04476744186047,PM25
149,2015-05-30,2015,05,30,81.47994186046512,PM25
150,2015-05-31,2015,05,31,111.8377906976744,PM25
151,2015-06-01,2015,06,01,124.09767441860464,PM25
152,2015-06-02,2015,06,02,82.6718023255814,PM25
