,Date,Year,Month,Day,MAX_val,MAX_name
0,2015-01-01,2015,01,01,79.75277777777778,PM25
1,2015-01-02,2015,01,02,100.55694444444445,PM25
2,2015-01-03,2015,01,03,148.32242063492063,PM25
3,2015-01-04,2015,01,04,226.5598412698413,PM25
4,2015-01-05,2015,01,05,356.1788888888889,PM25
5,2015-01-06,2015,01,06,54.81111111111111,PM10
6,2015-01-07,2015,01,07,86.85277777777779,PM25
7,2015-01-08,2015,01,08,163.35484126984127,PM25
8,2015-01-09,2015,01,09,183.16400793650794,PM25
9,2015-01-10,2015,01,10,166.92896825396826,PM25
10,2015-01-11,2015,01,11,120.65416666666667,PM25
11,2015-01-12,2015,01,12,87.38749999999999,PM25
12,2015-01-13,2015,01,13,100.4263888888889,PM25
13,2015-01-14,2015,01,14,141.47817460317458,PM25
14,2015-01-15,2015,01,15,283.72444444444443,PM25
15,2015-01-16,2015,01,16,195.04920634920637,PM25
16,2015-01-17,2015,01,17,103.42361111111111,PM25
17,2015-01-18,2015,01,18,80.14611111111111,PM10
18,2015-01-19,2015,01,19,79.34333333333333,PM10
19,2015-01-20,2015,01,20,139.16349206349207,PM25
20,2015-01-21,2015,01,21,125.75833333333334,PM25
21,2015-01-22,2015,01,22,86.56527777777777,PM25
22,2015-01-23,2015,01,23,132.9611111111111,PM25
23,2015-01-24,2015,01,24,269.78333333333336,PM25
24,2015-01-25,2015,01,25,165.83730158730157,PM25
25,2015-01-26,2015,01,26,228.85444444444445,PM25
26,2015-01-27,2015,01,27,108.35,PM25
27,2015-01-28,2015,01,28,59.263888888888886,PM25
28,2015-01-29,2015,01,29,131.23888888888888,PM25
29,2015-01-30,2015,01,30,165.6521825396825,PM25
30,2015-01-31,2015,01,31,89.28333333333335,PM25
31,2015-02-01,2015,02,01,71.97083333333333,PM25
32,2015-02-02,2015,02,02,106.13055555555556,PM25
33,2015-02-03,2015,02,03,161.97079365079367,PM25
34,2015-02-04,2015,02,04,134.0222222222222,PM25
35,2015-02-05,2015,02,05,86.4888888888889,PM25
36,2015-02-06,2015,02,06,113.76527777777777,PM25
37,2015-02-07,2015,02,07,100.87444444444445,PM10
38,2015-02-08,2015,02,08,68.2938888888889,PM10
39,2015-02-09,2015,02,09,85.0511111111111,PM10
40,2015-02-10,2015,02,10,102.15555555555557,PM25
41,2015-02-11,2015,02,11,94.19555555555556,PM10
42,2015-02-12,2015,02,12,145.6031746031746,PM25
43,2015-02-13,2015,02,13,110.15555555555555,PM25
44,2015-02-14,2015,02,14,199.5015873015873,PM25
45,2015-02-15,2015,02,15,232.4755555555556,PM25
46,2015-02-16,2015,02,16,138.321626984127,PM25
47,2015-02-17,2015,02,17,215.10047619047617,PM25
48,2015-02-18,2015,02,18,103.87222222222223,PM25
49,2015-02-19,2015,02,19,146.94960317460317,PM25
50,2015-02-20,2015,02,20,88.16805555555555,PM25
51,2015-02-21,2015,02,21,149.39444444444447,PM25
52,2015-02-22,2015,02,22,94.69999999999999,PM10
53,2015-02-23,2015,02,23,112.55722222222222,PM10
54,2015-02-24,2015,02,24,155.16944444444445,PM25
55,2015-02-25,2015,02,25,196.4187301587302,PM25
56,2015-02-26,2015,02,26,134.46249999999998,PM25
57,2015-02-27,2015,02,27,65.3438888888889,PM10
58,2015-02-28,2015,02,28,67.71805555555557,PM25
