,Date,AQI,Type,rh,temp,psfc
0,2016-01-01,88.45468750000002,PM25,80.07166666666666,279.64458333333334,103.21430791666666
1,2016-01-02,117.55520833333333,PM25,71.52666666666667,282.43375,102.47139916666667
2,2016-01-03,192.18221726190475,PM25,72.12666666666667,284.60041666666666,102.19148166666668
3,2016-01-04,180.615625,PM25,94.97583333333331,283.92,102.13901333333335
4,2016-01-05,46.24895833333334,PM10,90.75208333333335,282.90333333333336,102.16622041666666
5,2016-01-06,59.577232142857135,PM25,80.24,281.8566666666666,102.59200583333335
6,2016-01-07,102.14114583333333,PM25,81.63833333333334,278.8254166666666,102.83661625
7,2016-01-08,87.99687499999999,PM25,48.275,276.8129166666667,102.807245
8,2016-01-09,150.72604166666667,PM25,44.22625,277.9120833333333,102.78371000000001
9,2016-01-10,97.64895833333333,PM25,75.49333333333334,280.6145833333333,102.53860416666667
10,2016-01-11,61.62135416666666,PM25,87.14791666666666,280.6020833333334,102.32862749999998
11,2016-01-12,53.06599702380953,PM25,73.29124999999999,277.90916666666664,102.71405791666666
12,2016-01-13,141.13370535714284,PM25,51.602916666666665,274.5325,102.68477791666666
13,2016-01-14,195.83791666666664,PM25,51.52375000000001,275.05791666666664,102.49829208333333
14,2016-01-15,168.3228869047619,PM25,57.193333333333335,277.66249999999997,102.15202291666665
15,2016-01-16,162.34285714285716,PM25,56.013749999999995,279.03249999999997,102.05610041666665
16,2016-01-17,101.21302083333335,PM25,81.55291666666666,280.2970833333333,101.563805
17,2016-01-18,172.1048363095238,PM25,64.12291666666665,275.84541666666667,102.29287791666668
18,2016-01-19,111.80833333333334,PM25,41.77541666666667,273.2416666666666,102.98239833333332
19,2016-01-20,42.53958333333333,NO2,64.54541666666667,275.97291666666666,103.11971125
20,2016-01-21,36.311458333333334,NO2,86.87791666666668,277.4179166666667,102.79061916666666
21,2016-01-22,51.353125000000006,PM25,83.82583333333334,277.83125,102.80096
22,2016-01-23,55.89196428571429,PM25,64.5625,270.8908333333333,103.45215541666664
23,2016-01-24,61.23083333333333,PM10,38.95625,265.21750000000003,103.72537874999999
24,2016-01-25,60.940625000000004,PM10,42.27291666666667,269.48125,103.53494708333335
25,2016-01-26,91.69364583333333,NO2,45.867916666666666,273.5204166666667,103.22842958333332
26,2016-01-27,97.32406250000001,NO2,71.74166666666666,275.375,102.93775291666667
27,2016-01-28,73.17604166666666,NO2,98.72375,279.49625000000003,102.35812874999999
28,2016-01-29,40.44739583333333,NO2,92.4425,279.72125,102.26675791666666
29,2016-01-30,52.638125,PM10,76.81958333333334,278.62875,102.75280916666667
30,2016-01-31,71.49806547619048,PM25,80.43416666666667,277.0708333333333,103.14603708333334
31,2016-02-01,63.00572916666667,PM25,77.25791666666667,274.13958333333335,103.32955416666665
32,2016-02-02,111.28854166666667,PM25,50.15625,274.05875,103.17956958333333
33,2016-02-03,85.0813988095238,PM25,66.02166666666666,275.43125000000003,102.99312208333332
34,2016-02-04,66.19479166666667,NO2,71.87625,276.5125,102.78286416666668
35,2016-02-05,158.2391369047619,PM25,63.20458333333334,277.2133333333333,102.59634500000001
36,2016-02-06,80.54479166666665,PM25,51.753750000000004,275.75291666666664,102.76218541666667
37,2016-02-07,77.95833333333333,PM25,45.54125,276.75875,102.51716833333333
38,2016-02-08,123.20937500000001,PM25,42.005,279.6904166666667,102.28587458333334
39,2016-02-09,97.90625,PM25,59.889166666666675,282.4508333333333,102.32525749999999
40,2016-02-10,51.349375,PM10,70.0125,284.02458333333334,102.14298000000002
41,2016-02-11,39.504583333333336,O3,97.02125000000001,286.8929166666666,101.71141208333334
42,2016-02-12,34.19285714285714,PM25,94.20166666666667,287.21208333333334,101.30499708333332
43,2016-02-13,68.109375,PM25,87.92750000000001,286.54083333333335,101.05381416666667
44,2016-02-14,43.04181547619047,PM25,57.01499999999999,275.2370833333334,102.54222041666667
45,2016-02-15,40.32458333333333,PM10,32.4475,273.49583333333334,102.98819250000001
46,2016-02-16,48.44625,PM10,34.47416666666667,276.7754166666667,102.76110375
47,2016-02-17,71.71927083333334,PM25,41.58625,278.2070833333333,102.82513791666668
48,2016-02-18,86.92708333333333,PM25,52.41583333333333,280.7879166666667,102.50069333333334
49,2016-02-19,84.971875,PM25,75.43291666666666,281.23,102.41455874999998
50,2016-02-20,96.88697916666666,PM25,58.41083333333333,279.0525,102.62930124999997
51,2016-02-21,69.234375,PM10,62.00416666666666,278.4141666666667,103.08338499999999
52,2016-02-22,47.87416666666667,PM10,86.27333333333333,279.2629166666666,102.78141541666666
53,2016-02-23,62.09583333333334,PM25,89.94916666666666,277.81166666666667,103.071545
54,2016-02-24,53.145625,PM10,64.97791666666667,277.40083333333337,103.63861541666667
55,2016-02-25,53.58638392857143,PM25,60.45791666666667,277.67375,103.597125
56,2016-02-26,86.65885416666667,PM25,65.12291666666667,281.4979166666667,102.97355291666666
57,2016-02-27,75.121875,PM25,59.880833333333335,284.08708333333334,102.47313666666666
58,2016-02-28,82.49114583333333,PM25,63.09416666666667,284.5266666666667,102.33437374999998
59,2016-02-29,74.32388392857143,PM25,53.02125,277.6875,103.23876625
60,2016-03-01,44.52708333333334,PM10,55.615,277.74625,103.06916583333333
61,2016-03-02,75.74501488095238,PM25,69.70541666666666,282.26375,102.55899374999998
62,2016-03-03,85.01822916666667,PM25,73.28875,286.28125,102.14241833333334
