,Date,Year,Month,Day,MAX_val,MAX_name
0,2016-01-01,2016,01,01,61.09280612244899,PM25
1,2016-01-02,2016,01,02,37.36408163265306,PM25
2,2016-01-03,2016,01,03,34.082857142857144,PM25
3,2016-01-04,2016,01,04,30.28871428571428,O3
4,2016-01-05,2016,01,05,32.35755102040817,PM25
5,2016-01-06,2016,01,06,31.505850340136057,PM25
6,2016-01-07,2016,01,07,33.33401360544217,PM25
7,2016-01-08,2016,01,08,33.19836734693878,PM25
8,2016-01-09,2016,01,09,34.04462585034014,PM25
9,2016-01-10,2016,01,10,36.09904761904762,PM25
10,2016-01-11,2016,01,11,49.87979591836735,PM25
11,2016-01-12,2016,01,12,47.96700680272108,PM25
12,2016-01-13,2016,01,13,40.19348639455783,PM25
13,2016-01-14,2016,01,14,38.559285714285714,PM25
14,2016-01-15,2016,01,15,35.54673469387755,PM25
15,2016-01-16,2016,01,16,34.38857142857143,PM25
16,2016-01-17,2016,01,17,44.194676870748296,PM25
17,2016-01-18,2016,01,18,42.230357142857144,PM25
18,2016-01-19,2016,01,19,41.080391156462596,PM25
19,2016-01-20,2016,01,20,41.12455782312926,PM25
20,2016-01-21,2016,01,21,53.864319727891164,PM25
21,2016-01-22,2016,01,22,48.658554421768706,PM25
22,2016-01-23,2016,01,23,51.98103741496598,PM25
23,2016-01-24,2016,01,24,61.45130952380953,PM25
24,2016-01-25,2016,01,25,43.26634353741497,PM25
25,2016-01-26,2016,01,26,36.86272108843538,PM25
26,2016-01-27,2016,01,27,34.985442176870755,PM25
27,2016-01-28,2016,01,28,32.75374149659864,PM25
28,2016-01-29,2016,01,29,47.80942176870747,PM25
29,2016-01-30,2016,01,30,54.438724489795916,PM25
30,2016-01-31,2016,01,31,62.80229591836735,PM25
31,2016-02-01,2016,02,01,58.2018537414966,PM25
32,2016-02-02,2016,02,02,60.397534013605444,PM25
33,2016-02-03,2016,02,03,42.96438775510204,PM25
34,2016-02-04,2016,02,04,46.32125850340136,PM25
35,2016-02-05,2016,02,05,50.17414965986395,PM25
36,2016-02-06,2016,02,06,59.477738095238095,PM25
37,2016-02-07,2016,02,07,62.79511904761906,PM25
38,2016-02-08,2016,02,08,80.69488095238096,PM25
39,2016-02-09,2016,02,09,57.258537414965986,PM25
40,2016-02-10,2016,02,10,47.971241496598644,PM25
41,2016-02-11,2016,02,11,45.480425170068024,PM25
42,2016-02-12,2016,02,12,41.949455782312924,PM25
43,2016-02-13,2016,02,13,42.708163265306126,PM25
44,2016-02-14,2016,02,14,36.931999999999995,O3
45,2016-02-15,2016,02,15,38.64228571428571,O3
46,2016-02-16,2016,02,16,38.87265306122449,PM25
47,2016-02-17,2016,02,17,39.429115646258495,PM25
48,2016-02-18,2016,02,18,45.58329931972789,PM25
49,2016-02-19,2016,02,19,52.623163265306125,PM25
50,2016-02-20,2016,02,20,71.94479591836735,PM25
51,2016-02-21,2016,02,21,68.43571428571428,PM25
52,2016-02-22,2016,02,22,71.9720238095238,PM25
53,2016-02-23,2016,02,23,66.84,PM25
54,2016-02-24,2016,02,24,60.45690476190477,PM25
55,2016-02-25,2016,02,25,57.66646258503402,PM25
56,2016-02-26,2016,02,26,62.724676870748304,PM25
57,2016-02-27,2016,02,27,52.99778911564626,PM25
58,2016-02-28,2016,02,28,45.25059523809524,PM25
59,2016-02-29,2016,02,29,39.087465986394555,PM25
60,2016-03-01,2016,03,01,39.258554421768714,PM25
61,2016-03-02,2016,03,02,50.502465986394554,PM25
62,2016-03-03,2016,03,03,55.50035714285714,PM25
63,2016-03-04,2016,03,04,62.567329931972786,PM25
