,Date,Year,Month,Day,MAX_val,MAX_name
0,2016-01-01,2016,01,01,77.83630952380952,PM25
1,2016-01-02,2016,01,02,96.94642857142857,PM25
2,2016-01-03,2016,01,03,97.88571428571429,PM25
3,2016-01-04,2016,01,04,82.12321428571428,PM25
4,2016-01-05,2016,01,05,78.45119047619048,PM25
5,2016-01-06,2016,01,06,32.952857142857134,PM10
6,2016-01-07,2016,01,07,41.79761904761905,PM10
7,2016-01-08,2016,01,08,49.921428571428564,PM25
8,2016-01-09,2016,01,09,66.94047619047619,PM25
9,2016-01-10,2016,01,10,74.39583333333333,PM25
10,2016-01-11,2016,01,11,41.52448979591837,PM25
11,2016-01-12,2016,01,12,37.251428571428576,PM10
12,2016-01-13,2016,01,13,46.10666666666667,PM10
13,2016-01-14,2016,01,14,60.76011904761905,PM25
14,2016-01-15,2016,01,15,64.19047619047619,PM25
15,2016-01-16,2016,01,16,59.5625,PM25
16,2016-01-17,2016,01,17,52.10408163265306,PM25
17,2016-01-18,2016,01,18,39.17285714285715,PM10
18,2016-01-19,2016,01,19,68.62380952380953,PM25
19,2016-01-20,2016,01,20,81.19999999999999,PM25
20,2016-01-21,2016,01,21,42.820408163265306,PM25
21,2016-01-22,2016,01,22,25.19047619047619,CO
22,2016-01-23,2016,01,23,20.761904761904763,CO
23,2016-01-24,2016,01,24,44.37904761904762,PM10
24,2016-01-25,2016,01,25,49.75,PM10
25,2016-01-26,2016,01,26,68.57047619047619,PM10
26,2016-01-27,2016,01,27,49.95824829931973,PM25
27,2016-01-28,2016,01,28,48.59285714285714,NO2
28,2016-01-29,2016,01,29,31.909523809523815,NO2
29,2016-01-30,2016,01,30,38.202721088435375,PM25
30,2016-01-31,2016,01,31,37.85666666666667,PM10
31,2016-02-01,2016,02,01,24.297619047619047,CO
32,2016-02-02,2016,02,02,24.357142857142858,CO
33,2016-02-03,2016,02,03,45.7218537414966,PM25
34,2016-02-04,2016,02,04,59.19821428571429,PM25
35,2016-02-05,2016,02,05,34.939523809523806,PM10
36,2016-02-06,2016,02,06,57.12261904761905,PM25
37,2016-02-07,2016,02,07,76.37916666666668,PM25
38,2016-02-08,2016,02,08,100.63154761904761,PM25
39,2016-02-09,2016,02,09,66.11726190476192,PM25
40,2016-02-10,2016,02,10,70.62619047619047,PM25
41,2016-02-11,2016,02,11,66.92678571428571,PM25
42,2016-02-12,2016,02,12,57.65119047619047,PM25
43,2016-02-13,2016,02,13,33.848214285714285,PM25
44,2016-02-14,2016,02,14,29.91666666666667,PM10
45,2016-02-15,2016,02,15,23.887142857142855,PM10
46,2016-02-16,2016,02,16,38.13333333333333,PM25
47,2016-02-17,2016,02,17,54.530102040816324,PM25
48,2016-02-18,2016,02,18,68.56130952380951,PM25
49,2016-02-19,2016,02,19,59.349404761904765,PM25
50,2016-02-20,2016,02,20,55.12619047619048,PM25
51,2016-02-21,2016,02,21,82.22309523809524,PM10
52,2016-02-22,2016,02,22,97.53142857142859,PM10
53,2016-02-23,2016,02,23,35.2552380952381,PM10
54,2016-02-24,2016,02,24,25.587142857142865,PM10
55,2016-02-25,2016,02,25,51.01619047619048,PM10
56,2016-02-26,2016,02,26,61.128656462585035,PM25
