,Date,Year,Month,Day,MAX_val,MAX_name
0,2016-01-01,2016,01,01,181.8718650793651,PM25
1,2016-01-02,2016,01,02,239.2147222222222,PM25
2,2016-01-03,2016,01,03,351.70972222222224,PM25
3,2016-01-04,2016,01,04,235.75166666666667,PM25
4,2016-01-05,2016,01,05,123.13611111111112,PM25
5,2016-01-06,2016,01,06,149.75684523809525,PM25
6,2016-01-07,2016,01,07,129.268253968254,PM25
7,2016-01-08,2016,01,08,162.21617063492064,PM25
8,2016-01-09,2016,01,09,214.7098412698413,PM25
9,2016-01-10,2016,01,10,276.22166666666664,PM25
10,2016-01-11,2016,01,11,96.57048611111111,PM25
11,2016-01-12,2016,01,12,85.16874999999999,PM25
12,2016-01-13,2016,01,13,145.421626984127,PM25
13,2016-01-14,2016,01,14,210.75988095238097,PM25
14,2016-01-15,2016,01,15,192.89928571428572,PM25
15,2016-01-16,2016,01,16,213.97884920634922,PM25
16,2016-01-17,2016,01,17,205.45714285714286,PM25
17,2016-01-18,2016,01,18,120.82222222222224,PM25
18,2016-01-19,2016,01,19,141.66364087301588,PM25
19,2016-01-20,2016,01,20,109.70381944444445,PM25
20,2016-01-21,2016,01,21,108.14375000000001,PM25
21,2016-01-22,2016,01,22,126.94479166666666,PM25
22,2016-01-23,2016,01,23,60.95263888888889,PM10
23,2016-01-24,2016,01,24,60.45944444444444,PM10
24,2016-01-25,2016,01,25,98.40277777777777,PM25
25,2016-01-26,2016,01,26,130.5231646825397,PM25
26,2016-01-27,2016,01,27,169.55228174603175,PM25
27,2016-01-28,2016,01,28,185.27579365079364,PM25
28,2016-01-29,2016,01,29,157.3174107142857,PM25
29,2016-01-30,2016,01,30,90.10173611111111,PM25
30,2016-01-31,2016,01,31,81.60902777777777,PM25
31,2016-02-01,2016,02,01,100.42847222222223,PM25
32,2016-02-02,2016,02,02,148.96661706349207,PM25
33,2016-02-03,2016,02,03,176.209126984127,PM25
34,2016-02-04,2016,02,04,174.81976190476192,PM25
35,2016-02-05,2016,02,05,114.36969246031747,PM25
36,2016-02-06,2016,02,06,75.77673611111112,PM25
37,2016-02-07,2016,02,07,119.21562499999997,PM25
38,2016-02-08,2016,02,08,203.97514880952383,PM25
39,2016-02-09,2016,02,09,106.85729166666667,PM25
40,2016-02-10,2016,02,10,96.15243055555555,PM25
41,2016-02-11,2016,02,11,165.44830357142857,PM25
42,2016-02-12,2016,02,12,259.0677777777778,PM25
43,2016-02-13,2016,02,13,58.390228174603166,PM25
44,2016-02-14,2016,02,14,34.500000000000014,PM10
45,2016-02-15,2016,02,15,56.86,PM10
46,2016-02-16,2016,02,16,59.22166666666666,PM10
47,2016-02-17,2016,02,17,79.18229166666667,PM25
48,2016-02-18,2016,02,18,78.64444444444445,PM25
49,2016-02-19,2016,02,19,95.88902777777778,PM10
50,2016-02-20,2016,02,20,59.03763888888889,PM10
51,2016-02-21,2016,02,21,79.21513888888889,PM10
52,2016-02-22,2016,02,22,138.9610119047619,PM25
53,2016-02-23,2016,02,23,104.43402777777779,PM25
54,2016-02-24,2016,02,24,87.78645833333334,PM25
55,2016-02-25,2016,02,25,176.76328373015872,PM25
56,2016-02-26,2016,02,26,161.85575396825396,PM25
57,2016-02-27,2016,02,27,149.32311507936507,PM25
58,2016-02-28,2016,02,28,101.17916666666665,PM25
59,2016-02-29,2016,02,29,52.267361111111114,PM10
60,2016-03-01,2016,03,01,93.203125,PM25
61,2016-03-02,2016,03,02,155.09618055555555,PM25
62,2016-03-03,2016,03,03,125.00347222222224,PM25
63,2016-03-04,2016,03,04,130.9762896825397,PM25
64,2016-03-05,2016,03,05,163.67805555555555,PM10
65,2016-03-06,2016,03,06,160.97666666666666,PM10
66,2016-03-07,2016,03,07,138.6126388888889,PM10
67,2016-03-08,2016,03,08,70.6838888888889,PM10
68,2016-03-09,2016,03,09,59.365416666666675,PM10
69,2016-03-10,2016,03,10,72.19430555555554,PM10
70,2016-03-11,2016,03,11,88.7813888888889,PM10
71,2016-03-12,2016,03,12,105.2840277777778,PM25
72,2016-03-13,2016,03,13,128.99513888888887,PM25
73,2016-03-14,2016,03,14,88.40138888888889,PM25
74,2016-03-15,2016,03,15,118.08134920634922,PM25
75,2016-03-16,2016,03,16,101.92083333333333,PM25
76,2016-03-17,2016,03,17,128.5402777777778,PM25
77,2016-03-18,2016,03,18,199.89130952380953,PM25
78,2016-03-19,2016,03,19,166.87900793650792,PM25
79,2016-03-20,2016,03,20,106.48576388888888,PM25
80,2016-03-21,2016,03,21,82.07680555555557,PM10
81,2016-03-22,2016,03,22,111.97583333333336,PM10
82,2016-03-23,2016,03,23,63.35305555555556,PM10
83,2016-03-24,2016,03,24,78.5298611111111,PM10
84,2016-03-25,2016,03,25,75.40208333333334,PM10
85,2016-03-26,2016,03,26,85.345,PM10
86,2016-03-27,2016,03,27,83.13583333333334,PM10
87,2016-03-28,2016,03,28,91.25472222222221,PM10
88,2016-03-29,2016,03,29,83.65791666666667,PM10
89,2016-03-30,2016,03,30,107.09222222222222,PM10
90,2016-03-31,2016,03,31,102.07416666666667,PM10
91,2016-04-01,2016,04,01,83.35722222222222,PM10
92,2016-04-02,2016,04,02,117.20611111111111,PM10
93,2016-04-03,2016,04,03,56.842222222222226,PM10
94,2016-04-04,2016,04,04,77.61,PM10
95,2016-04-05,2016,04,05,80.56597222222223,PM10
96,2016-04-06,2016,04,06,76.87875000000001,PM10
97,2016-04-07,2016,04,07,118.73444444444443,PM10
98,2016-04-08,2016,04,08,185.69126984126987,PM25
99,2016-04-09,2016,04,09,198.44150793650792,PM25
100,2016-04-10,2016,04,10,158.68805555555554,PM10
101,2016-04-11,2016,04,11,96.7773611111111,PM10
102,2016-04-12,2016,04,12,96.28319444444442,PM10
103,2016-04-13,2016,04,13,124.51949404761905,PM25
104,2016-04-14,2016,04,14,115.24527777777777,PM10
105,2016-04-15,2016,04,15,114.44319444444447,PM10
106,2016-04-16,2016,04,16,78.79972222222223,PM10
107,2016-04-17,2016,04,17,79.24708333333332,PM10
108,2016-04-18,2016,04,18,71.03791666666666,PM10
109,2016-04-19,2016,04,19,78.79680555555555,PM10
110,2016-04-20,2016,04,20,103.02,PM10
111,2016-04-21,2016,04,21,159.7486111111111,PM25
112,2016-04-22,2016,04,22,117.17611111111111,PM10
113,2016-04-23,2016,04,23,116.53208333333333,PM10
114,2016-04-24,2016,04,24,106.78180555555556,PM10
115,2016-04-25,2016,04,25,93.99236111111112,PM10
116,2016-04-26,2016,04,26,78.66333333333333,PM10
117,2016-04-27,2016,04,27,94.80055555555555,PM10
118,2016-04-28,2016,04,28,103.70937500000001,PM25
119,2016-04-29,2016,04,29,103.20875,PM10
120,2016-04-30,2016,04,30,87.02222222222223,PM10
121,2016-05-01,2016,05,01,79.005,PM10
122,2016-05-02,2016,05,02,75.4998611111111,PM10
123,2016-05-03,2016,05,03,73.23055555555554,PM10
124,2016-05-04,2016,05,04,78.63916666666665,PM10
125,2016-05-05,2016,05,05,77.20166666666668,PM10
126,2016-05-06,2016,05,06,164.2541666666667,PM10
127,2016-05-07,2016,05,07,105.45152777777777,PM10
128,2016-05-08,2016,05,08,101.26722222222223,PM10
129,2016-05-09,2016,05,09,74.86874999999999,PM25
130,2016-05-10,2016,05,10,94.06875000000001,PM25
131,2016-05-11,2016,05,11,101.96569444444444,PM10
132,2016-05-12,2016,05,12,65.9113888888889,PM10
133,2016-05-13,2016,05,13,59.51611111111111,PM10
134,2016-05-14,2016,05,14,65.44972222222222,PM10
135,2016-05-15,2016,05,15,55.074305555555554,PM10
136,2016-05-16,2016,05,16,66.77805555555557,PM10
137,2016-05-17,2016,05,17,66.05152777777778,PM10
138,2016-05-18,2016,05,18,88.00648148148149,O3
139,2016-05-19,2016,05,19,69.95138888888889,O3
140,2016-05-20,2016,05,20,60.08513888888889,PM10
141,2016-05-21,2016,05,21,57.05412037037037,O3
142,2016-05-22,2016,05,22,76.43078703703706,O3
143,2016-05-23,2016,05,23,86.64833333333333,PM10
144,2016-05-24,2016,05,24,74.23666666666668,PM10
145,2016-05-25,2016,05,25,68.43319444444445,PM10
146,2016-05-26,2016,05,26,77.07097222222222,PM10
147,2016-05-27,2016,05,27,87.0886111111111,PM10
148,2016-05-28,2016,05,28,57.3811111111111,PM10
149,2016-05-29,2016,05,29,73.04083333333332,PM10
150,2016-05-30,2016,05,30,81.2498611111111,PM10
151,2016-05-31,2016,05,31,75.70861111111111,PM10
152,2016-06-01,2016,06,01,74.36305555555555,PM10
153,2016-06-02,2016,06,02,66.62652777777778,PM10
154,2016-06-03,2016,06,03,75.46611111111112,PM10
155,2016-06-04,2016,06,04,65.7938888888889,PM10
156,2016-06-05,2016,06,05,68.89319444444443,PM10
157,2016-06-06,2016,06,06,69.91638888888889,PM10
158,2016-06-07,2016,06,07,84.17881944444446,PM25
159,2016-06-08,2016,06,08,104.28819444444446,PM25
160,2016-06-09,2016,06,09,100.86250000000001,PM25
161,2016-06-10,2016,06,10,77.55486111111111,PM10
162,2016-06-11,2016,06,11,83.01097222222224,PM10
163,2016-06-12,2016,06,12,61.576527777777784,PM10
164,2016-06-13,2016,06,13,80.41055555555555,PM10
165,2016-06-14,2016,06,14,53.421898148148145,O3
166,2016-06-15,2016,06,15,55.60041666666667,PM10
167,2016-06-16,2016,06,16,73.32567340067341,O3
168,2016-06-17,2016,06,17,84.04189814814815,O3
169,2016-06-18,2016,06,18,89.5340277777778,O3
170,2016-06-19,2016,06,19,83.27083333333331,O3
171,2016-06-20,2016,06,20,72.0050925925926,O3
172,2016-06-21,2016,06,21,67.55750000000002,PM10
173,2016-06-22,2016,06,22,75.78981481481482,O3
174,2016-06-23,2016,06,23,61.51708333333334,PM10
175,2016-06-24,2016,06,24,53.5575925925926,O3
176,2016-06-25,2016,06,25,58.878472222222236,PM10
177,2016-06-26,2016,06,26,75.68436447811449,O3
178,2016-06-27,2016,06,27,79.86851851851854,O3
179,2016-06-28,2016,06,28,58.35611111111112,PM10
180,2016-06-29,2016,06,29,64.49236111111112,PM10
181,2016-06-30,2016,06,30,63.81583333333333,PM10
182,2016-07-01,2016,07,01,71.44131944444445,PM25
183,2016-07-02,2016,07,02,84.30416666666667,PM25
184,2016-07-03,2016,07,03,82.83784722222224,PM25
185,2016-07-04,2016,07,04,63.37861111111111,PM10
