,Date,Year,Month,Day,MAX_val,MAX_name
0,2016-01-01,2016,01,01,176.2645566502463,PM25
1,2016-01-02,2016,01,02,131.36440886699506,PM25
2,2016-01-03,2016,01,03,171.66551724137935,PM25
3,2016-01-04,2016,01,04,144.5922413793104,PM25
4,2016-01-05,2016,01,05,155.66855911330046,PM25
5,2016-01-06,2016,01,06,168.81206896551726,PM25
6,2016-01-07,2016,01,07,96.48146551724139,PM25
7,2016-01-08,2016,01,08,76.35043103448274,PM25
8,2016-01-09,2016,01,09,94.52758620689657,PM25
9,2016-01-10,2016,01,10,85.86422413793103,PM25
10,2016-01-11,2016,01,11,62.58793103448276,PM25
11,2016-01-12,2016,01,12,53.227758620689656,PM10
12,2016-01-13,2016,01,13,49.66586206896552,PM10
13,2016-01-14,2016,01,14,73.01336206896552,PM25
14,2016-01-15,2016,01,15,85.85086206896553,PM25
15,2016-01-16,2016,01,16,75.3780172413793,PM25
16,2016-01-17,2016,01,17,74.06163793103448,PM25
17,2016-01-18,2016,01,18,102.82715517241378,PM25
18,2016-01-19,2016,01,19,147.9775862068966,PM25
19,2016-01-20,2016,01,20,68.76397783251232,PM25
20,2016-01-21,2016,01,21,62.247844827586206,PM25
21,2016-01-22,2016,01,22,72.00258620689657,PM25
22,2016-01-23,2016,01,23,41.40793103448275,PM10
23,2016-01-24,2016,01,24,49.16051724137931,PM10
24,2016-01-25,2016,01,25,60.403275862068966,PM10
25,2016-01-26,2016,01,26,67.56120689655172,PM25
26,2016-01-27,2016,01,27,94.53577586206895,PM25
27,2016-01-28,2016,01,28,105.09655172413794,PM25
28,2016-01-29,2016,01,29,121.2935344827586,PM25
29,2016-01-30,2016,01,30,138.01274630541872,PM25
30,2016-01-31,2016,01,31,109.1176724137931,PM25
31,2016-02-01,2016,02,01,109.78879310344827,PM25
32,2016-02-02,2016,02,02,120.43146551724139,PM25
33,2016-02-03,2016,02,03,111.62974137931033,PM25
34,2016-02-04,2016,02,04,85.25474137931033,PM25
35,2016-02-05,2016,02,05,98.53793103448275,PM25
36,2016-02-06,2016,02,06,101.31163793103448,PM25
37,2016-02-07,2016,02,07,88.09137931034485,PM25
38,2016-02-08,2016,02,08,219.24366995073888,PM25
39,2016-02-09,2016,02,09,125.80307881773399,PM25
40,2016-02-10,2016,02,10,115.60991379310346,PM25
41,2016-02-11,2016,02,11,120.54741379310344,PM25
42,2016-02-12,2016,02,12,102.04870689655172,PM25
43,2016-02-13,2016,02,13,51.050000000000004,PM10
44,2016-02-14,2016,02,14,50.15465517241378,PM10
