,Date,Year,Month,Day,MAX_val,MAX_name
0,2016-01-01,2016,01,01,140.17479813664596,PM25
1,2016-01-02,2016,01,02,171.1973757763975,PM25
2,2016-01-03,2016,01,03,157.07559782608695,PM25
3,2016-01-04,2016,01,04,156.30510093167703,PM25
4,2016-01-05,2016,01,05,209.78663043478255,PM25
5,2016-01-06,2016,01,06,229.46669254658386,PM25
6,2016-01-07,2016,01,07,178.87055124223602,PM25
7,2016-01-08,2016,01,08,151.09118788819876,PM25
8,2016-01-09,2016,01,09,157.71066770186334,PM25
9,2016-01-10,2016,01,10,135.68103260869566,PM25
10,2016-01-11,2016,01,11,130.9498059006211,PM25
11,2016-01-12,2016,01,12,160.84846273291924,PM25
12,2016-01-13,2016,01,13,110.35368788819879,PM25
13,2016-01-14,2016,01,14,63.36820652173912,PM25
14,2016-01-15,2016,01,15,74.38509316770188,PM25
15,2016-01-16,2016,01,16,96.3966459627329,PM25
16,2016-01-17,2016,01,17,78.96641304347828,PM10
17,2016-01-18,2016,01,18,66.20565217391304,PM10
18,2016-01-19,2016,01,19,63.638369565217396,PM10
19,2016-01-20,2016,01,20,78.5633152173913,PM25
20,2016-01-21,2016,01,21,110.07895962732918,PM25
21,2016-01-22,2016,01,22,56.06152173913042,PM10
22,2016-01-23,2016,01,23,52.927282608695656,PM10
23,2016-01-24,2016,01,24,40.69586956521738,PM10
24,2016-01-25,2016,01,25,42.47456521739131,PM10
25,2016-01-26,2016,01,26,58.75239130434783,PM10
26,2016-01-27,2016,01,27,79.52026397515529,PM25
27,2016-01-28,2016,01,28,91.46548913043479,PM25
28,2016-01-29,2016,01,29,137.61621894409936,PM25
29,2016-01-30,2016,01,30,179.0713897515528,PM25
30,2016-01-31,2016,01,31,76.85788043478261,PM25
31,2016-02-01,2016,02,01,54.85717391304348,PM10
32,2016-02-02,2016,02,02,65.0304347826087,PM10
33,2016-02-03,2016,02,03,96.13342391304347,PM25
34,2016-02-04,2016,02,04,88.90372670807453,PM25
35,2016-02-05,2016,02,05,58.90304347826087,PM10
36,2016-02-06,2016,02,06,31.70217391304348,PM10
37,2016-02-07,2016,02,07,45.9004347826087,PM10
38,2016-02-08,2016,02,08,113.90670031055903,PM25
39,2016-02-09,2016,02,09,101.13858695652172,PM25
40,2016-02-10,2016,02,10,125.5961335403727,PM25
41,2016-02-11,2016,02,11,151.7603183229814,PM25
42,2016-02-12,2016,02,12,86.7804347826087,PM25
43,2016-02-13,2016,02,13,44.89478260869566,PM10
44,2016-02-14,2016,02,14,33.63250000000001,PM10
45,2016-02-15,2016,02,15,38.47434782608696,PM10
46,2016-02-16,2016,02,16,38.05869565217392,PM10
47,2016-02-17,2016,02,17,42.97695652173913,PM10
48,2016-02-18,2016,02,18,67.61880434782609,PM10
49,2016-02-19,2016,02,19,135.09576086956523,PM10
50,2016-02-20,2016,02,20,122.31597826086956,PM10
51,2016-02-21,2016,02,21,75.68391304347826,PM10
52,2016-02-22,2016,02,22,79.5867391304348,PM10
53,2016-02-23,2016,02,23,84.75032608695653,PM10
54,2016-02-24,2016,02,24,84.06282608695653,PM10
55,2016-02-25,2016,02,25,76.94543478260871,PM10
56,2016-02-26,2016,02,26,65.01271739130436,PM10
57,2016-02-27,2016,02,27,65.1720652173913,PM10
58,2016-02-28,2016,02,28,70.87173913043479,PM10
59,2016-02-29,2016,02,29,51.47641304347826,PM10
60,2016-03-01,2016,03,01,76.87315217391303,PM10
