,Date,Year,Month,Day,MAX_val,MAX_name
0,2016-01-01,2016,01,01,131.55587979094076,PM25
1,2016-01-02,2016,01,02,192.84992160278748,PM25
2,2016-01-03,2016,01,03,124.18183797909407,PM25
3,2016-01-04,2016,01,04,64.56716027874565,PM25
4,2016-01-05,2016,01,05,52.435243902439005,PM10
5,2016-01-06,2016,01,06,63.388109756097556,PM25
6,2016-01-07,2016,01,07,50.504390243902435,PM10
7,2016-01-08,2016,01,08,58.19629790940767,PM25
8,2016-01-09,2016,01,09,82.47713414634147,PM25
9,2016-01-10,2016,01,10,68.40670731707317,PM25
10,2016-01-11,2016,01,11,51.803614982578395,PM25
11,2016-01-12,2016,01,12,55.24878048780487,PM10
12,2016-01-13,2016,01,13,56.423902439024396,PM10
13,2016-01-14,2016,01,14,71.41067073170731,PM25
14,2016-01-15,2016,01,15,115.95391986062717,PM25
15,2016-01-16,2016,01,16,134.55996515679445,PM25
16,2016-01-17,2016,01,17,82.64111498257839,PM25
17,2016-01-18,2016,01,18,37.28634146341463,PM10
18,2016-01-19,2016,01,19,38.75048780487805,PM10
19,2016-01-20,2016,01,20,73.42495644599303,PM25
20,2016-01-21,2016,01,21,99.24547038327528,PM25
21,2016-01-22,2016,01,22,72.81437282229965,PM25
22,2016-01-23,2016,01,23,36.393170731707315,PM10
23,2016-01-24,2016,01,24,53.054756097560976,PM10
24,2016-01-25,2016,01,25,76.23841463414634,PM10
25,2016-01-26,2016,01,26,73.60170731707318,PM10
26,2016-01-27,2016,01,27,65.81097560975608,PM25
27,2016-01-28,2016,01,28,113.95426829268293,PM25
28,2016-01-29,2016,01,29,54.86959930313588,PM25
29,2016-01-30,2016,01,30,55.51737804878049,PM25
30,2016-01-31,2016,01,31,63.263414634146336,PM25
31,2016-02-01,2016,02,01,59.740200348432055,PM25
32,2016-02-02,2016,02,02,66.64725609756097,PM25
33,2016-02-03,2016,02,03,99.25548780487806,PM25
34,2016-02-04,2016,02,04,64.6866724738676,PM25
35,2016-02-05,2016,02,05,49.575731707317075,PM10
36,2016-02-06,2016,02,06,43.63987804878049,PM10
37,2016-02-07,2016,02,07,65.83932926829269,PM25
38,2016-02-08,2016,02,08,115.03048780487805,PM25
39,2016-02-09,2016,02,09,47.423048780487804,PM10
40,2016-02-10,2016,02,10,46.66451219512195,PM10
41,2016-02-11,2016,02,11,53.64329268292683,PM10
