,Date,Year,Month,Day,MAX_val,MAX_name
0,2017-01-01,2017,01,01,92.36308823529411,PM25
1,2017-01-02,2017,01,02,108.76941176470588,PM25
2,2017-01-03,2017,01,03,148.1116806722689,PM25
3,2017-01-04,2017,01,04,146.86686974789916,PM25
4,2017-01-05,2017,01,05,145.58073529411763,PM25
5,2017-01-06,2017,01,06,63.14821428571429,PM25
6,2017-01-07,2017,01,07,37.45707983193278,PM25
7,2017-01-08,2017,01,08,41.30957983193277,PM25
8,2017-01-09,2017,01,09,61.6228781512605,PM25
9,2017-01-10,2017,01,10,101.95279411764707,PM25
10,2017-01-11,2017,01,11,94.04573529411766,PM25
11,2017-01-12,2017,01,12,56.89888655462185,PM25
12,2017-01-13,2017,01,13,70.3715756302521,PM25
13,2017-01-14,2017,01,14,82.49132352941176,PM25
14,2017-01-15,2017,01,15,81.36632352941176,PM25
15,2017-01-16,2017,01,16,78.63867647058824,PM25
16,2017-01-17,2017,01,17,71.64088235294118,PM25
17,2017-01-18,2017,01,18,66.18634453781512,PM25
18,2017-01-19,2017,01,19,73.85552521008404,PM25
19,2017-01-20,2017,01,20,92.11325630252101,PM25
20,2017-01-21,2017,01,21,59.854411764705894,PM25
21,2017-01-22,2017,01,22,79.20279411764704,PM25
22,2017-01-23,2017,01,23,70.82615546218486,PM25
23,2017-01-24,2017,01,24,59.55911764705884,PM25
24,2017-01-25,2017,01,25,62.84065126050421,PM25
25,2017-01-26,2017,01,26,60.420441176470604,PM25
26,2017-01-27,2017,01,27,79.72970588235293,PM25
27,2017-01-28,2017,01,28,151.49793277310923,PM25
28,2017-01-29,2017,01,29,74.30334033613444,PM25
29,2017-01-30,2017,01,30,84.53411764705882,PM25
30,2017-01-31,2017,01,31,74.26573529411763,PM25
31,2017-02-01,2017,02,01,77.9180882352941,PM25
32,2017-02-02,2017,02,02,69.10827731092435,PM25
33,2017-02-03,2017,02,03,74.47302521008403,PM25
34,2017-02-04,2017,02,04,85.30779411764705,PM25
35,2017-02-05,2017,02,05,68.81102941176471,PM25
36,2017-02-06,2017,02,06,54.40218487394957,PM25
37,2017-02-07,2017,02,07,66.16084033613446,PM25
38,2017-02-08,2017,02,08,34.75546218487395,PM25
39,2017-02-09,2017,02,09,65.87338235294118,PM25
40,2017-02-10,2017,02,10,79.26352941176471,PM25
41,2017-02-11,2017,02,11,69.33250000000001,PM25
