,Date,Year,Month,Day,MAX_val,MAX_name
0,2017-01-01,2017,01,01,29.685868055555552,PM10
1,2017-01-02,2017,01,02,32.73100694444444,PM10
2,2017-01-03,2017,01,03,34.510555555555555,PM10
3,2017-01-04,2017,01,04,38.505625,PM10
4,2017-01-05,2017,01,05,35.71111111111111,PM10
5,2017-01-06,2017,01,06,25.12809027777778,PM10
6,2017-01-07,2017,01,07,25.123784722222222,O3
7,2017-01-08,2017,01,08,25.22423611111111,O3
8,2017-01-09,2017,01,09,23.397534722222222,O3
9,2017-01-10,2017,01,10,23.842569444444443,O3
10,2017-01-11,2017,01,11,27.12482638888889,PM10
11,2017-01-12,2017,01,12,29.01229166666667,O3
12,2017-01-13,2017,01,13,29.106250000000003,PM10
13,2017-01-14,2017,01,14,34.23461805555556,PM10
14,2017-01-15,2017,01,15,31.88892361111111,PM10
15,2017-01-16,2017,01,16,28.577673611111113,PM10
16,2017-01-17,2017,01,17,38.87142361111111,PM10
17,2017-01-18,2017,01,18,43.59211805555555,PM10
18,2017-01-19,2017,01,19,30.772569444444443,O3
19,2017-01-20,2017,01,20,39.475729166666675,PM10
20,2017-01-21,2017,01,21,30.93305555555556,PM10
21,2017-01-22,2017,01,22,33.644618055555554,PM10
22,2017-01-23,2017,01,23,38.25586805555557,PM10
23,2017-01-24,2017,01,24,43.08663194444445,PM10
24,2017-01-25,2017,01,25,76.95924107142858,PM25
25,2017-01-26,2017,01,26,80.67344494047619,PM10
26,2017-01-27,2017,01,27,61.175520833333344,PM10
27,2017-01-28,2017,01,28,65.66607638888888,PM10
28,2017-01-29,2017,01,29,45.18767361111111,PM10
29,2017-01-30,2017,01,30,39.17298611111111,PM10
30,2017-01-31,2017,01,31,49.08600694444445,PM10
31,2017-02-01,2017,02,01,51.122812499999995,PM10
32,2017-02-02,2017,02,02,63.003720238095234,PM25
33,2017-02-03,2017,02,03,44.443784722222226,PM10
34,2017-02-04,2017,02,04,31.40017361111111,PM10
35,2017-02-05,2017,02,05,53.54090277777778,PM10
36,2017-02-06,2017,02,06,74.91100694444445,PM10
37,2017-02-07,2017,02,07,40.89097222222223,PM10
38,2017-02-08,2017,02,08,26.065868055555555,O3
39,2017-02-09,2017,02,09,25.668368055555554,O3
40,2017-02-10,2017,02,10,28.769756944444445,PM10
41,2017-02-11,2017,02,11,44.23506944444445,PM10
42,2017-02-12,2017,02,12,36.86241319444444,PM25
43,2017-02-13,2017,02,13,57.49109623015873,PM25
44,2017-02-14,2017,02,14,51.65284722222222,PM10
45,2017-02-15,2017,02,15,76.273125,PM10
46,2017-02-16,2017,02,16,78.37052083333333,PM10
47,2017-02-17,2017,02,17,42.529444444444444,PM10
48,2017-02-18,2017,02,18,41.78774305555555,PM10
49,2017-02-19,2017,02,19,49.181527777777774,PM10
50,2017-02-20,2017,02,20,119.13162202380951,PM10
51,2017-02-21,2017,02,21,75.25791666666666,PM10
52,2017-02-22,2017,02,22,30.32840277777777,O3
53,2017-02-23,2017,02,23,30.744374999999998,O3
54,2017-02-24,2017,02,24,31.15673611111111,O3
55,2017-02-25,2017,02,25,31.29253472222222,O3
56,2017-02-26,2017,02,26,34.642916666666665,O3
57,2017-02-27,2017,02,27,31.677222222222227,O3
58,2017-02-28,2017,02,28,45.4704513888889,PM10
59,2017-03-01,2017,03,01,33.84354166666667,O3
60,2017-03-02,2017,03,02,44.21892361111111,PM10
61,2017-03-03,2017,03,03,36.68232638888888,PM10
62,2017-03-04,2017,03,04,31.49090277777778,O3
63,2017-03-05,2017,03,05,31.282152777777778,O3
64,2017-03-06,2017,03,06,30.84638888888889,O3
65,2017-03-07,2017,03,07,33.56982638888889,O3
66,2017-03-08,2017,03,08,33.63944444444444,O3
67,2017-03-09,2017,03,09,35.15840277777777,PM10
68,2017-03-10,2017,03,10,41.758159722222224,PM10
69,2017-03-11,2017,03,11,36.03850694444444,O3
70,2017-03-12,2017,03,12,43.231631944444445,PM10
71,2017-03-13,2017,03,13,42.009027777777774,PM10
72,2017-03-14,2017,03,14,60.78540426587301,PM25
73,2017-03-15,2017,03,15,54.40818452380953,PM25
74,2017-03-16,2017,03,16,50.65746527777778,PM25
75,2017-03-17,2017,03,17,43.73979166666667,PM10
76,2017-03-18,2017,03,18,45.441875,PM10
77,2017-03-19,2017,03,19,55.69840029761905,PM25
78,2017-03-20,2017,03,20,61.44592013888889,PM25
79,2017-03-21,2017,03,21,54.18774801587302,PM25
80,2017-03-22,2017,03,22,33.43024305555556,O3
81,2017-03-23,2017,03,23,79.99635416666666,PM10
82,2017-03-24,2017,03,24,38.62524305555556,PM10
83,2017-03-25,2017,03,25,39.74840277777778,O3
84,2017-03-26,2017,03,26,40.468159722222225,O3
85,2017-03-27,2017,03,27,60.76454861111111,PM10
86,2017-03-28,2017,03,28,48.08295138888889,PM10
87,2017-03-29,2017,03,29,33.68079861111111,O3
88,2017-03-30,2017,03,30,34.12631944444444,O3
89,2017-03-31,2017,03,31,35.56961805555555,O3
90,2017-04-01,2017,04,01,38.65423611111111,O3
91,2017-04-02,2017,04,02,37.73461805555556,O3
92,2017-04-03,2017,04,03,42.81347222222222,PM10
93,2017-04-04,2017,04,04,42.42892361111111,O3
94,2017-04-05,2017,04,05,43.093402777777776,PM10
95,2017-04-06,2017,04,06,58.68659722222222,PM10
96,2017-04-07,2017,04,07,51.01829861111111,PM10
97,2017-04-08,2017,04,08,31.31940972222223,O3
98,2017-04-09,2017,04,09,35.291875000000005,O3
99,2017-04-10,2017,04,10,35.85975694444445,O3
100,2017-04-11,2017,04,11,34.87829861111111,O3
101,2017-04-12,2017,04,12,39.20395833333333,O3
102,2017-04-13,2017,04,13,39.57649305555556,O3
103,2017-04-14,2017,04,14,36.57385416666667,O3
104,2017-04-15,2017,04,15,36.95225694444444,O3
105,2017-04-16,2017,04,16,40.648715277777775,O3
106,2017-04-17,2017,04,17,77.04355158730158,PM25
107,2017-04-18,2017,04,18,41.51236111111111,PM10
108,2017-04-19,2017,04,19,70.60195436507937,PM25
109,2017-04-20,2017,04,20,103.7431001984127,PM25
110,2017-04-21,2017,04,21,45.61940972222222,O3
111,2017-04-22,2017,04,22,45.13291666666666,O3
112,2017-04-23,2017,04,23,39.60954861111111,O3
113,2017-04-24,2017,04,24,35.15954861111111,O3
114,2017-04-25,2017,04,25,36.732708333333335,O3
115,2017-04-26,2017,04,26,36.29378472222223,O3
116,2017-04-27,2017,04,27,40.39854166666667,O3
117,2017-04-28,2017,04,28,45.20042824074074,O3
118,2017-04-29,2017,04,29,44.99736111111111,O3
119,2017-04-30,2017,04,30,46.226956018518514,O3
120,2017-05-01,2017,05,01,51.7894212962963,O3
121,2017-05-02,2017,05,02,117.37785714285717,PM25
122,2017-05-03,2017,05,03,130.80924603174603,PM25
123,2017-05-04,2017,05,04,147.7016641865079,PM25
124,2017-05-05,2017,05,05,177.49588045634923,PM25
125,2017-05-06,2017,05,06,66.86798611111111,PM10
126,2017-05-07,2017,05,07,46.50096064814815,O3
127,2017-05-08,2017,05,08,46.63827546296296,O3
128,2017-05-09,2017,05,09,40.51399305555555,O3
129,2017-05-10,2017,05,10,44.944270833333334,PM25
130,2017-05-11,2017,05,11,43.05815972222222,O3
131,2017-05-12,2017,05,12,49.48951388888889,O3
132,2017-05-13,2017,05,13,39.780914351851855,O3
133,2017-05-14,2017,05,14,43.21678240740741,O3
134,2017-05-15,2017,05,15,40.669375,O3
135,2017-05-16,2017,05,16,45.25754629629629,O3
136,2017-05-17,2017,05,17,50.63704861111111,O3
137,2017-05-18,2017,05,18,53.185428240740734,O3
138,2017-05-19,2017,05,19,58.75989583333333,O3
139,2017-05-20,2017,05,20,64.48277529761906,PM25
140,2017-05-21,2017,05,21,68.67886904761905,PM25
141,2017-05-22,2017,05,22,53.58197916666667,PM10
142,2017-05-23,2017,05,23,50.40149305555556,PM10
143,2017-05-24,2017,05,24,46.60827546296296,O3
144,2017-05-25,2017,05,25,49.35133101851852,O3
145,2017-05-26,2017,05,26,50.425069444444446,O3
146,2017-05-27,2017,05,27,56.40396990740741,O3
147,2017-05-28,2017,05,28,60.01445601851851,O3
148,2017-05-29,2017,05,29,108.77197916666665,PM10
149,2017-05-30,2017,05,30,61.66302083333332,PM10
150,2017-05-31,2017,05,31,51.069027777777784,PM10
151,2017-06-01,2017,06,01,43.07715277777778,O3
152,2017-06-02,2017,06,02,94.38678075396825,PM25
153,2017-06-03,2017,06,03,93.0537326388889,PM25
154,2017-06-04,2017,06,04,40.7615625,O3
155,2017-06-05,2017,06,05,37.46864583333334,O3
156,2017-06-06,2017,06,06,39.69770833333334,O3
157,2017-06-07,2017,06,07,39.486250000000005,O3
158,2017-06-08,2017,06,08,44.023715277777775,O3
159,2017-06-09,2017,06,09,42.23170138888889,O3
160,2017-06-10,2017,06,10,46.143692129629635,O3
161,2017-06-11,2017,06,11,47.00606481481481,O3
162,2017-06-12,2017,06,12,48.69759259259259,O3
163,2017-06-13,2017,06,13,48.33282407407407,O3
164,2017-06-14,2017,06,14,48.43298611111111,O3
165,2017-06-15,2017,06,15,53.0930787037037,O3
166,2017-06-16,2017,06,16,59.83975694444444,O3
167,2017-06-17,2017,06,17,59.55767361111111,O3
168,2017-06-18,2017,06,18,51.97813657407407,O3
169,2017-06-19,2017,06,19,38.552708333333335,O3
170,2017-06-20,2017,06,20,39.64701388888889,O3
171,2017-06-21,2017,06,21,41.352847222222216,O3
172,2017-06-22,2017,06,22,42.568900462962965,O3
173,2017-06-23,2017,06,23,42.98854166666667,O3
174,2017-06-24,2017,06,24,48.265347222222225,O3
175,2017-06-25,2017,06,25,55.031157407407406,O3
176,2017-06-26,2017,06,26,67.93113425925925,O3
177,2017-06-27,2017,06,27,64.18986111111111,O3
178,2017-06-28,2017,06,28,63.62141203703704,O3
179,2017-06-29,2017,06,29,56.669050925925916,O3
180,2017-06-30,2017,06,30,63.279571759259255,O3
181,2017-07-01,2017,07,01,60.22881944444445,O3
182,2017-07-02,2017,07,02,40.657986111111114,O3
183,2017-07-03,2017,07,03,43.146631944444444,O3
184,2017-07-04,2017,07,04,48.08462962962963,O3
185,2017-07-05,2017,07,05,43.706041666666664,O3
186,2017-07-06,2017,07,06,45.326030092592596,O3
187,2017-07-07,2017,07,07,47.053333333333335,O3
188,2017-07-08,2017,07,08,43.18479166666667,O3
189,2017-07-09,2017,07,09,49.274739583333336,PM25
190,2017-07-10,2017,07,10,45.224270833333335,O3
191,2017-07-11,2017,07,11,46.249837962962964,O3
192,2017-07-12,2017,07,12,50.313958333333325,O3
193,2017-07-13,2017,07,13,49.9368287037037,O3
194,2017-07-14,2017,07,14,60.84027777777778,PM10
195,2017-07-15,2017,07,15,54.11959490740741,O3
196,2017-07-16,2017,07,16,61.09560185185185,O3
197,2017-07-17,2017,07,17,57.380405092592596,O3
198,2017-07-18,2017,07,18,53.95337962962963,O3
199,2017-07-19,2017,07,19,56.05215277777778,PM10
200,2017-07-20,2017,07,20,48.23162202380953,PM25
201,2017-07-21,2017,07,21,36.79555555555555,O3
202,2017-07-22,2017,07,22,35.075381944444445,O3
203,2017-07-23,2017,07,23,36.716458333333335,O3
204,2017-07-24,2017,07,24,35.83909722222222,O3
205,2017-07-25,2017,07,25,37.0859375,O3
206,2017-07-26,2017,07,26,33.83586805555555,O3
207,2017-07-27,2017,07,27,40.6296875,O3
208,2017-07-28,2017,07,28,42.17534722222222,O3
209,2017-07-29,2017,07,29,42.65694444444445,O3
210,2017-07-30,2017,07,30,43.98329861111111,O3
211,2017-07-31,2017,07,31,52.38814484126985,PM25
212,2017-08-01,2017,08,01,36.1446875,O3
213,2017-08-02,2017,08,02,37.77430555555556,O3
214,2017-08-03,2017,08,03,40.228611111111114,O3
215,2017-08-04,2017,08,04,41.607569444444444,O3
216,2017-08-05,2017,08,05,42.41298611111111,O3
217,2017-08-06,2017,08,06,37.62625,O3
218,2017-08-07,2017,08,07,41.86322916666667,O3
219,2017-08-08,2017,08,08,39.69680555555556,O3
220,2017-08-09,2017,08,09,42.5896875,O3
221,2017-08-10,2017,08,10,56.73867807539683,PM25
222,2017-08-11,2017,08,11,50.55992063492064,PM25
223,2017-08-12,2017,08,12,39.8228125,O3
224,2017-08-13,2017,08,13,42.98847222222222,O3
225,2017-08-14,2017,08,14,47.79151620370371,O3
226,2017-08-15,2017,08,15,53.90983796296296,O3
227,2017-08-16,2017,08,16,54.590821759259256,O3
228,2017-08-17,2017,08,17,52.15670882936508,PM25
229,2017-08-18,2017,08,18,60.929067460317455,PM25
230,2017-08-19,2017,08,19,44.018687996031744,PM25
231,2017-08-20,2017,08,20,35.76701388888889,O3
232,2017-08-21,2017,08,21,33.60666666666666,O3
233,2017-08-22,2017,08,22,36.01725694444445,O3
234,2017-08-23,2017,08,23,33.788784722222225,O3
235,2017-08-24,2017,08,24,32.951145833333335,O3
236,2017-08-25,2017,08,25,33.055,O3
237,2017-08-26,2017,08,26,38.520694444444445,O3
238,2017-08-27,2017,08,27,38.06954365079365,PM25
239,2017-08-28,2017,08,28,34.65503472222222,O3
240,2017-08-29,2017,08,29,38.940486111111106,O3
241,2017-08-30,2017,08,30,36.581041666666664,O3
242,2017-08-31,2017,08,31,39.11309027777778,O3
243,2017-09-01,2017,09,01,44.9154513888889,O3
244,2017-09-02,2017,09,02,43.13552083333334,O3
245,2017-09-03,2017,09,03,39.87732638888889,O3
