,Date,Year,Month,Day,MAX_val,MAX_name
0,2018-01-01,2018,01,01,70.53880208333332,PM25
1,2018-01-02,2018,01,02,49.3921875,PM10
2,2018-01-03,2018,01,03,39.85510416666667,PM10
3,2018-01-04,2018,01,04,33.685624999999995,PM10
4,2018-01-05,2018,01,05,38.66986607142857,PM25
5,2018-01-06,2018,01,06,27.58697916666667,NO2
6,2018-01-07,2018,01,07,32.44973958333333,NO2
7,2018-01-08,2018,01,08,28.744531250000005,NO2
8,2018-01-09,2018,01,09,27.328958333333333,O3
9,2018-01-10,2018,01,10,29.821875000000002,PM10
10,2018-01-11,2018,01,11,34.68020833333333,O3
11,2018-01-12,2018,01,12,39.826875,PM10
12,2018-01-13,2018,01,13,36.619791666666664,PM10
13,2018-01-14,2018,01,14,28.886041666666667,O3
14,2018-01-15,2018,01,15,36.55489583333333,PM10
15,2018-01-16,2018,01,16,39.53458333333334,PM10
16,2018-01-17,2018,01,17,63.051302083333326,PM25
17,2018-01-18,2018,01,18,66.72916666666667,PM25
18,2018-01-19,2018,01,19,61.2953125,PM25
19,2018-01-20,2018,01,20,57.13645833333334,PM25
20,2018-01-21,2018,01,21,71.66848958333334,PM25
21,2018-01-22,2018,01,22,54.68031994047619,PM25
22,2018-01-23,2018,01,23,44.03208333333333,PM10
23,2018-01-24,2018,01,24,43.84406250000001,PM10
24,2018-01-25,2018,01,25,31.349479166666665,O3
25,2018-01-26,2018,01,26,25.468541666666667,PM10
26,2018-01-27,2018,01,27,28.20645833333333,O3
27,2018-01-28,2018,01,28,23.133750000000003,PM10
28,2018-01-29,2018,01,29,19.697499999999998,PM10
29,2018-01-30,2018,01,30,38.68311011904762,PM25
30,2018-01-31,2018,01,31,24.56432291666667,NO2
31,2018-02-01,2018,02,01,29.075208333333332,PM10
32,2018-02-02,2018,02,02,43.823125,PM10
33,2018-02-03,2018,02,03,45.733668154761894,PM25
34,2018-02-04,2018,02,04,79.95026041666667,PM25
35,2018-02-05,2018,02,05,49.63076636904762,PM25
36,2018-02-06,2018,02,06,41.67791666666667,PM10
37,2018-02-07,2018,02,07,44.401666666666664,PM10
38,2018-02-08,2018,02,08,45.46562500000001,PM10
39,2018-02-09,2018,02,09,60.15130208333333,PM25
40,2018-02-10,2018,02,10,66.60859375,PM25
41,2018-02-11,2018,02,11,53.236354166666665,PM10
42,2018-02-12,2018,02,12,59.027499999999996,PM10
43,2018-02-13,2018,02,13,60.26625000000001,PM10
44,2018-02-14,2018,02,14,51.96677083333333,PM10
45,2018-02-15,2018,02,15,66.71674107142857,PM25
46,2018-02-16,2018,02,16,93.22369791666667,PM25
