,Date,Year,Month,Day,MAX_val,MAX_name
0,2018-01-01,2018,01,01,29.387317073170728,PM10
1,2018-01-02,2018,01,02,31.237560975609757,PM10
2,2018-01-03,2018,01,03,31.749024390243903,PM10
3,2018-01-04,2018,01,04,25.78756097560975,PM10
4,2018-01-05,2018,01,05,30.257142857142863,PM25
5,2018-01-06,2018,01,06,26.082404181184668,PM25
6,2018-01-07,2018,01,07,25.95487804878049,PM10
7,2018-01-08,2018,01,08,23.65658536585366,PM10
8,2018-01-09,2018,01,09,44.367256097560976,PM10
9,2018-01-10,2018,01,10,41.219756097560975,PM10
10,2018-01-11,2018,01,11,25.828536585365853,PM10
11,2018-01-12,2018,01,12,29.89808362369338,PM25
12,2018-01-13,2018,01,13,35.18414634146341,PM25
13,2018-01-14,2018,01,14,39.25384146341463,PM10
14,2018-01-15,2018,01,15,37.46756097560975,PM10
15,2018-01-16,2018,01,16,42.641463414634146,PM10
16,2018-01-17,2018,01,17,41.51560975609756,PM10
17,2018-01-18,2018,01,18,40.95030487804878,PM10
18,2018-01-19,2018,01,19,39.17871951219512,PM10
19,2018-01-20,2018,01,20,34.328919860627174,PM25
20,2018-01-21,2018,01,21,33.79425087108014,PM25
21,2018-01-22,2018,01,22,36.16835365853658,PM10
22,2018-01-23,2018,01,23,47.870252613240424,PM25
23,2018-01-24,2018,01,24,38.201646341463416,PM10
24,2018-01-25,2018,01,25,38.490121951219514,PM10
25,2018-01-26,2018,01,26,37.222212543554015,PM25
26,2018-01-27,2018,01,27,37.00957317073171,PM10
27,2018-01-28,2018,01,28,32.60634146341464,PM10
28,2018-01-29,2018,01,29,38.02323170731707,PM10
29,2018-01-30,2018,01,30,39.32463414634147,PM10
30,2018-01-31,2018,01,31,41.109146341463415,PM10
31,2018-02-01,2018,02,01,38.93841463414635,PM10
32,2018-02-02,2018,02,02,44.222987804878045,PM10
33,2018-02-03,2018,02,03,45.92878919860627,PM25
34,2018-02-04,2018,02,04,50.2559668989547,PM25
35,2018-02-05,2018,02,05,55.048758710801394,PM25
36,2018-02-06,2018,02,06,53.74496951219512,PM25
37,2018-02-07,2018,02,07,50.526742160278744,PM25
38,2018-02-08,2018,02,08,66.13384146341464,PM25
39,2018-02-09,2018,02,09,67.81875,PM25
40,2018-02-10,2018,02,10,59.63606271777003,PM25
41,2018-02-11,2018,02,11,60.365592334494785,PM25
42,2018-02-12,2018,02,12,64.4734756097561,PM25
43,2018-02-13,2018,02,13,65.26067073170732,PM25
44,2018-02-14,2018,02,14,54.64766986062718,PM25
45,2018-02-15,2018,02,15,46.93048780487805,PM10
46,2018-02-16,2018,02,16,70.73246951219512,PM25
47,2018-02-17,2018,02,17,35.56376306620209,PM25
48,2018-02-18,2018,02,18,46.47145034843206,PM25
49,2018-02-19,2018,02,19,52.859952090592344,PM25
50,2018-02-20,2018,02,20,48.1775043554007,PM25
51,2018-02-21,2018,02,21,48.83669425087108,PM25
52,2018-02-22,2018,02,22,47.75193815331011,PM25
53,2018-02-23,2018,02,23,53.820013066202094,PM25
54,2018-02-24,2018,02,24,53.483601916376315,PM25
55,2018-02-25,2018,02,25,52.35060975609756,PM25
56,2018-02-26,2018,02,26,59.91554878048781,PM25
57,2018-02-27,2018,02,27,55.11237804878049,PM10
58,2018-02-28,2018,02,28,44.79274390243903,PM10
59,2018-03-01,2018,03,01,56.171097560975596,PM10
60,2018-03-02,2018,03,02,78.19895470383275,PM25
61,2018-03-03,2018,03,03,87.68368902439025,PM25
62,2018-03-04,2018,03,04,84.60670731707317,PM25
63,2018-03-05,2018,03,05,71.15091463414635,PM25
64,2018-03-06,2018,03,06,86.12073170731708,PM25
65,2018-03-07,2018,03,07,103.65030487804877,PM25
66,2018-03-08,2018,03,08,86.76737804878047,PM25
67,2018-03-09,2018,03,09,61.770426829268295,PM25
68,2018-03-10,2018,03,10,52.84634146341463,PM10
69,2018-03-11,2018,03,11,62.46707317073171,PM25
70,2018-03-12,2018,03,12,60.0352787456446,PM25
71,2018-03-13,2018,03,13,77.15990853658538,PM25
72,2018-03-14,2018,03,14,87.52469512195123,PM25
73,2018-03-15,2018,03,15,118.77985627177698,PM25
74,2018-03-16,2018,03,16,101.37057926829269,PM25
75,2018-03-17,2018,03,17,96.91996951219512,PM25
76,2018-03-18,2018,03,18,86.09039634146343,PM25
77,2018-03-19,2018,03,19,71.98368902439023,PM25
78,2018-03-20,2018,03,20,79.28399390243902,PM25
79,2018-03-21,2018,03,21,98.52378048780488,PM25
80,2018-03-22,2018,03,22,98.3202743902439,PM25
81,2018-03-23,2018,03,23,53.15420731707317,PM10
82,2018-03-24,2018,03,24,59.25414634146342,PM10
83,2018-03-25,2018,03,25,81.99298780487806,PM25
84,2018-03-26,2018,03,26,87.36585365853658,PM25
85,2018-03-27,2018,03,27,65.28384146341465,PM25
86,2018-03-28,2018,03,28,59.0496951219512,PM10
87,2018-03-29,2018,03,29,81.75564024390245,PM25
88,2018-03-30,2018,03,30,86.69786585365854,PM25
89,2018-03-31,2018,03,31,80.43521341463415,PM25
90,2018-04-01,2018,04,01,63.70140243902439,PM10
91,2018-04-02,2018,04,02,76.0094512195122,PM25
92,2018-04-03,2018,04,03,75.07545731707317,PM25
93,2018-04-04,2018,04,04,60.52762195121951,PM10
94,2018-04-05,2018,04,05,56.75853658536585,PM10
95,2018-04-06,2018,04,06,55.35353658536586,PM10
96,2018-04-07,2018,04,07,39.73268292682926,PM10
97,2018-04-08,2018,04,08,50.01280487804878,PM10
98,2018-04-09,2018,04,09,57.420243902439026,PM10
99,2018-04-10,2018,04,10,64.24725609756098,PM10
100,2018-04-11,2018,04,11,75.62240853658535,PM25
101,2018-04-12,2018,04,12,69.66067073170731,PM25
102,2018-04-13,2018,04,13,88.20884146341463,PM25
103,2018-04-14,2018,04,14,81.87271341463416,PM25
104,2018-04-15,2018,04,15,54.519708188153324,PM25
105,2018-04-16,2018,04,16,55.183292682926826,PM10
106,2018-04-17,2018,04,17,54.98408536585365,PM10
107,2018-04-18,2018,04,18,51.28225609756097,PM10
108,2018-04-19,2018,04,19,49.86000000000001,PM10
109,2018-04-20,2018,04,20,52.18676829268292,PM10
110,2018-04-21,2018,04,21,67.06908536585365,PM10
111,2018-04-22,2018,04,22,81.54801829268293,PM25
112,2018-04-23,2018,04,23,86.64725609756097,PM25
113,2018-04-24,2018,04,24,95.308318815331,PM25
114,2018-04-25,2018,04,25,68.94841027874565,PM25
115,2018-04-26,2018,04,26,51.96756097560976,PM10
116,2018-04-27,2018,04,27,53.85396341463415,PM10
117,2018-04-28,2018,04,28,51.21182926829268,PM10
118,2018-04-29,2018,04,29,44.53737804878049,PM10
119,2018-04-30,2018,04,30,48.52634146341463,PM10
120,2018-05-01,2018,05,01,44.74969512195121,PM10
121,2018-05-02,2018,05,02,34.881951219512196,PM10
122,2018-05-03,2018,05,03,28.429878048780488,PM10
123,2018-05-04,2018,05,04,26.1675,O3
124,2018-05-05,2018,05,05,32.401890243902436,O3
125,2018-05-06,2018,05,06,31.323902439024394,PM10
126,2018-05-07,2018,05,07,39.66006097560975,PM10
127,2018-05-08,2018,05,08,49.21030487804878,PM10
128,2018-05-09,2018,05,09,53.96036585365854,PM10
129,2018-05-10,2018,05,10,58.33981707317073,PM10
130,2018-05-11,2018,05,11,54.7605487804878,PM10
131,2018-05-12,2018,05,12,39.788719512195115,O3
132,2018-05-13,2018,05,13,39.43725609756097,O3
133,2018-05-14,2018,05,14,34.090731707317076,O3
134,2018-05-15,2018,05,15,35.652804878048784,O3
135,2018-05-16,2018,05,16,38.67640243902439,O3
136,2018-05-17,2018,05,17,34.537195121951214,O3
137,2018-05-18,2018,05,18,32.685731707317075,PM10
